key,label,q,kv,q_task_rows,requested_workers,mapping,host_us_median,host_us_ci_low,host_us_ci_high,profiled_total_median,profiled_total_ci_low,profiled_total_ci_high,q_load_median,q_load_ci_low,q_load_ci_high,k_load_median,k_load_ci_low,k_load_ci_high,v_load_median,v_load_ci_low,v_load_ci_high,qk_dot_median,qk_dot_ci_low,qk_dot_ci_high,safe_sm_median,safe_sm_ci_low,safe_sm_ci_high,scna_exp_median,scna_exp_ci_low,scna_exp_ci_high,state_update_median,state_update_ci_low,state_update_ci_high,core_acc_median,core_acc_ci_low,core_acc_ci_high,o_scale_median,o_scale_ci_low,o_scale_ci_high,o_store_median,o_store_ci_low,o_store_ci_high,active_workers_median,active_workers_ci_low,active_workers_ci_high,tasks_median,tasks_ci_low,tasks_ci_high,q_task_rows_actual_median,q_task_rows_actual_ci_low,q_task_rows_actual_ci_high,vtcm_total_bytes_median,vtcm_total_bytes_ci_low,vtcm_total_bytes_ci_high,task_records_max_worker_median,task_records_max_worker_ci_low,task_records_max_worker_ci_high,task_records_min_worker_median,task_records_min_worker_ci_low,task_records_min_worker_ci_high,task_record_imbalance_median,task_record_imbalance_ci_low,task_record_imbalance_ci_high
exp_lut|16|2048|16|auto|query_chunk_x_kv_head,exp_lut,16,2048,16,auto,query_chunk_x_kv_head,477.5,474.0,488.5,495.0,490.0,497.0,8.0,8.0,8.0,99.5,98.0,101.0,72.0,71.0,73.0,7.0,7.0,7.0,281.0,280.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.5,11.0,3.0,3.0,3.0,12.0,12.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,16.0,16.0,16.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
exp_lut|16|2048|32|auto|query_chunk_x_kv_head,exp_lut,16,2048,32,auto,query_chunk_x_kv_head,471.5,420.0,477.5,496.5,492.0,500.5,8.0,8.0,8.0,97.0,95.0,100.0,73.5,72.0,74.0,7.0,7.0,7.0,287.0,282.5,289.5,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.5,11.0,3.0,3.0,4.0,12.0,12.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,32.0,32.0,32.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
exp_lut|16|2048|4|auto|query_chunk_x_kv_head,exp_lut,16,2048,4,auto,query_chunk_x_kv_head,557.0,536.0,584.5,1217.5,1205.0,1244.0,10.0,9.0,10.0,460.5,452.0,477.5,398.5,391.0,405.5,10.0,9.0,11.0,277.0,274.5,280.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,29.0,31.0,10.0,9.0,10.0,16.5,16.0,19.5,6.0,6.0,6.0,8.0,8.0,8.0,4.0,4.0,4.0,6291456.0,6291456.0,6291456.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
exp_lut|16|2048|8|auto|query_chunk_x_kv_head,exp_lut,16,2048,8,auto,query_chunk_x_kv_head,376.0,364.0,393.0,698.5,686.0,713.0,12.0,11.0,12.0,204.5,201.0,208.0,170.5,166.5,177.5,11.0,10.0,11.5,263.0,260.0,270.5,0.0,0.0,0.0,0.0,0.0,0.0,17.0,16.0,17.0,4.0,4.0,6.0,13.0,13.0,14.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,8.0,8.0,4194304.0,4194304.0,4194304.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
exp_lut|16|4096|16|auto|query_chunk_x_kv_head,exp_lut,16,4096,16,auto,query_chunk_x_kv_head,705.0,681.0,722.0,890.5,886.5,894.0,8.0,8.0,8.0,191.0,187.0,193.5,117.0,115.5,119.0,13.0,13.0,13.0,523.5,520.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,22.0,4.0,3.0,5.0,12.0,12.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,16.0,16.0,16.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
exp_lut|16|4096|32|auto|query_chunk_x_kv_head,exp_lut,16,4096,32,auto,query_chunk_x_kv_head,673.0,660.0,718.0,888.0,882.0,895.0,8.0,8.0,8.0,187.0,184.0,189.0,118.5,117.5,120.0,13.0,13.0,14.0,519.0,512.0,524.5,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,23.0,5.0,4.0,5.0,12.0,12.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,32.0,32.0,32.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
exp_lut|16|4096|4|auto|query_chunk_x_kv_head,exp_lut,16,4096,4,auto,query_chunk_x_kv_head,930.0,919.0,949.0,2534.0,2497.5,2573.0,12.0,12.0,12.0,891.0,874.0,899.5,977.5,952.0,998.0,22.0,21.0,22.5,539.0,532.0,546.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,56.0,59.0,15.5,14.0,17.0,22.0,22.0,22.0,6.0,6.0,6.0,8.0,8.0,8.0,4.0,4.0,4.0,6291456.0,6291456.0,6291456.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
exp_lut|16|4096|8|auto|query_chunk_x_kv_head,exp_lut,16,4096,8,auto,query_chunk_x_kv_head,581.0,563.0,583.0,1299.0,1284.0,1309.0,12.0,12.0,12.0,385.0,382.0,389.0,310.5,303.0,319.0,19.0,19.0,20.0,512.5,509.5,517.5,0.0,0.0,0.0,0.0,0.0,0.0,32.5,31.0,34.0,7.0,6.0,7.5,15.0,14.0,16.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,8.0,8.0,4194304.0,4194304.0,4194304.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
exp_lut|16|512|16|auto|query_chunk_x_kv_head,exp_lut,16,512,16,auto,query_chunk_x_kv_head,137.0,136.0,143.0,128.5,126.0,130.5,6.0,6.0,6.0,24.0,19.5,26.0,9.0,9.0,10.0,0.0,0.0,0.0,79.0,78.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0,16.0,16.0,16.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
exp_lut|16|512|32|auto|query_chunk_x_kv_head,exp_lut,16,512,32,auto,query_chunk_x_kv_head,137.0,135.0,146.0,128.0,126.0,132.0,6.0,6.0,6.0,22.0,19.0,26.0,10.0,10.0,10.0,0.0,0.0,0.0,79.0,78.5,79.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0,32.0,32.0,32.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
