key,label,q,kv,q_task_rows,requested_workers,mapping,host_us_median,host_us_ci_low,host_us_ci_high,profiled_total_median,profiled_total_ci_low,profiled_total_ci_high,q_load_median,q_load_ci_low,q_load_ci_high,k_load_median,k_load_ci_low,k_load_ci_high,v_load_median,v_load_ci_low,v_load_ci_high,qk_dot_median,qk_dot_ci_low,qk_dot_ci_high,safe_sm_median,safe_sm_ci_low,safe_sm_ci_high,scna_exp_median,scna_exp_ci_low,scna_exp_ci_high,state_update_median,state_update_ci_low,state_update_ci_high,core_acc_median,core_acc_ci_low,core_acc_ci_high,o_scale_median,o_scale_ci_low,o_scale_ci_high,o_store_median,o_store_ci_low,o_store_ci_high,active_workers_median,active_workers_ci_low,active_workers_ci_high,tasks_median,tasks_ci_low,tasks_ci_high,q_task_rows_actual_median,q_task_rows_actual_ci_low,q_task_rows_actual_ci_high,vtcm_total_bytes_median,vtcm_total_bytes_ci_low,vtcm_total_bytes_ci_high,task_records_max_worker_median,task_records_max_worker_ci_low,task_records_max_worker_ci_high,task_records_min_worker_median,task_records_min_worker_ci_low,task_records_min_worker_ci_high,task_record_imbalance_median,task_record_imbalance_ci_low,task_record_imbalance_ci_high
exp_lut|32|4096|32|1|query_chunk_x_kv_head,exp_lut,32,4096,32,1,query_chunk_x_kv_head,1866.0,1857.0,1882.0,1594.0,1561.0,1618.5,14.0,14.0,14.0,137.0,134.0,140.0,121.5,119.0,124.0,22.0,22.0,22.0,1235.0,1214.0,1259.5,0.0,0.0,0.0,0.0,0.0,0.0,33.0,32.0,33.0,4.0,4.0,4.0,22.0,22.0,22.0,1.0,1.0,1.0,2.0,2.0,2.0,32.0,32.0,32.0,1048576.0,1048576.0,1048576.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
exp_lut|32|4096|32|auto|query_chunk_x_kv_head,exp_lut,32,4096,32,auto,query_chunk_x_kv_head,1081.5,1073.0,1096.0,1626.0,1618.0,1635.0,16.0,16.0,16.0,176.0,174.0,178.0,101.0,100.0,103.0,25.0,25.0,25.0,1230.5,1224.0,1240.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,46.0,6.0,6.0,6.0,24.0,24.0,24.0,2.0,2.0,2.0,2.0,2.0,2.0,32.0,32.0,32.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
exp_lut|32|4096|4|1|query_chunk_x_kv_head,exp_lut,32,4096,4,1,query_chunk_x_kv_head,4940.5,4888.0,5022.5,3941.0,3882.0,4044.0,16.0,16.0,16.0,1129.5,1116.0,1138.0,1485.0,1454.0,1542.0,21.0,21.0,22.0,1167.0,1152.0,1184.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,69.5,76.0,24.0,23.0,26.0,28.5,27.0,29.0,1.0,1.0,1.0,16.0,16.0,16.0,4.0,4.0,4.0,1048576.0,1048576.0,1048576.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0
exp_lut|32|4096|4|auto|query_chunk_x_kv_head,exp_lut,32,4096,4,auto,query_chunk_x_kv_head,1406.5,1395.5,1416.0,5259.5,5176.0,5344.0,22.0,21.0,23.0,1896.0,1864.0,1946.0,2035.5,1973.0,2082.5,49.0,48.0,51.0,1080.0,1072.5,1088.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,107.0,113.0,25.0,24.0,26.0,43.0,42.0,44.0,6.0,6.0,6.0,16.0,16.0,16.0,4.0,4.0,4.0,6291456.0,6291456.0,6291456.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0
fused_state_update|32|4096|32|1|query_chunk_x_kv_head,fused_state_update,32,4096,32,1,query_chunk_x_kv_head,2336.0,2324.0,2351.0,2030.5,2019.0,2054.0,15.0,15.0,15.0,138.5,134.0,143.0,112.0,110.0,114.0,23.0,23.0,23.0,1707.5,1697.0,1712.0,966.5,965.0,968.0,0.0,0.0,0.0,23.0,23.0,24.0,5.0,5.0,5.0,20.0,20.0,20.0,1.0,1.0,1.0,2.0,2.0,2.0,32.0,32.0,32.0,1048576.0,1048576.0,1048576.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
fused_state_update|32|4096|32|auto|query_chunk_x_kv_head,fused_state_update,32,4096,32,auto,query_chunk_x_kv_head,1255.5,1241.5,1281.5,2010.5,2002.0,2017.5,16.0,16.0,16.0,179.0,176.0,181.0,92.5,91.0,93.5,26.0,25.0,26.0,1640.5,1632.5,1648.5,971.0,970.0,973.0,0.0,0.0,0.0,35.0,34.0,35.0,5.0,4.5,5.0,22.0,22.0,22.0,2.0,2.0,2.0,2.0,2.0,2.0,32.0,32.0,32.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fused_state_update|32|4096|4|1|query_chunk_x_kv_head,fused_state_update,32,4096,4,1,query_chunk_x_kv_head,5352.5,5312.0,5469.5,4393.0,4304.0,4577.0,16.5,16.0,17.0,1171.0,1101.0,1224.0,1466.5,1442.0,1512.0,29.5,28.0,30.0,1670.0,1649.0,1712.0,1030.0,1024.0,1039.0,0.0,0.0,0.0,26.0,25.0,27.0,23.5,23.0,24.0,19.5,17.0,21.0,1.0,1.0,1.0,16.0,16.0,16.0,4.0,4.0,4.0,1048576.0,1048576.0,1048576.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0
fused_state_update|32|4096|4|auto|query_chunk_x_kv_head,fused_state_update,32,4096,4,auto,query_chunk_x_kv_head,1504.0,1473.0,1535.0,5642.0,5504.0,5746.5,24.0,24.0,25.0,2034.5,1966.0,2127.0,1816.5,1801.0,1844.0,51.0,49.0,54.5,1560.5,1548.0,1568.0,1060.5,1053.0,1069.0,0.0,0.0,0.0,65.0,62.5,67.0,22.0,21.0,23.0,37.0,35.0,38.0,6.0,6.0,6.0,16.0,16.0,16.0,4.0,4.0,4.0,6291456.0,6291456.0,6291456.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0
original_baseline|32|4096|32|auto|original_kv_head,original_baseline,32,4096,32,auto,original_kv_head,1584.5,1563.5,1603.0,2450.0,2444.0,2456.5,16.0,16.0,16.0,180.0,177.0,184.0,125.0,123.0,126.0,25.0,25.0,25.0,2037.5,2029.0,2043.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,41.0,43.0,4.0,4.0,5.0,24.0,24.0,24.0,2.0,2.0,2.0,2.0,2.0,2.0,32.0,32.0,32.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
original_lut-exp|32|4096|32|auto|original_kv_head,original_lut-exp,32,4096,32,auto,original_kv_head,1053.5,1021.0,1070.0,1420.5,1413.0,1423.0,16.0,16.0,16.0,177.0,174.0,181.0,119.0,118.0,120.0,25.0,25.0,26.0,1015.0,1009.0,1018.5,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,46.0,4.0,3.0,4.0,24.0,24.0,24.0,2.0,2.0,2.0,2.0,2.0,2.0,32.0,32.0,32.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
