key,label,q,kv,q_task_rows,requested_workers,mapping,host_us_median,host_us_ci_low,host_us_ci_high,profiled_total_median,profiled_total_ci_low,profiled_total_ci_high,q_load_median,q_load_ci_low,q_load_ci_high,k_load_median,k_load_ci_low,k_load_ci_high,v_load_median,v_load_ci_low,v_load_ci_high,qk_dot_median,qk_dot_ci_low,qk_dot_ci_high,safe_sm_median,safe_sm_ci_low,safe_sm_ci_high,scna_exp_median,scna_exp_ci_low,scna_exp_ci_high,state_update_median,state_update_ci_low,state_update_ci_high,core_acc_median,core_acc_ci_low,core_acc_ci_high,o_scale_median,o_scale_ci_low,o_scale_ci_high,o_store_median,o_store_ci_low,o_store_ci_high,active_workers_median,active_workers_ci_low,active_workers_ci_high,tasks_median,tasks_ci_low,tasks_ci_high,q_task_rows_actual_median,q_task_rows_actual_ci_low,q_task_rows_actual_ci_high,vtcm_total_bytes_median,vtcm_total_bytes_ci_low,vtcm_total_bytes_ci_high,task_records_max_worker_median,task_records_max_worker_ci_low,task_records_max_worker_ci_high,task_records_min_worker_median,task_records_min_worker_ci_low,task_records_min_worker_ci_high,task_record_imbalance_median,task_record_imbalance_ci_low,task_record_imbalance_ci_high
exp_lut|32|4096|16|auto|query_chunk_x_kv_head,exp_lut,32,4096,16,auto,query_chunk_x_kv_head,709.5,688.0,735.0,1843.0,1832.0,1855.5,22.0,20.0,24.0,369.0,365.5,375.0,287.5,281.0,299.0,30.0,29.0,31.0,1060.0,1053.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,44.5,5.0,4.0,5.0,23.5,23.0,24.0,4.0,4.0,4.0,4.0,4.0,4.0,16.0,16.0,16.0,4194304.0,4194304.0,4194304.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
exp_lut|32|4096|32|1|query_chunk_x_kv_head,exp_lut,32,4096,32,1,query_chunk_x_kv_head,1866.0,1857.0,1882.5,1594.0,1562.0,1618.0,14.0,14.0,14.0,137.0,134.0,140.0,121.5,119.0,124.0,22.0,22.0,22.0,1235.0,1214.0,1259.5,0.0,0.0,0.0,0.0,0.0,0.0,33.0,32.0,33.0,4.0,4.0,4.0,22.0,22.0,22.0,1.0,1.0,1.0,2.0,2.0,2.0,32.0,32.0,32.0,1048576.0,1048576.0,1048576.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
exp_lut|32|4096|32|auto|query_chunk_x_kv_head,exp_lut,32,4096,32,auto,query_chunk_x_kv_head,1081.5,1073.0,1097.0,1626.0,1618.0,1635.0,16.0,16.0,16.0,176.0,174.0,178.0,101.0,100.0,103.0,25.0,25.0,25.0,1230.5,1224.0,1240.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,46.0,6.0,6.0,6.0,24.0,24.0,24.0,2.0,2.0,2.0,2.0,2.0,2.0,32.0,32.0,32.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
exp_lut|32|4096|4|1|query_chunk_x_kv_head,exp_lut,32,4096,4,1,query_chunk_x_kv_head,4940.5,4886.5,5014.0,3941.0,3882.0,4045.0,16.0,16.0,16.0,1129.5,1116.0,1138.0,1485.0,1454.0,1544.5,21.0,21.0,22.0,1167.0,1152.0,1184.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,69.5,76.0,24.0,23.0,26.0,28.5,27.0,29.0,1.0,1.0,1.0,16.0,16.0,16.0,4.0,4.0,4.0,1048576.0,1048576.0,1048576.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0
exp_lut|32|4096|4|auto|query_chunk_x_kv_head,exp_lut,32,4096,4,auto,query_chunk_x_kv_head,1406.5,1395.5,1416.0,5259.5,5176.0,5345.0,22.0,21.0,23.0,1896.0,1864.0,1946.0,2035.5,1973.0,2085.0,49.0,48.0,51.0,1080.0,1072.0,1088.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,107.0,113.0,25.0,24.0,26.0,43.0,42.0,44.0,6.0,6.0,6.0,16.0,16.0,16.0,4.0,4.0,4.0,6291456.0,6291456.0,6291456.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0
exp_lut|32|4096|8|auto|query_chunk_x_kv_head,exp_lut,32,4096,8,auto,query_chunk_x_kv_head,1012.5,1007.0,1020.0,2697.0,2677.5,2712.5,26.0,25.0,27.0,837.5,830.0,851.0,550.0,543.0,557.0,57.0,55.0,59.0,1085.5,1081.0,1089.0,0.0,0.0,0.0,0.0,0.0,0.0,90.5,87.0,94.0,14.0,13.0,16.0,27.0,26.0,29.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,6291456.0,6291456.0,6291456.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
fused_state_update|32|4096|16|auto|query_chunk_x_kv_head,fused_state_update,32,4096,16,auto,query_chunk_x_kv_head,833.0,802.0,855.0,2248.0,2230.0,2261.0,24.0,23.0,24.0,378.0,375.0,384.0,230.5,225.0,235.0,30.0,29.0,31.0,1509.5,1496.0,1518.0,1001.0,1000.0,1005.0,0.0,0.0,0.0,33.0,32.5,34.0,5.0,5.0,6.0,23.0,22.0,23.0,4.0,4.0,4.0,4.0,4.0,4.0,16.0,16.0,16.0,4194304.0,4194304.0,4194304.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fused_state_update|32|4096|32|1|query_chunk_x_kv_head,fused_state_update,32,4096,32,1,query_chunk_x_kv_head,2336.0,2323.0,2351.5,2030.5,2019.0,2054.0,15.0,15.0,15.0,138.5,134.0,143.0,112.0,110.0,114.0,23.0,23.0,23.0,1707.5,1697.0,1712.0,966.5,965.0,967.5,0.0,0.0,0.0,23.0,23.0,24.0,5.0,5.0,5.0,20.0,20.0,20.0,1.0,1.0,1.0,2.0,2.0,2.0,32.0,32.0,32.0,1048576.0,1048576.0,1048576.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
fused_state_update|32|4096|32|auto|query_chunk_x_kv_head,fused_state_update,32,4096,32,auto,query_chunk_x_kv_head,1255.5,1244.0,1281.0,2010.5,2002.0,2017.5,16.0,16.0,16.0,179.0,176.0,181.0,92.5,91.0,93.5,26.0,25.0,26.0,1640.5,1633.0,1648.0,971.0,970.0,973.0,0.0,0.0,0.0,35.0,34.0,35.0,5.0,4.5,5.0,22.0,22.0,22.0,2.0,2.0,2.0,2.0,2.0,2.0,32.0,32.0,32.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fused_state_update|32|4096|4|1|query_chunk_x_kv_head,fused_state_update,32,4096,4,1,query_chunk_x_kv_head,5352.5,5312.5,5470.0,4393.0,4304.0,4577.0,16.5,16.0,17.0,1171.0,1101.0,1224.0,1466.5,1441.5,1512.0,29.5,28.0,30.0,1670.0,1648.5,1712.0,1030.0,1024.0,1039.0,0.0,0.0,0.0,26.0,25.0,27.0,23.5,23.0,24.0,19.5,17.0,21.0,1.0,1.0,1.0,16.0,16.0,16.0,4.0,4.0,4.0,1048576.0,1048576.0,1048576.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0
