key,label,q,kv,q_task_rows,requested_workers,mapping,host_us_median,host_us_ci_low,host_us_ci_high,profiled_total_median,profiled_total_ci_low,profiled_total_ci_high,q_load_median,q_load_ci_low,q_load_ci_high,k_load_median,k_load_ci_low,k_load_ci_high,v_load_median,v_load_ci_low,v_load_ci_high,qk_dot_median,qk_dot_ci_low,qk_dot_ci_high,safe_sm_median,safe_sm_ci_low,safe_sm_ci_high,scna_exp_median,scna_exp_ci_low,scna_exp_ci_high,state_update_median,state_update_ci_low,state_update_ci_high,core_acc_median,core_acc_ci_low,core_acc_ci_high,o_scale_median,o_scale_ci_low,o_scale_ci_high,o_store_median,o_store_ci_low,o_store_ci_high,active_workers_median,active_workers_ci_low,active_workers_ci_high,tasks_median,tasks_ci_low,tasks_ci_high,q_task_rows_actual_median,q_task_rows_actual_ci_low,q_task_rows_actual_ci_high,vtcm_total_bytes_median,vtcm_total_bytes_ci_low,vtcm_total_bytes_ci_high,task_records_max_worker_median,task_records_max_worker_ci_low,task_records_max_worker_ci_high,task_records_min_worker_median,task_records_min_worker_ci_low,task_records_min_worker_ci_high,task_record_imbalance_median,task_record_imbalance_ci_low,task_record_imbalance_ci_high
exp_lut|32|4096|16|1|query_chunk_x_kv_head,exp_lut,32,4096,16,1,query_chunk_x_kv_head,2128.0,2114.0,2140.0,1699.0,1688.0,1708.0,16.0,15.5,16.0,283.0,281.5,286.0,240.0,236.0,243.0,22.0,22.0,22.0,1085.0,1077.5,1090.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,32.0,33.0,7.0,6.5,7.0,24.0,23.0,24.0,1.0,1.0,1.0,4.0,4.0,4.0,16.0,16.0,16.0,1048576.0,1048576.0,1048576.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0
exp_lut|32|4096|16|2|query_chunk_x_kv_head,exp_lut,32,4096,16,2,query_chunk_x_kv_head,1265.0,1254.5,1273.0,1816.0,1803.0,1827.0,18.0,16.0,18.0,371.5,368.0,375.0,238.5,235.0,241.5,27.0,27.0,27.0,1084.0,1071.0,1099.5,0.0,0.0,0.0,0.0,0.0,0.0,45.0,44.5,46.0,9.0,8.0,10.0,24.0,24.0,26.0,2.0,2.0,2.0,4.0,4.0,4.0,16.0,16.0,16.0,2097152.0,2097152.0,2097152.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
exp_lut|32|4096|16|3|query_chunk_x_kv_head,exp_lut,32,4096,16,3,query_chunk_x_kv_head,1210.0,1203.0,1230.0,1753.0,1741.0,1775.0,17.0,17.0,17.0,323.0,319.0,327.0,254.5,249.0,259.0,24.0,24.0,25.0,1056.5,1046.0,1067.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,40.0,42.0,7.0,6.5,8.0,24.0,23.0,25.0,3.0,3.0,3.0,4.0,4.0,4.0,16.0,16.0,16.0,3145728.0,3145728.0,3145728.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
exp_lut|32|4096|16|4|query_chunk_x_kv_head,exp_lut,32,4096,16,4,query_chunk_x_kv_head,718.5,713.0,725.0,1853.5,1843.0,1863.0,24.0,24.0,24.0,378.0,370.5,385.0,277.5,264.0,282.0,31.0,30.0,31.0,1068.0,1064.0,1071.5,0.0,0.0,0.0,0.0,0.0,0.0,48.5,47.5,50.0,5.0,5.0,5.5,24.0,24.0,24.0,4.0,4.0,4.0,4.0,4.0,4.0,16.0,16.0,16.0,4194304.0,4194304.0,4194304.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
exp_lut|32|4096|16|5|query_chunk_x_kv_head,exp_lut,32,4096,16,5,query_chunk_x_kv_head,714.5,707.5,723.5,1855.0,1842.0,1865.0,28.0,28.0,28.0,376.0,373.0,380.0,279.0,269.0,288.0,30.0,29.0,31.0,1071.5,1066.0,1079.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,45.0,48.0,5.0,5.0,5.0,24.0,23.5,24.0,4.0,4.0,4.0,4.0,4.0,4.0,16.0,16.0,16.0,4194304.0,4194304.0,4194304.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
exp_lut|32|4096|16|6|query_chunk_x_kv_head,exp_lut,32,4096,16,6,query_chunk_x_kv_head,724.0,707.0,742.0,1853.0,1842.0,1867.0,24.0,24.0,27.0,373.5,369.5,381.0,283.5,271.5,292.0,30.0,29.0,31.0,1074.0,1064.0,1079.5,0.0,0.0,0.0,0.0,0.0,0.0,44.0,42.5,45.0,5.0,5.0,5.0,24.0,24.0,24.0,4.0,4.0,4.0,4.0,4.0,4.0,16.0,16.0,16.0,4194304.0,4194304.0,4194304.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
exp_lut|32|4096|16|auto|query_chunk_x_kv_head,exp_lut,32,4096,16,auto,query_chunk_x_kv_head,709.5,688.0,735.0,1843.0,1832.0,1855.0,22.0,20.0,24.0,369.0,365.5,375.0,287.5,281.0,298.5,30.0,29.0,31.0,1060.0,1053.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,44.5,5.0,4.0,5.0,23.5,23.0,24.0,4.0,4.0,4.0,4.0,4.0,4.0,16.0,16.0,16.0,4194304.0,4194304.0,4194304.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
exp_lut|32|4096|32|1|query_chunk_x_kv_head,exp_lut,32,4096,32,1,query_chunk_x_kv_head,1866.0,1857.0,1882.5,1594.0,1561.0,1618.0,14.0,14.0,14.0,137.0,134.0,140.0,121.5,119.0,124.0,22.0,22.0,22.0,1235.0,1214.0,1259.5,0.0,0.0,0.0,0.0,0.0,0.0,33.0,32.0,33.0,4.0,4.0,4.0,22.0,22.0,22.0,1.0,1.0,1.0,2.0,2.0,2.0,32.0,32.0,32.0,1048576.0,1048576.0,1048576.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
exp_lut|32|4096|32|auto|query_chunk_x_kv_head,exp_lut,32,4096,32,auto,query_chunk_x_kv_head,1081.5,1073.0,1096.0,1626.0,1618.0,1635.0,16.0,16.0,16.0,176.0,174.0,178.0,101.0,100.0,103.0,25.0,25.0,25.0,1230.5,1224.0,1239.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,46.0,6.0,6.0,6.0,24.0,24.0,24.0,2.0,2.0,2.0,2.0,2.0,2.0,32.0,32.0,32.0,2097152.0,2097152.0,2097152.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
exp_lut|32|4096|4|1|query_chunk_x_kv_head,exp_lut,32,4096,4,1,query_chunk_x_kv_head,4940.5,4888.0,5025.5,3941.0,3882.0,4045.0,16.0,16.0,16.0,1129.5,1116.0,1138.0,1485.0,1454.0,1542.0,21.0,21.0,22.0,1167.0,1152.0,1184.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,70.0,76.0,24.0,23.0,26.0,28.5,27.0,29.0,1.0,1.0,1.0,16.0,16.0,16.0,4.0,4.0,4.0,1048576.0,1048576.0,1048576.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0
exp_lut|32|4096|4|auto|query_chunk_x_kv_head,exp_lut,32,4096,4,auto,query_chunk_x_kv_head,1406.5,1395.5,1416.0,5259.5,5176.0,5345.0,22.0,21.0,23.0,1896.0,1864.0,1946.0,2035.5,1971.0,2085.0,49.0,48.0,51.0,1080.0,1072.0,1088.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,107.0,113.0,25.0,24.0,26.0,43.0,42.0,44.0,6.0,6.0,6.0,16.0,16.0,16.0,4.0,4.0,4.0,6291456.0,6291456.0,6291456.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0
exp_lut|32|4096|8|1|query_chunk_x_kv_head,exp_lut,32,4096,8,1,query_chunk_x_kv_head,3060.0,3021.5,3102.0,2477.0,2457.0,2503.0,16.0,16.0,16.0,522.0,517.0,524.0,778.5,766.0,782.5,26.0,26.0,27.0,1073.0,1053.0,1082.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,33.0,36.0,11.0,10.0,12.0,24.0,24.0,24.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,8.0,8.0,1048576.0,1048576.0,1048576.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0
exp_lut|32|4096|8|2|query_chunk_x_kv_head,exp_lut,32,4096,8,2,query_chunk_x_kv_head,1885.5,1872.0,1906.0,2742.0,2725.5,2754.5,20.0,18.0,20.0,713.0,706.0,724.0,740.0,737.0,747.0,36.0,35.0,36.0,1129.0,1123.0,1141.5,0.0,0.0,0.0,0.0,0.0,0.0,54.5,52.0,56.0,18.0,17.0,18.0,31.0,30.5,32.0,2.0,2.0,2.0,8.0,8.0,8.0,8.0,8.0,8.0,2097152.0,2097152.0,2097152.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0
exp_lut|32|4096|8|3|query_chunk_x_kv_head,exp_lut,32,4096,8,3,query_chunk_x_kv_head,1381.5,1372.0,1396.0,2543.0,2528.0,2554.0,19.0,18.0,20.0,666.0,659.0,673.0,666.0,657.0,671.0,32.0,31.0,32.0,1060.0,1046.0,1069.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,50.5,53.0,14.0,13.0,15.5,30.0,30.0,31.0,3.0,3.0,3.0,8.0,8.0,8.0,8.0,8.0,8.0,3145728.0,3145728.0,3145728.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0
exp_lut|32|4096|8|4|query_chunk_x_kv_head,exp_lut,32,4096,8,4,query_chunk_x_kv_head,980.0,964.0,993.5,2558.0,2533.0,2582.0,22.0,22.0,23.0,768.5,760.0,773.5,595.0,577.0,606.0,39.0,38.0,40.0,1029.0,1021.5,1038.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,59.0,66.0,12.0,11.5,13.0,28.0,27.0,29.0,4.0,4.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,4194304.0,4194304.0,4194304.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
exp_lut|32|4096|8|5|query_chunk_x_kv_head,exp_lut,32,4096,8,5,query_chunk_x_kv_head,957.5,952.5,968.0,2439.0,2405.0,2455.0,24.5,23.0,25.5,738.5,731.0,751.5,524.0,517.0,532.0,38.0,37.0,39.0,1008.0,1004.0,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,52.0,55.0,9.0,8.0,10.0,27.0,26.0,27.0,5.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,5242880.0,5242880.0,5242880.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
exp_lut|32|4096|8|6|query_chunk_x_kv_head,exp_lut,32,4096,8,6,query_chunk_x_kv_head,1021.0,1006.0,1042.0,2682.5,2662.0,2715.0,24.5,23.0,26.0,835.0,826.0,849.0,551.0,547.0,557.0,56.5,54.0,59.0,1080.5,1070.0,1092.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,91.0,95.0,16.0,15.0,17.0,32.0,31.0,32.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,6291456.0,6291456.0,6291456.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
exp_lut|32|4096|8|auto|query_chunk_x_kv_head,exp_lut,32,4096,8,auto,query_chunk_x_kv_head,1012.5,1007.0,1020.0,2697.0,2678.0,2712.0,26.0,25.0,27.0,837.5,830.0,851.0,550.0,543.0,557.5,57.0,55.0,59.0,1085.5,1080.5,1089.0,0.0,0.0,0.0,0.0,0.0,0.0,90.5,87.0,94.0,14.0,13.0,16.0,27.0,26.0,29.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,6291456.0,6291456.0,6291456.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
fused_state_update|32|4096|16|1|query_chunk_x_kv_head,fused_state_update,32,4096,16,1,query_chunk_x_kv_head,2512.5,2504.0,2522.0,2109.5,2105.0,2114.5,16.0,16.0,16.0,269.0,268.0,270.0,213.5,211.0,216.0,23.0,23.0,23.0,1548.0,1544.0,1552.0,966.0,965.0,967.0,0.0,0.0,0.0,15.0,15.0,16.0,6.0,6.0,6.0,20.0,20.0,20.0,1.0,1.0,1.0,4.0,4.0,4.0,16.0,16.0,16.0,1048576.0,1048576.0,1048576.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0
fused_state_update|32|4096|16|2|query_chunk_x_kv_head,fused_state_update,32,4096,16,2,query_chunk_x_kv_head,1424.5,1410.0,1433.0,2168.0,2160.5,2175.0,16.0,16.0,16.0,365.5,361.0,368.5,203.0,200.0,206.0,27.0,26.0,27.0,1504.0,1495.0,1510.0,972.0,970.0,974.0,0.0,0.0,0.0,24.0,24.0,25.0,7.0,6.5,7.0,24.0,23.0,24.0,2.0,2.0,2.0,4.0,4.0,4.0,16.0,16.0,16.0,2097152.0,2097152.0,2097152.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0
fused_state_update|32|4096|16|3|query_chunk_x_kv_head,fused_state_update,32,4096,16,3,query_chunk_x_kv_head,1352.0,1343.0,1357.5,2137.5,2127.5,2150.5,16.0,16.0,16.0,317.0,314.5,320.0,224.5,221.0,228.0,24.0,24.0,24.0,1503.0,1492.0,1513.0,980.0,976.5,983.0,0.0,0.0,0.0,23.5,23.0,24.0,5.0,5.0,6.0,22.0,21.0,22.0,3.0,3.0,3.0,4.0,4.0,4.0,16.0,16.0,16.0,3145728.0,3145728.0,3145728.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
fused_state_update|32|4096|16|4|query_chunk_x_kv_head,fused_state_update,32,4096,16,4,query_chunk_x_kv_head,783.0,776.0,791.5,2218.0,2207.0,2227.0,20.0,20.0,20.0,382.0,378.0,386.0,226.5,223.0,230.0,29.0,29.0,30.0,1487.0,1478.0,1495.0,997.0,994.0,999.0,0.0,0.0,0.0,34.0,32.0,35.5,5.0,5.0,6.0,23.0,22.0,23.0,4.0,4.0,4.0,4.0,4.0,4.0,16.0,16.0,16.0,4194304.0,4194304.0,4194304.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fused_state_update|32|4096|16|5|query_chunk_x_kv_head,fused_state_update,32,4096,16,5,query_chunk_x_kv_head,782.5,777.0,818.0,2220.0,2210.0,2226.5,24.0,24.0,24.0,382.5,377.5,384.0,225.0,223.0,228.0,30.0,30.0,31.0,1496.5,1489.0,1502.0,999.0,997.0,1000.5,0.0,0.0,0.0,33.0,32.0,34.0,5.0,5.0,5.0,23.0,22.5,23.0,4.0,4.0,4.0,4.0,4.0,4.0,16.0,16.0,16.0,4194304.0,4194304.0,4194304.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fused_state_update|32|4096|16|6|query_chunk_x_kv_head,fused_state_update,32,4096,16,6,query_chunk_x_kv_head,785.0,779.0,794.0,2219.5,2212.5,2225.0,20.0,20.0,24.0,374.0,371.0,377.0,228.0,226.5,232.5,29.5,29.0,30.5,1493.0,1489.0,1500.0,998.0,997.0,999.0,0.0,0.0,0.0,32.5,31.0,34.0,5.0,5.0,5.0,23.0,22.0,23.0,4.0,4.0,4.0,4.0,4.0,4.0,16.0,16.0,16.0,4194304.0,4194304.0,4194304.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
