mode,qo_len,kv_len,n_heads,n_kv_heads,head_dim,iteration,record_count,profiled_total,q_load,k_load,v_load,qk_dot,safe_sm,core_acc,o_scale,o_store,q_load_pct,k_load_pct,v_load_pct,qk_dot_pct,safe_sm_pct,core_acc_pct,o_scale_pct,o_store_pct
lut-exp,4,4096,12,2,128,0,2,483,2,181,183,3,106,4,0,4,0.4140786749482402,37.47412008281574,37.88819875776397,0.6211180124223602,21.94616977225673,0.8281573498964804,0.0,0.8281573498964804
lut-exp,4,4096,12,2,128,1,2,486,2,183,185,2,106,4,0,4,0.411522633744856,37.65432098765432,38.065843621399175,0.411522633744856,21.810699588477366,0.823045267489712,0.0,0.823045267489712
lut-exp,4,4096,12,2,128,2,2,492,2,198,176,2,105,4,1,4,0.40650406504065045,40.243902439024396,35.77235772357724,0.40650406504065045,21.341463414634145,0.8130081300813009,0.20325203252032523,0.8130081300813009
lut-exp,4,4096,12,2,128,3,2,495,2,199,173,3,109,5,0,4,0.40404040404040403,40.2020202020202,34.94949494949495,0.6060606060606061,22.02020202020202,1.0101010101010102,0.0,0.8080808080808081
lut-exp,4,4096,12,2,128,4,2,479,2,182,178,2,105,6,0,4,0.41753653444676403,37.995824634655534,37.160751565762006,0.41753653444676403,21.920668058455114,1.2526096033402923,0.0,0.8350730688935281
lut-exp,4,4096,12,2,128,5,2,473,2,180,177,2,105,3,0,4,0.42283298097251587,38.05496828752643,37.420718816067655,0.42283298097251587,22.198731501057082,0.6342494714587738,0.0,0.8456659619450317
lut-exp,4,4096,12,2,128,6,2,480,2,182,180,3,105,3,1,4,0.4166666666666667,37.916666666666664,37.5,0.625,21.875,0.625,0.20833333333333334,0.8333333333333334
lut-exp,4,4096,12,2,128,7,2,488,2,197,175,2,105,3,0,4,0.4098360655737705,40.36885245901639,35.86065573770492,0.4098360655737705,21.51639344262295,0.6147540983606558,0.0,0.819672131147541
lut-exp,4,4096,12,2,128,8,2,473,2,178,177,3,105,4,0,4,0.42283298097251587,37.63213530655391,37.420718816067655,0.6342494714587738,22.198731501057082,0.8456659619450317,0.0,0.8456659619450317
lut-exp,4,4096,12,2,128,9,2,468,2,177,175,2,104,4,0,4,0.4273504273504274,37.82051282051282,37.39316239316239,0.4273504273504274,22.22222222222222,0.8547008547008548,0.0,0.8547008547008548
