mode,qo_len,kv_len,n_heads,n_kv_heads,head_dim,iteration,record_count,profiled_total,q_load,k_load,v_load,qk_dot,safe_sm,core_acc,o_scale,o_store,q_load_pct,k_load_pct,v_load_pct,qk_dot_pct,safe_sm_pct,core_acc_pct,o_scale_pct,o_store_pct
baseline,4,4096,12,2,128,0,2,555,2,191,178,2,173,3,2,4,0.36036036036036034,34.41441441441441,32.072072072072075,0.36036036036036034,31.17117117117117,0.5405405405405406,0.36036036036036034,0.7207207207207207
baseline,4,4096,12,2,128,1,2,560,2,195,182,3,172,3,0,3,0.35714285714285715,34.82142857142857,32.5,0.5357142857142857,30.714285714285715,0.5357142857142857,0.0,0.5357142857142857
baseline,4,4096,12,2,128,2,2,532,2,165,181,3,173,2,2,4,0.37593984962406013,31.015037593984964,34.02255639097744,0.5639097744360901,32.5187969924812,0.37593984962406013,0.37593984962406013,0.7518796992481203
baseline,4,4096,12,2,128,3,2,546,2,183,178,3,172,2,2,4,0.3663003663003663,33.51648351648351,32.6007326007326,0.5494505494505495,31.5018315018315,0.3663003663003663,0.3663003663003663,0.7326007326007326
baseline,4,4096,12,2,128,4,2,530,2,175,172,3,170,3,1,4,0.37735849056603776,33.0188679245283,32.45283018867924,0.5660377358490566,32.075471698113205,0.5660377358490566,0.18867924528301888,0.7547169811320755
baseline,4,4096,12,2,128,5,2,546,4,182,178,3,171,3,1,4,0.7326007326007326,33.33333333333333,32.6007326007326,0.5494505494505495,31.318681318681318,0.5494505494505495,0.18315018315018314,0.7326007326007326
baseline,4,4096,12,2,128,6,2,553,2,192,176,3,171,3,2,4,0.3616636528028933,34.719710669077756,31.82640144665461,0.5424954792043399,30.92224231464738,0.5424954792043399,0.3616636528028933,0.7233273056057866
baseline,4,4096,12,2,128,7,2,540,2,178,177,3,172,2,2,4,0.3703703703703704,32.96296296296296,32.77777777777778,0.5555555555555556,31.851851851851855,0.3703703703703704,0.3703703703703704,0.7407407407407408
baseline,4,4096,12,2,128,8,2,540,2,175,178,3,174,2,2,4,0.3703703703703704,32.407407407407405,32.96296296296296,0.5555555555555556,32.22222222222222,0.3703703703703704,0.3703703703703704,0.7407407407407408
baseline,4,4096,12,2,128,9,2,547,2,185,180,3,171,2,1,3,0.3656307129798903,33.820840950639855,32.90676416819013,0.5484460694698354,31.26142595978062,0.3656307129798903,0.18281535648994515,0.5484460694698354
baseline,4,4096,12,2,128,10,2,549,2,183,181,3,172,3,1,4,0.36429872495446264,33.33333333333333,32.96903460837887,0.546448087431694,31.329690346083787,0.546448087431694,0.18214936247723132,0.7285974499089253
baseline,4,4096,12,2,128,11,2,531,2,171,178,3,171,2,1,3,0.3766478342749529,32.20338983050847,33.52165725047081,0.5649717514124294,32.20338983050847,0.3766478342749529,0.18832391713747645,0.5649717514124294
baseline,4,4096,12,2,128,12,2,542,2,187,172,3,171,3,1,3,0.36900369003690037,34.50184501845018,31.73431734317343,0.5535055350553505,31.54981549815498,0.5535055350553505,0.18450184501845018,0.5535055350553505
baseline,4,4096,12,2,128,13,2,530,2,179,171,2,171,0,1,4,0.37735849056603776,33.77358490566038,32.264150943396224,0.37735849056603776,32.264150943396224,0.0,0.18867924528301888,0.7547169811320755
baseline,4,4096,12,2,128,14,2,538,2,179,175,3,173,2,1,3,0.37174721189591076,33.27137546468401,32.52788104089219,0.5576208178438662,32.15613382899628,0.37174721189591076,0.18587360594795538,0.5576208178438662
baseline,4,4096,12,2,128,15,2,555,2,185,185,3,173,2,2,3,0.36036036036036034,33.33333333333333,33.33333333333333,0.5405405405405406,31.17117117117117,0.36036036036036034,0.36036036036036034,0.5405405405405406
baseline,4,4096,12,2,128,16,2,542,2,174,185,3,172,2,1,3,0.36900369003690037,32.10332103321033,34.132841328413285,0.5535055350553505,31.73431734317343,0.36900369003690037,0.18450184501845018,0.5535055350553505
baseline,4,4096,12,2,128,17,2,537,2,170,184,3,171,2,1,4,0.37243947858473,31.65735567970205,34.26443202979516,0.5586592178770949,31.843575418994412,0.37243947858473,0.186219739292365,0.74487895716946
baseline,4,4096,12,2,128,18,2,554,2,178,193,3,170,3,2,3,0.36101083032490977,32.12996389891697,34.83754512635379,0.5415162454873645,30.685920577617328,0.5415162454873645,0.36101083032490977,0.5415162454873645
baseline,4,4096,12,2,128,19,2,551,2,182,187,3,169,3,1,4,0.3629764065335753,33.03085299455535,33.938294010889294,0.5444646098003629,30.671506352087114,0.5444646098003629,0.18148820326678766,0.7259528130671506
baseline,8,4096,12,2,128,0,2,766,4,160,207,7,373,7,1,7,0.5221932114882507,20.887728459530024,27.023498694516974,0.9138381201044387,48.69451697127937,0.9138381201044387,0.13054830287206268,0.9138381201044387
baseline,8,4096,12,2,128,1,2,778,4,172,205,7,371,10,2,7,0.5141388174807198,22.10796915167095,26.34961439588689,0.8997429305912596,47.68637532133676,1.2853470437017995,0.2570694087403599,0.8997429305912596
baseline,8,4096,12,2,128,2,2,793,4,185,211,7,370,6,2,8,0.5044136191677175,23.329129886506937,26.6078184110971,0.8827238335435058,46.658259773013874,0.7566204287515763,0.25220680958385877,1.008827238335435
baseline,8,4096,12,2,128,3,2,819,4,186,227,7,377,9,1,8,0.4884004884004884,22.71062271062271,27.716727716727718,0.8547008547008548,46.03174603174603,1.098901098901099,0.1221001221001221,0.9768009768009768
baseline,8,4096,12,2,128,4,2,806,4,184,223,9,370,8,1,7,0.49627791563275436,22.8287841191067,27.667493796526056,1.1166253101736971,45.90570719602978,0.9925558312655087,0.12406947890818859,0.8684863523573202
baseline,8,4096,12,2,128,5,2,777,4,173,204,8,375,6,1,6,0.5148005148005148,22.265122265122265,26.254826254826252,1.0296010296010296,48.26254826254826,0.7722007722007722,0.1287001287001287,0.7722007722007722
baseline,8,4096,12,2,128,6,2,761,4,164,197,8,373,8,1,6,0.5256241787122208,21.55059132720105,25.88699080157687,1.0512483574244416,49.01445466491459,1.0512483574244416,0.1314060446780552,0.7884362680683311
baseline,8,4096,12,2,128,7,2,763,4,166,199,7,371,9,1,6,0.5242463958060288,21.756225425950195,26.08125819134993,0.9174311926605505,48.62385321100918,1.1795543905635648,0.1310615989515072,0.7863695937090431
baseline,8,4096,12,2,128,8,2,833,4,218,210,10,379,6,1,5,0.4801920768307323,26.17046818727491,25.210084033613445,1.2004801920768309,45.49819927971189,0.7202881152460985,0.12004801920768307,0.6002400960384154
baseline,8,4096,12,2,128,9,2,770,4,165,205,7,374,8,1,6,0.5194805194805194,21.428571428571427,26.623376623376622,0.9090909090909091,48.57142857142857,1.0389610389610389,0.12987012987012986,0.7792207792207793
baseline,8,4096,12,2,128,10,2,771,4,170,201,8,375,6,0,7,0.5188067444876783,22.04928664072633,26.07003891050584,1.0376134889753565,48.63813229571984,0.7782101167315175,0.0,0.9079118028534372
baseline,8,4096,12,2,128,11,2,798,4,175,225,7,374,6,1,6,0.5012531328320802,21.929824561403507,28.195488721804512,0.8771929824561403,46.8671679197995,0.7518796992481203,0.12531328320802004,0.7518796992481203
baseline,8,4096,12,2,128,12,2,825,4,170,255,7,373,7,1,8,0.48484848484848486,20.606060606060606,30.909090909090907,0.8484848484848486,45.21212121212122,0.8484848484848486,0.12121212121212122,0.9696969696969697
baseline,8,4096,12,2,128,13,2,763,6,161,200,7,377,5,1,6,0.7863695937090431,21.100917431192663,26.212319790301443,0.9174311926605505,49.41022280471822,0.655307994757536,0.1310615989515072,0.7863695937090431
baseline,8,4096,12,2,128,14,2,791,4,181,211,8,373,7,1,6,0.5056890012642226,22.88242730720607,26.67509481668774,1.0113780025284451,47.15549936788875,0.8849557522123894,0.12642225031605564,0.7585335018963337
baseline,8,4096,12,2,128,15,2,793,4,177,215,8,374,6,1,8,0.5044136191677175,22.3203026481715,27.112232030264817,1.008827238335435,47.16267339218159,0.7566204287515763,0.12610340479192939,1.008827238335435
baseline,8,4096,12,2,128,16,2,785,4,170,218,7,371,6,1,8,0.5095541401273885,21.656050955414013,27.770700636942674,0.89171974522293,47.261146496815286,0.7643312101910829,0.12738853503184713,1.019108280254777
baseline,8,4096,12,2,128,17,2,806,4,174,229,7,377,8,1,6,0.49627791563275436,21.588089330024815,28.41191066997519,0.8684863523573202,46.774193548387096,0.9925558312655087,0.12406947890818859,0.7444168734491315
baseline,8,4096,12,2,128,18,2,804,4,162,237,7,377,8,1,8,0.4975124378109453,20.149253731343283,29.47761194029851,0.8706467661691543,46.89054726368159,0.9950248756218906,0.12437810945273632,0.9950248756218906
baseline,8,4096,12,2,128,19,2,801,4,168,228,7,378,7,1,8,0.4993757802746567,20.973782771535582,28.46441947565543,0.8739076154806492,47.19101123595505,0.8739076154806492,0.12484394506866417,0.9987515605493134
baseline,16,4096,12,2,128,0,2,1183,8,199,142,13,796,12,1,12,0.6762468300929839,16.821639898562974,12.003381234150465,1.098901098901099,67.2865595942519,1.0143702451394758,0.08453085376162299,1.0143702451394758
baseline,16,4096,12,2,128,1,2,1143,8,167,155,13,774,13,2,11,0.699912510936133,14.610673665791776,13.560804899387577,1.1373578302712162,67.71653543307087,1.1373578302712162,0.17497812773403326,0.9623797025371827
baseline,16,4096,12,2,128,2,2,1162,8,175,148,12,795,11,1,12,0.6884681583476765,15.060240963855422,12.736660929432015,1.0327022375215147,68.41652323580034,0.9466437177280551,0.08605851979345956,1.0327022375215147
