mode,wait_policy,wait_strategy,host_cpu_requested,host_cpu_actual,cpu_role,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_wall_us,host_thread_cpu_us,wait_wall_us,wait_thread_cpu_us,sleep_us,spin_us,poll_count,predicted_us,prediction_error_us,descriptor_prepare_us,dsp_mapping_us,dsp_validate_in_us,dsp_compute_us,dsp_validate_out_us,dsp_dispatch_total_us,output_hash,ret
baseline,legacy,legacy-usleep50,6,6,high-capacity,4,4096,12,2,128,warmup,0,1167,29,1164,28,1162,2,11,0,0,1,7,69,1025,5,1106,c50c94b789741948,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,4,4096,12,2,128,warmup,1,1148,33,1146,32,1143,3,11,0,0,1,7,69,1026,5,1107,c50c94b789741948,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,4,4096,12,2,128,warmup,2,1144,38,1141,36,1138,3,11,0,0,1,7,68,1025,5,1105,c50c94b789741948,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,4,4096,12,2,128,warmup,3,1144,38,1141,36,1140,1,11,0,0,1,7,69,1025,5,1106,c50c94b789741948,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,4,4096,12,2,128,warmup,4,1148,69,1146,67,1144,2,11,0,0,1,7,69,1022,5,1103,c50c94b789741948,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,4,4096,12,2,128,measure,0,1143,33,1141,31,1138,3,11,0,0,1,6,69,1023,5,1103,c50c94b789741948,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,4,4096,12,2,128,measure,1,1181,54,1179,52,1175,4,11,0,0,1,7,69,1024,5,1105,c50c94b789741948,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,4,4096,12,2,128,measure,2,1146,35,1143,33,1141,2,11,0,0,1,7,69,1025,5,1106,c50c94b789741948,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,4,4096,12,2,128,measure,3,1148,34,1145,32,1144,1,11,0,0,1,6,69,1022,5,1102,c50c94b789741948,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,4,4096,12,2,128,measure,4,1148,34,1144,32,1141,3,11,0,0,1,6,68,1024,5,1104,c50c94b789741948,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,4,4096,12,2,128,measure,5,1169,72,1167,70,1164,3,11,0,0,1,7,69,1020,5,1101,c50c94b789741948,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,4,4096,12,2,128,measure,6,1153,36,1151,34,1149,2,11,0,0,1,7,69,1022,5,1103,c50c94b789741948,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,4,4096,12,2,128,measure,7,1175,34,1173,32,1169,4,11,0,0,1,7,69,1022,5,1103,c50c94b789741948,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,4,4096,12,2,128,measure,8,1146,36,1143,34,1138,5,11,0,0,1,7,69,1024,5,1105,c50c94b789741948,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,4,4096,12,2,128,measure,9,1142,34,1139,32,1135,4,11,0,0,1,7,69,1022,5,1103,c50c94b789741948,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,4,4096,12,2,128,measure,10,1146,33,1143,31,1141,2,11,0,0,1,7,69,1025,5,1106,c50c94b789741948,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,4,4096,12,2,128,measure,11,1146,34,1142,32,1139,3,11,0,0,1,7,69,1020,5,1101,c50c94b789741948,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,4,4096,12,2,128,measure,12,1145,36,1142,34,1140,2,11,0,0,1,7,69,1025,6,1107,c50c94b789741948,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,4,4096,12,2,128,measure,13,1145,35,1142,33,1140,2,11,0,0,1,6,69,1025,6,1106,c50c94b789741948,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,4,4096,12,2,128,measure,14,1142,33,1140,31,1134,6,11,0,0,1,6,68,1027,5,1107,c50c94b789741948,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,4,4096,12,2,128,measure,15,1149,39,1146,37,1142,4,11,0,0,1,7,69,1022,5,1103,c50c94b789741948,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,4,4096,12,2,128,measure,16,1145,38,1142,36,1141,1,11,0,0,1,7,69,1023,6,1105,c50c94b789741948,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,4,4096,12,2,128,measure,17,1142,33,1139,32,1137,2,11,0,0,1,7,69,1024,5,1105,c50c94b789741948,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,4,4096,12,2,128,measure,18,1155,57,1152,55,1149,3,11,0,0,1,7,69,1015,5,1096,c50c94b789741948,0
baseline,legacy,legacy-usleep50,6,6,high-capacity,4,4096,12,2,128,measure,19,1145,37,1142,35,1136,6,11,0,0,1,8,69,1022,5,1104,c50c94b789741948,0
