mode,wait_policy,wait_strategy,host_cpu_requested,host_cpu_actual,cpu_role,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_wall_us,host_thread_cpu_us,wait_wall_us,wait_thread_cpu_us,sleep_us,spin_us,poll_count,predicted_us,prediction_error_us,descriptor_prepare_us,dsp_mapping_us,dsp_validate_in_us,dsp_compute_us,dsp_validate_out_us,dsp_dispatch_total_us,output_hash,ret
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,16,4096,12,2,128,warmup,0,1673,102,1670,100,1572,98,13769,1602,68,1,9,71,1564,17,1661,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,16,4096,12,2,128,warmup,1,1674,102,1670,99,1576,94,13444,1604,66,1,8,72,1564,17,1662,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,16,4096,12,2,128,warmup,2,1676,70,1672,68,1607,65,9178,1604,68,1,8,72,1565,18,1664,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,16,4096,12,2,128,warmup,3,1681,110,1678,108,1575,103,14669,1604,74,1,8,71,1572,17,1669,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,16,4096,12,2,128,warmup,4,1677,105,1674,103,1574,100,14191,1604,70,1,8,71,1568,17,1665,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,16,4096,12,2,128,measure,0,1681,111,1678,109,1574,104,14861,1604,74,1,8,71,1573,17,1670,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,16,4096,12,2,128,measure,1,1682,110,1679,108,1573,106,15074,1604,75,1,8,72,1572,18,1670,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,16,4096,12,2,128,measure,2,1677,104,1673,102,1575,98,14097,1604,69,1,8,72,1567,17,1664,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,16,4096,12,2,128,measure,3,1674,101,1671,99,1575,96,13680,1604,67,1,7,71,1566,17,1662,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,16,4096,12,2,128,measure,4,1675,103,1672,102,1575,97,13871,1604,68,1,7,71,1567,17,1663,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,16,4096,12,2,128,measure,5,1674,80,1671,78,1575,96,10235,1604,67,1,8,71,1565,17,1662,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,16,4096,12,2,128,measure,6,1680,109,1677,107,1574,103,14674,1604,73,1,7,72,1571,17,1668,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,16,4096,12,2,128,measure,7,1676,103,1673,101,1576,97,13792,1604,69,1,8,72,1569,17,1666,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,16,4096,12,2,128,measure,8,1682,111,1679,109,1574,105,14996,1604,75,1,8,71,1572,18,1670,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,16,4096,12,2,128,measure,9,1678,106,1675,104,1576,99,14258,1604,71,1,8,71,1570,17,1667,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,16,4096,12,2,128,measure,10,1679,107,1676,105,1575,101,14419,1604,72,1,7,71,1570,18,1667,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,16,4096,12,2,128,measure,11,1676,103,1673,101,1576,97,13863,1604,69,1,7,71,1568,17,1664,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,16,4096,12,2,128,measure,12,1677,72,1674,70,1608,66,9323,1604,70,1,8,72,1568,17,1665,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,16,4096,12,2,128,measure,13,1671,99,1668,97,1575,93,13313,1604,64,1,8,72,1562,17,1659,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,16,4096,12,2,128,measure,14,1674,103,1670,101,1574,96,13801,1604,66,1,7,71,1565,18,1662,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,16,4096,12,2,128,measure,15,1677,105,1674,103,1575,99,14134,1604,70,1,7,72,1568,17,1665,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,16,4096,12,2,128,measure,16,1681,109,1677,107,1575,102,14724,1604,73,1,8,72,1572,17,1669,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,16,4096,12,2,128,measure,17,1681,109,1678,107,1576,102,14662,1604,74,1,8,71,1572,17,1669,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,16,4096,12,2,128,measure,18,1678,108,1675,107,1573,102,14626,1604,71,1,8,72,1569,17,1666,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,6,6,high-capacity,16,4096,12,2,128,measure,19,1671,101,1668,99,1573,95,13559,1604,64,1,8,71,1562,17,1659,f9e012e63c1c7864,0
