mode,wait_policy,wait_strategy,host_cpu_requested,host_cpu_actual,cpu_role,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_wall_us,host_thread_cpu_us,wait_wall_us,wait_thread_cpu_us,sleep_us,spin_us,poll_count,predicted_us,prediction_error_us,descriptor_prepare_us,dsp_mapping_us,dsp_validate_in_us,dsp_compute_us,dsp_validate_out_us,dsp_dispatch_total_us,output_hash,ret
baseline,spin,spin,6,6,high-capacity,16,4096,12,2,128,warmup,0,1441,1442,1439,1440,0,1439,208142,0,0,0,8,71,1332,18,1430,f9e012e63c1c7864,0
baseline,spin,spin,6,6,high-capacity,16,4096,12,2,128,warmup,1,1442,1441,1438,1439,0,1438,208190,0,0,0,9,72,1332,18,1431,f9e012e63c1c7864,0
baseline,spin,spin,6,6,high-capacity,16,4096,12,2,128,warmup,2,1443,1442,1440,1440,0,1440,208338,0,0,0,8,72,1334,18,1432,f9e012e63c1c7864,0
baseline,spin,spin,6,6,high-capacity,16,4096,12,2,128,warmup,3,1446,1445,1443,1443,0,1443,208857,0,0,0,8,71,1337,18,1435,f9e012e63c1c7864,0
baseline,spin,spin,6,6,high-capacity,16,4096,12,2,128,warmup,4,1441,1441,1438,1438,0,1438,208146,0,0,0,8,72,1333,17,1430,f9e012e63c1c7864,0
baseline,spin,spin,6,6,high-capacity,16,4096,12,2,128,measure,0,1443,1443,1441,1441,0,1441,208500,0,0,0,8,72,1333,18,1431,f9e012e63c1c7864,0
baseline,spin,spin,6,6,high-capacity,16,4096,12,2,128,measure,1,1447,1433,1444,1431,0,1444,206735,0,0,0,8,71,1337,18,1435,f9e012e63c1c7864,0
baseline,spin,spin,6,6,high-capacity,16,4096,12,2,128,measure,2,1443,1443,1440,1440,0,1440,208342,0,0,0,9,72,1332,18,1431,f9e012e63c1c7864,0
baseline,spin,spin,6,6,high-capacity,16,4096,12,2,128,measure,3,1446,1436,1443,1434,0,1443,207180,0,0,0,8,72,1335,18,1434,f9e012e63c1c7864,0
baseline,spin,spin,6,6,high-capacity,16,4096,12,2,128,measure,4,1438,1437,1435,1436,0,1435,207639,0,0,0,7,72,1328,18,1426,f9e012e63c1c7864,0
baseline,spin,spin,6,6,high-capacity,16,4096,12,2,128,measure,5,1363,1328,1362,1327,0,1362,579254,0,0,0,7,71,1257,18,1354,f9e012e63c1c7864,0
baseline,spin,spin,6,6,high-capacity,16,4096,12,2,128,measure,6,1371,1370,1369,1369,0,1369,598491,0,0,0,7,72,1263,18,1361,f9e012e63c1c7864,0
baseline,spin,spin,6,6,high-capacity,16,4096,12,2,128,measure,7,1371,1371,1369,1369,0,1369,598516,0,0,0,7,71,1264,18,1361,f9e012e63c1c7864,0
baseline,spin,spin,6,6,high-capacity,16,4096,12,2,128,measure,8,1368,1362,1367,1361,0,1367,594534,0,0,0,8,72,1260,18,1358,f9e012e63c1c7864,0
baseline,spin,spin,6,6,high-capacity,16,4096,12,2,128,measure,9,1368,1367,1367,1366,0,1367,597276,0,0,0,8,72,1260,18,1358,f9e012e63c1c7864,0
baseline,spin,spin,6,6,high-capacity,16,4096,12,2,128,measure,10,1360,1333,1358,1333,0,1358,581508,0,0,0,8,72,1254,18,1352,f9e012e63c1c7864,0
baseline,spin,spin,6,6,high-capacity,16,4096,12,2,128,measure,11,1353,1353,1352,1353,0,1352,590849,0,0,0,7,72,1248,17,1344,f9e012e63c1c7864,0
baseline,spin,spin,6,6,high-capacity,16,4096,12,2,128,measure,12,1354,1353,1352,1352,0,1352,590934,0,0,0,7,72,1248,17,1344,f9e012e63c1c7864,0
baseline,spin,spin,6,6,high-capacity,16,4096,12,2,128,measure,13,1358,1352,1358,1350,0,1358,589825,0,0,0,7,72,1252,17,1348,f9e012e63c1c7864,0
baseline,spin,spin,6,6,high-capacity,16,4096,12,2,128,measure,14,1355,1355,1354,1354,0,1354,591790,0,0,0,7,71,1250,17,1346,f9e012e63c1c7864,0
baseline,spin,spin,6,6,high-capacity,16,4096,12,2,128,measure,15,1354,1354,1353,1353,0,1353,591143,0,0,0,7,71,1249,17,1345,f9e012e63c1c7864,0
baseline,spin,spin,6,6,high-capacity,16,4096,12,2,128,measure,16,1358,1357,1356,1356,0,1356,592847,0,0,0,7,71,1253,17,1348,f9e012e63c1c7864,0
baseline,spin,spin,6,6,high-capacity,16,4096,12,2,128,measure,17,1351,1351,1350,1351,0,1350,589825,0,0,0,7,71,1245,18,1342,f9e012e63c1c7864,0
baseline,spin,spin,6,6,high-capacity,16,4096,12,2,128,measure,18,1357,1351,1356,1350,0,1356,589509,0,0,0,7,72,1251,18,1348,f9e012e63c1c7864,0
baseline,spin,spin,6,6,high-capacity,16,4096,12,2,128,measure,19,1353,1352,1351,1352,0,1351,590827,0,0,0,8,71,1248,17,1344,f9e012e63c1c7864,0
