mode,wait_policy,wait_strategy,host_cpu_requested,host_cpu_actual,cpu_role,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_wall_us,host_thread_cpu_us,wait_wall_us,wait_thread_cpu_us,sleep_us,spin_us,poll_count,predicted_us,prediction_error_us,descriptor_prepare_us,dsp_mapping_us,dsp_validate_in_us,dsp_compute_us,dsp_validate_out_us,dsp_dispatch_total_us,output_hash,ret
baseline,legacy,legacy-usleep50,0,0,low-capacity,16,4096,12,2,128,warmup,0,1744,150,1738,146,1731,7,13,0,0,0,9,72,1502,19,1602,f9e012e63c1c7864,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,16,4096,12,2,128,warmup,1,1672,129,1665,125,1660,5,12,0,0,0,10,71,1485,18,1584,f9e012e63c1c7864,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,16,4096,12,2,128,warmup,2,1677,162,1670,158,1665,5,11,0,0,0,8,72,1474,18,1572,f9e012e63c1c7864,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,16,4096,12,2,128,warmup,3,1706,145,1699,142,1689,10,13,0,0,0,9,71,1498,18,1596,f9e012e63c1c7864,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,16,4096,12,2,128,warmup,4,1661,132,1654,128,1647,7,11,0,0,0,9,71,1488,18,1587,f9e012e63c1c7864,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,16,4096,12,2,128,measure,0,1650,146,1643,142,1638,5,12,0,0,0,9,72,1477,18,1576,f9e012e63c1c7864,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,16,4096,12,2,128,measure,1,1700,168,1692,164,1687,5,12,0,0,0,9,72,1464,18,1563,f9e012e63c1c7864,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,16,4096,12,2,128,measure,2,1695,145,1688,140,1680,8,12,0,0,0,9,72,1464,18,1563,f9e012e63c1c7864,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,16,4096,12,2,128,measure,3,1657,135,1650,133,1644,6,12,0,0,0,10,71,1476,18,1575,f9e012e63c1c7864,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,16,4096,12,2,128,measure,4,1673,136,1665,132,1660,5,12,0,0,0,8,72,1485,18,1584,f9e012e63c1c7864,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,16,4096,12,2,128,measure,5,1642,137,1636,133,1630,6,12,0,0,0,9,72,1468,18,1567,f9e012e63c1c7864,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,16,4096,12,2,128,measure,6,1694,149,1688,145,1684,4,12,0,0,0,9,71,1467,18,1566,f9e012e63c1c7864,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,16,4096,12,2,128,measure,7,1683,140,1677,136,1670,7,11,0,0,0,9,71,1472,18,1570,f9e012e63c1c7864,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,16,4096,12,2,128,measure,8,1658,191,1652,187,1645,7,12,0,0,0,10,72,1476,18,1576,f9e012e63c1c7864,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,16,4096,12,2,128,measure,9,1623,140,1617,136,1613,4,12,0,0,0,10,72,1469,18,1569,f9e012e63c1c7864,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,16,4096,12,2,128,measure,10,1612,135,1606,131,1602,4,12,0,0,0,9,71,1463,18,1562,f9e012e63c1c7864,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,16,4096,12,2,128,measure,11,1650,148,1643,144,1633,10,11,0,0,0,9,72,1453,18,1552,f9e012e63c1c7864,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,16,4096,12,2,128,measure,12,1695,166,1688,162,1682,6,12,0,0,0,10,71,1450,18,1549,f9e012e63c1c7864,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,16,4096,12,2,128,measure,13,1612,138,1606,133,1601,5,12,0,0,0,9,72,1463,18,1562,f9e012e63c1c7864,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,16,4096,12,2,128,measure,14,1666,133,1659,129,1655,4,12,0,0,0,9,72,1471,18,1570,f9e012e63c1c7864,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,16,4096,12,2,128,measure,15,1642,138,1635,134,1630,5,12,0,0,0,8,71,1461,17,1558,f9e012e63c1c7864,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,16,4096,12,2,128,measure,16,1681,133,1675,129,1672,3,12,0,0,0,10,71,1446,18,1545,f9e012e63c1c7864,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,16,4096,12,2,128,measure,17,1680,134,1672,130,1666,6,11,0,0,0,8,71,1446,18,1544,f9e012e63c1c7864,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,16,4096,12,2,128,measure,18,1627,137,1621,133,1616,5,12,0,0,0,10,71,1466,18,1565,f9e012e63c1c7864,0
baseline,legacy,legacy-usleep50,0,0,low-capacity,16,4096,12,2,128,measure,19,1582,142,1576,138,1571,5,12,0,0,0,9,71,1458,18,1556,f9e012e63c1c7864,0
