mode,wait_policy,wait_strategy,host_cpu_requested,host_cpu_actual,cpu_role,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_wall_us,host_thread_cpu_us,wait_wall_us,wait_thread_cpu_us,sleep_us,spin_us,poll_count,predicted_us,prediction_error_us,descriptor_prepare_us,dsp_mapping_us,dsp_validate_in_us,dsp_compute_us,dsp_validate_out_us,dsp_dispatch_total_us,output_hash,ret
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,8,4096,12,2,128,warmup,0,1340,228,1335,226,1117,218,22970,1141,194,0,7,70,1241,9,1327,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,8,4096,12,2,128,warmup,1,1337,148,1332,144,1202,130,13628,1198,134,0,7,69,1238,9,1323,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,8,4096,12,2,128,warmup,2,1288,86,1281,82,1217,64,4927,1198,83,0,7,69,1187,9,1273,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,8,4096,12,2,128,warmup,3,1341,166,1334,162,1181,153,11838,1199,135,0,8,70,1236,11,1325,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,8,4096,12,2,128,warmup,4,1320,148,1314,144,1179,135,10374,1199,115,0,8,70,1218,9,1305,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,8,4096,12,2,128,measure,0,1324,151,1317,147,1179,138,10644,1199,118,0,8,70,1222,9,1309,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,8,4096,12,2,128,measure,1,1320,146,1313,142,1180,133,10241,1199,114,0,7,69,1217,9,1303,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,8,4096,12,2,128,measure,2,1318,145,1312,140,1179,133,10227,1199,113,0,7,70,1217,8,1302,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,8,4096,12,2,128,measure,3,1335,161,1328,157,1180,148,11483,1199,129,0,7,69,1233,9,1319,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,8,4096,12,2,128,measure,4,1325,152,1317,148,1179,138,10803,1199,118,0,8,70,1222,9,1309,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,8,4096,12,2,128,measure,5,1329,156,1323,151,1180,143,11120,1199,124,0,8,70,1227,9,1314,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,8,4096,12,2,128,measure,6,1335,161,1328,157,1180,148,11510,1199,129,0,7,70,1234,9,1320,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,8,4096,12,2,128,measure,7,1326,141,1308,137,1182,126,9798,1199,109,0,8,70,1213,9,1300,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,8,4096,12,2,128,measure,8,1317,144,1310,140,1180,130,10080,1199,111,0,8,69,1215,9,1302,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,8,4096,12,2,128,measure,9,1333,159,1326,155,1180,146,11338,1199,127,0,8,69,1231,9,1317,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,8,4096,12,2,128,measure,10,1317,143,1309,139,1180,129,10074,1199,110,0,7,70,1214,9,1300,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,8,4096,12,2,128,measure,11,1200,38,1196,35,1164,32,5529,1199,-3,0,8,69,1100,9,1187,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,8,4096,12,2,128,measure,12,1231,71,1228,69,1164,64,12472,1199,29,0,7,70,1134,9,1220,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,8,4096,12,2,128,measure,13,1244,82,1241,80,1163,78,14805,1199,42,0,7,69,1146,10,1233,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,8,4096,12,2,128,measure,14,1195,34,1192,32,1163,29,5355,1199,-7,0,7,70,1097,9,1183,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,8,4096,12,2,128,measure,15,1234,73,1231,71,1163,68,12906,1199,32,0,8,69,1137,9,1223,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,8,4096,12,2,128,measure,16,1278,108,1272,105,1175,97,10228,1199,73,0,8,70,1177,9,1264,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,8,4096,12,2,128,measure,17,1290,121,1284,118,1172,112,11666,1199,85,0,8,70,1189,9,1276,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,8,4096,12,2,128,measure,18,1286,119,1281,115,1173,108,11386,1199,82,0,8,70,1186,9,1273,541717b1f7dc7b1c,0
baseline,predictive,predictive-sleep-spin,0,0,low-capacity,8,4096,12,2,128,measure,19,1287,119,1281,116,1172,109,11470,1199,82,0,8,69,1187,9,1273,541717b1f7dc7b1c,0
