mode,wait_policy,wait_strategy,host_cpu_requested,host_cpu_actual,cpu_role,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_wall_us,host_thread_cpu_us,wait_wall_us,wait_thread_cpu_us,sleep_us,spin_us,poll_count,predicted_us,prediction_error_us,descriptor_prepare_us,dsp_mapping_us,dsp_validate_in_us,dsp_compute_us,dsp_validate_out_us,dsp_dispatch_total_us,output_hash,ret
baseline,spin,spin,0,0,low-capacity,4,4096,12,2,128,warmup,0,1038,1037,1035,1034,0,1035,109932,0,0,1,7,69,946,5,1027,c50c94b789741948,0
baseline,spin,spin,0,0,low-capacity,4,4096,12,2,128,warmup,1,1036,1035,1033,1032,0,1033,109785,0,0,1,7,69,944,5,1025,c50c94b789741948,0
baseline,spin,spin,0,0,low-capacity,4,4096,12,2,128,warmup,2,1032,963,1026,959,0,1026,100875,0,0,1,7,69,938,5,1019,c50c94b789741948,0
baseline,spin,spin,0,0,low-capacity,4,4096,12,2,128,warmup,3,1033,980,1028,977,0,1028,103000,0,0,1,7,69,940,5,1021,c50c94b789741948,0
baseline,spin,spin,0,0,low-capacity,4,4096,12,2,128,warmup,4,1047,1044,1041,1042,0,1041,102712,0,0,1,6,68,953,5,1033,c50c94b789741948,0
baseline,spin,spin,0,0,low-capacity,4,4096,12,2,128,measure,0,1100,861,1093,856,0,1093,65337,0,0,1,7,69,1004,5,1085,c50c94b789741948,0
baseline,spin,spin,0,0,low-capacity,4,4096,12,2,128,measure,1,1100,1010,1093,1006,0,1093,78411,0,0,1,8,69,1003,5,1085,c50c94b789741948,0
baseline,spin,spin,0,0,low-capacity,4,4096,12,2,128,measure,2,1101,833,1095,829,0,1095,63283,0,0,1,7,69,1005,5,1086,c50c94b789741948,0
baseline,spin,spin,0,0,low-capacity,4,4096,12,2,128,measure,3,1095,889,1087,885,0,1087,68356,0,0,1,7,68,999,5,1080,c50c94b789741948,0
baseline,spin,spin,0,0,low-capacity,4,4096,12,2,128,measure,4,1095,890,1088,886,0,1088,68531,0,0,1,7,68,1000,4,1080,c50c94b789741948,0
baseline,spin,spin,0,0,low-capacity,4,4096,12,2,128,measure,5,1094,858,1087,853,0,1087,65447,0,0,1,7,69,998,5,1079,c50c94b789741948,0
baseline,spin,spin,0,0,low-capacity,4,4096,12,2,128,measure,6,1095,1094,1090,1091,0,1090,86132,0,0,1,7,68,1002,5,1083,c50c94b789741948,0
baseline,spin,spin,0,0,low-capacity,4,4096,12,2,128,measure,7,1153,951,1147,947,0,1147,71904,0,0,1,6,68,1002,5,1082,c50c94b789741948,0
baseline,spin,spin,0,0,low-capacity,4,4096,12,2,128,measure,8,1121,898,1094,890,0,1094,68869,0,0,1,8,69,1004,5,1086,c50c94b789741948,0
baseline,spin,spin,0,0,low-capacity,4,4096,12,2,128,measure,9,924,859,922,858,0,922,290787,0,0,1,8,68,834,5,915,c50c94b789741948,0
baseline,spin,spin,0,0,low-capacity,4,4096,12,2,128,measure,10,923,824,921,822,0,921,277157,0,0,1,7,69,833,5,914,c50c94b789741948,0
baseline,spin,spin,0,0,low-capacity,4,4096,12,2,128,measure,11,923,846,921,844,0,921,285534,0,0,1,6,68,833,5,913,c50c94b789741948,0
baseline,spin,spin,0,0,low-capacity,4,4096,12,2,128,measure,12,922,921,921,921,0,921,313839,0,0,1,7,69,832,5,913,c50c94b789741948,0
baseline,spin,spin,0,0,low-capacity,4,4096,12,2,128,measure,13,984,925,918,918,0,918,313230,0,0,1,7,69,831,5,912,c50c94b789741948,0
baseline,spin,spin,0,0,low-capacity,4,4096,12,2,128,measure,14,923,859,921,858,0,921,290909,0,0,1,7,69,833,5,914,c50c94b789741948,0
baseline,spin,spin,0,0,low-capacity,4,4096,12,2,128,measure,15,922,849,920,848,0,920,286951,0,0,1,7,69,832,5,913,c50c94b789741948,0
baseline,spin,spin,0,0,low-capacity,4,4096,12,2,128,measure,16,927,847,925,846,0,925,286063,0,0,1,7,69,838,5,919,c50c94b789741948,0
baseline,spin,spin,0,0,low-capacity,4,4096,12,2,128,measure,17,926,842,924,840,0,924,284143,0,0,1,7,68,836,5,916,c50c94b789741948,0
baseline,spin,spin,0,0,low-capacity,4,4096,12,2,128,measure,18,927,849,926,848,0,926,286551,0,0,1,7,69,837,5,918,c50c94b789741948,0
baseline,spin,spin,0,0,low-capacity,4,4096,12,2,128,measure,19,924,844,922,843,0,922,285050,0,0,1,7,69,833,5,914,c50c94b789741948,0
