mode,wait_policy,wait_strategy,host_cpu_requested,host_cpu_actual,cpu_role,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_wall_us,host_thread_cpu_us,wait_wall_us,wait_thread_cpu_us,sleep_us,spin_us,poll_count,predicted_us,prediction_error_us,descriptor_prepare_us,dsp_mapping_us,dsp_validate_in_us,dsp_compute_us,dsp_validate_out_us,dsp_dispatch_total_us,output_hash,ret
baseline,legacy,legacy-usleep50,-1,4,unpinned,8,4096,12,2,128,warmup,0,1372,203,1364,198,1357,7,10,0,0,1,7,69,1181,10,1268,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,-1,4,unpinned,8,4096,12,2,128,warmup,1,1291,120,1283,115,1277,6,10,0,0,1,8,70,1180,9,1267,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,-1,4,unpinned,8,4096,12,2,128,warmup,2,1377,116,1371,111,1364,7,11,0,0,1,7,70,1196,10,1284,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,-1,1,unpinned,8,4096,12,2,128,warmup,3,1293,244,1285,239,1279,6,9,0,0,1,8,70,1179,10,1268,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,-1,1,unpinned,8,4096,12,2,128,warmup,4,1384,126,1378,122,1372,6,11,0,0,1,8,69,1181,9,1268,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,-1,1,unpinned,8,4096,12,2,128,measure,0,1348,108,1341,104,1334,7,11,0,0,1,9,70,1185,10,1274,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,-1,1,unpinned,8,4096,12,2,128,measure,1,1351,104,1344,100,1341,3,11,0,0,1,8,70,1174,10,1262,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,-1,1,unpinned,8,4096,12,2,128,measure,2,1339,110,1332,106,1327,5,11,0,0,1,8,70,1187,10,1275,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,-1,5,unpinned,8,4096,12,2,128,measure,3,1418,231,1410,227,1405,5,10,0,0,1,8,69,1189,9,1276,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,-1,5,unpinned,8,4096,12,2,128,measure,4,1370,121,1363,116,1356,7,11,0,0,1,7,70,1181,10,1269,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,-1,0,unpinned,8,4096,12,2,128,measure,5,1390,165,1383,161,1379,4,11,0,0,1,8,70,1182,10,1271,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,-1,1,unpinned,8,4096,12,2,128,measure,6,1369,87,1360,83,1354,6,11,0,0,1,8,70,1182,10,1271,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,-1,0,unpinned,8,4096,12,2,128,measure,7,1383,149,1376,145,1370,6,11,0,0,1,8,70,1181,10,1270,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,-1,1,unpinned,8,4096,12,2,128,measure,8,1313,66,1306,62,1301,5,11,0,0,1,8,69,1185,10,1273,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,-1,1,unpinned,8,4096,12,2,128,measure,9,1360,89,1354,85,1350,4,11,0,0,1,8,69,1181,9,1268,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,-1,4,unpinned,8,4096,12,2,128,measure,10,1273,203,1268,200,1263,5,10,0,0,1,8,69,1104,10,1192,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,-1,5,unpinned,8,4096,12,2,128,measure,11,1201,45,1197,43,1195,2,11,0,0,1,8,70,1090,10,1178,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,-1,5,unpinned,8,4096,12,2,128,measure,12,1296,24,1293,22,1291,2,12,0,0,1,8,70,1137,10,1225,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,-1,5,unpinned,8,4096,12,2,128,measure,13,1280,22,1277,20,1275,2,12,0,0,1,8,70,1133,10,1221,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,-1,5,unpinned,8,4096,12,2,128,measure,14,1246,38,1241,35,1238,3,11,0,0,1,8,70,1122,10,1210,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,-1,5,unpinned,8,4096,12,2,128,measure,15,1357,122,1350,118,1344,6,11,0,0,1,9,70,1171,10,1260,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,-1,5,unpinned,8,4096,12,2,128,measure,16,1343,103,1337,99,1326,11,11,0,0,1,8,70,1174,10,1263,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,-1,5,unpinned,8,4096,12,2,128,measure,17,1379,119,1371,115,1364,7,11,0,0,1,8,69,1155,9,1242,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,-1,5,unpinned,8,4096,12,2,128,measure,18,1346,120,1338,116,1332,6,11,0,0,1,8,69,1166,10,1254,541717b1f7dc7b1c,0
baseline,legacy,legacy-usleep50,-1,5,unpinned,8,4096,12,2,128,measure,19,1380,112,1374,108,1367,7,11,0,0,1,8,70,1169,10,1257,541717b1f7dc7b1c,0
