mode,wait_policy,wait_strategy,host_cpu_requested,host_cpu_actual,cpu_role,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_wall_us,host_thread_cpu_us,wait_wall_us,wait_thread_cpu_us,sleep_us,spin_us,poll_count,predicted_us,prediction_error_us,descriptor_prepare_us,dsp_mapping_us,dsp_validate_in_us,dsp_compute_us,dsp_validate_out_us,dsp_dispatch_total_us,output_hash,ret
baseline,predictive,predictive-sleep-spin,-1,5,unpinned,16,4096,12,2,128,warmup,0,1607,93,1600,88,1519,81,5996,1536,64,1,8,72,1495,17,1592,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,-1,5,unpinned,16,4096,12,2,128,warmup,1,1629,116,1621,112,1517,104,7998,1536,85,1,9,71,1515,18,1613,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,-1,5,unpinned,16,4096,12,2,128,warmup,2,1603,83,1596,79,1524,72,5376,1542,54,1,9,72,1489,18,1588,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,-1,5,unpinned,16,4096,12,2,128,warmup,3,1633,111,1627,107,1526,101,7704,1545,82,1,9,72,1519,17,1617,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,-1,5,unpinned,16,4096,12,2,128,warmup,4,1604,81,1598,77,1527,71,5305,1546,52,1,9,71,1491,18,1589,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,-1,5,unpinned,16,4096,12,2,128,measure,0,1618,93,1611,88,1529,82,6240,1546,65,1,8,72,1504,18,1602,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,-1,5,unpinned,16,4096,12,2,128,measure,1,1611,87,1604,83,1527,77,5864,1546,58,1,9,72,1497,18,1596,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,-1,5,unpinned,16,4096,12,2,128,measure,2,1614,91,1607,86,1527,80,6102,1546,61,1,9,71,1501,17,1598,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,-1,5,unpinned,16,4096,12,2,128,measure,3,1624,101,1617,97,1526,91,6978,1546,71,1,8,71,1510,18,1608,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,-1,5,unpinned,16,4096,12,2,128,measure,4,1537,27,1534,25,1510,24,4501,1546,-12,1,7,71,1429,17,1525,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,-1,5,unpinned,16,4096,12,2,128,measure,5,1534,26,1531,24,1509,22,4022,1546,-15,1,8,72,1425,17,1522,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,-1,5,unpinned,16,4096,12,2,128,measure,6,1534,24,1531,23,1510,21,3737,1546,-15,1,8,72,1426,17,1523,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,-1,5,unpinned,16,4096,12,2,128,measure,7,1592,67,1585,64,1526,59,4614,1546,39,1,8,71,1480,17,1576,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,-1,5,unpinned,16,4096,12,2,128,measure,8,1611,88,1604,84,1527,77,5945,1546,58,1,8,71,1498,18,1596,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,-1,5,unpinned,16,4096,12,2,128,measure,9,1622,97,1615,93,1528,87,6659,1546,69,1,8,72,1508,18,1606,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,-1,5,unpinned,16,4096,12,2,128,measure,10,1619,95,1612,91,1527,85,6494,1546,66,1,8,72,1504,18,1602,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,-1,5,unpinned,16,4096,12,2,128,measure,11,1601,80,1595,76,1526,69,5231,1546,49,1,9,71,1487,18,1585,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,-1,5,unpinned,16,4096,12,2,128,measure,12,1615,92,1608,88,1526,82,6267,1546,62,1,9,72,1502,17,1600,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,-1,5,unpinned,16,4096,12,2,128,measure,13,1603,80,1596,76,1526,70,5329,1546,50,1,8,72,1490,17,1587,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,-1,5,unpinned,16,4096,12,2,128,measure,14,1579,54,1571,50,1527,44,3245,1546,25,1,8,71,1464,18,1562,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,-1,5,unpinned,16,4096,12,2,128,measure,15,1610,87,1603,83,1526,77,5834,1546,57,1,9,71,1496,18,1594,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,-1,5,unpinned,16,4096,12,2,128,measure,16,1616,93,1609,89,1527,82,6278,1546,63,1,9,72,1500,18,1599,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,-1,5,unpinned,16,4096,12,2,128,measure,17,1611,86,1605,82,1529,76,5810,1546,59,1,8,71,1498,17,1595,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,-1,5,unpinned,16,4096,12,2,128,measure,18,1572,51,1565,47,1525,40,2936,1546,19,1,9,71,1458,17,1556,f9e012e63c1c7864,0
baseline,predictive,predictive-sleep-spin,-1,5,unpinned,16,4096,12,2,128,measure,19,1590,66,1582,62,1526,56,4219,1546,36,1,9,71,1475,18,1574,f9e012e63c1c7864,0
