mode,wait_policy,wait_strategy,host_cpu_requested,host_cpu_actual,cpu_role,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_wall_us,host_thread_cpu_us,wait_wall_us,wait_thread_cpu_us,sleep_us,spin_us,poll_count,predicted_us,prediction_error_us,descriptor_prepare_us,dsp_mapping_us,dsp_validate_in_us,dsp_compute_us,dsp_validate_out_us,dsp_dispatch_total_us,output_hash,ret
baseline,spin,spin,-1,1,unpinned,32,4096,12,2,128,warmup,0,2262,2203,2257,2199,0,2257,176972,0,0,0,9,76,2128,33,2246,23e201cc6e23589a,0
baseline,spin,spin,-1,1,unpinned,32,4096,12,2,128,warmup,1,2174,2173,2169,2170,0,2169,230805,0,0,0,9,76,2042,33,2160,23e201cc6e23589a,0
baseline,spin,spin,-1,1,unpinned,32,4096,12,2,128,warmup,2,2171,2170,2167,2167,0,2167,230513,0,0,0,8,75,2040,34,2158,23e201cc6e23589a,0
baseline,spin,spin,-1,1,unpinned,32,4096,12,2,128,warmup,3,2172,2170,2167,2167,0,2167,230534,0,0,0,9,75,2039,33,2157,23e201cc6e23589a,0
baseline,spin,spin,-1,1,unpinned,32,4096,12,2,128,warmup,4,2096,2079,2093,2078,0,2093,339634,0,0,0,9,75,1966,34,2084,23e201cc6e23589a,0
baseline,spin,spin,-1,1,unpinned,32,4096,12,2,128,measure,0,2093,1993,2090,1990,0,2090,323645,0,0,0,9,75,1963,33,2081,23e201cc6e23589a,0
baseline,spin,spin,-1,0,unpinned,32,4096,12,2,128,measure,1,2101,2046,2097,2044,0,2097,333414,0,0,0,9,76,1969,34,2088,23e201cc6e23589a,0
baseline,spin,spin,-1,0,unpinned,32,4096,12,2,128,measure,2,2184,2109,2098,2098,0,2098,343409,0,0,0,9,75,1970,33,2088,23e201cc6e23589a,0
baseline,spin,spin,-1,4,unpinned,32,4096,12,2,128,measure,3,2065,2018,2061,2016,0,2061,442060,0,0,0,8,75,1935,33,2052,23e201cc6e23589a,0
baseline,spin,spin,-1,4,unpinned,32,4096,12,2,128,measure,4,2063,2054,2061,2053,0,2061,490111,0,0,0,8,75,1934,34,2052,23e201cc6e23589a,0
baseline,spin,spin,-1,4,unpinned,32,4096,12,2,128,measure,5,2057,2056,2055,2055,0,2055,583069,0,0,0,9,76,1927,33,2045,23e201cc6e23589a,0
baseline,spin,spin,-1,4,unpinned,32,4096,12,2,128,measure,6,2055,2029,2053,2028,0,2053,574703,0,0,0,8,75,1927,33,2044,23e201cc6e23589a,0
baseline,spin,spin,-1,4,unpinned,32,4096,12,2,128,measure,7,2129,2061,2054,2055,0,2054,582964,0,0,0,8,75,1927,33,2044,23e201cc6e23589a,0
baseline,spin,spin,-1,4,unpinned,32,4096,12,2,128,measure,8,2054,2054,2052,2052,0,2052,582409,0,0,0,8,75,1925,34,2043,23e201cc6e23589a,0
baseline,spin,spin,-1,5,unpinned,32,4096,12,2,128,measure,9,2038,1998,2036,1998,0,2036,677343,0,0,0,8,75,1910,33,2026,23e201cc6e23589a,0
baseline,spin,spin,-1,5,unpinned,32,4096,12,2,128,measure,10,2127,2051,2045,2044,0,2045,697297,0,0,0,9,75,1917,33,2035,23e201cc6e23589a,0
baseline,spin,spin,-1,5,unpinned,32,4096,12,2,128,measure,11,2044,2044,2044,2043,0,2044,696856,0,0,0,9,75,1916,33,2034,23e201cc6e23589a,0
baseline,spin,spin,-1,0,unpinned,32,4096,12,2,128,measure,12,2045,1989,2044,1988,0,2044,676093,0,0,0,8,75,1917,33,2034,23e201cc6e23589a,0
baseline,spin,spin,-1,0,unpinned,32,4096,12,2,128,measure,13,2099,2053,2047,2047,0,2047,698197,0,0,0,8,75,1920,33,2037,23e201cc6e23589a,0
baseline,spin,spin,-1,4,unpinned,32,4096,12,2,128,measure,14,2043,2025,2042,2024,0,2042,689810,0,0,0,8,75,1914,34,2032,23e201cc6e23589a,0
baseline,spin,spin,-1,4,unpinned,32,4096,12,2,128,measure,15,2043,1975,2041,1975,0,2041,666368,0,0,0,8,75,1914,33,2031,23e201cc6e23589a,0
baseline,spin,spin,-1,4,unpinned,32,4096,12,2,128,measure,16,2040,2040,2039,2038,0,2039,695332,0,0,0,8,75,1912,33,2029,23e201cc6e23589a,0
baseline,spin,spin,-1,4,unpinned,32,4096,12,2,128,measure,17,2044,2036,2042,2035,0,2042,693766,0,0,0,8,76,1914,33,2031,23e201cc6e23589a,0
baseline,spin,spin,-1,4,unpinned,32,4096,12,2,128,measure,18,2044,2044,2043,2042,0,2043,696728,0,0,0,8,76,1915,34,2033,23e201cc6e23589a,0
baseline,spin,spin,-1,4,unpinned,32,4096,12,2,128,measure,19,2042,2041,2041,2041,0,2041,695986,0,0,0,8,75,1913,33,2030,23e201cc6e23589a,0
