mode,wait_policy,wait_strategy,host_cpu_requested,host_cpu_actual,cpu_role,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_wall_us,host_thread_cpu_us,wait_wall_us,wait_thread_cpu_us,sleep_us,spin_us,poll_count,predicted_us,prediction_error_us,descriptor_prepare_us,dsp_mapping_us,dsp_validate_in_us,dsp_compute_us,dsp_validate_out_us,dsp_dispatch_total_us,output_hash,ret,source_file,placement
baseline,legacy,legacy-usleep50,6,6,high-capacity,16,4096,12,2,128,measure,0,1632.0,44.0,1628.0,42.0,1623.0,5.0,15.0,0.0,0.0,0.0,8.0,71.0,1508.0,17.0,1604.0,f9e012e63c1c7864,0,baseline-high-capacity-cpu6-legacy-q16.csv,high-capacity-cpu6
baseline,legacy,legacy-usleep50,6,6,high-capacity,16,4096,12,2,128,measure,1,1715.0,45.0,1712.0,42.0,1710.0,2.0,16.0,0.0,0.0,0.0,8.0,71.0,1502.0,18.0,1599.0,f9e012e63c1c7864,0,baseline-high-capacity-cpu6-legacy-q16.csv,high-capacity-cpu6
baseline,legacy,legacy-usleep50,6,6,high-capacity,16,4096,12,2,128,measure,2,1714.0,46.0,1711.0,45.0,1709.0,2.0,16.0,0.0,0.0,0.0,7.0,72.0,1503.0,17.0,1600.0,f9e012e63c1c7864,0,baseline-high-capacity-cpu6-legacy-q16.csv,high-capacity-cpu6
baseline,legacy,legacy-usleep50,6,6,high-capacity,16,4096,12,2,128,measure,3,1699.0,83.0,1696.0,81.0,1694.0,2.0,16.0,0.0,0.0,0.0,7.0,71.0,1491.0,17.0,1587.0,f9e012e63c1c7864,0,baseline-high-capacity-cpu6-legacy-q16.csv,high-capacity-cpu6
baseline,legacy,legacy-usleep50,6,6,high-capacity,16,4096,12,2,128,measure,4,1716.0,47.0,1713.0,45.0,1712.0,1.0,16.0,0.0,0.0,0.0,6.0,71.0,1499.0,17.0,1594.0,f9e012e63c1c7864,0,baseline-high-capacity-cpu6-legacy-q16.csv,high-capacity-cpu6
baseline,legacy,legacy-usleep50,6,6,high-capacity,16,4096,12,2,128,measure,5,1716.0,45.0,1713.0,44.0,1707.0,6.0,16.0,0.0,0.0,0.0,7.0,71.0,1498.0,17.0,1594.0,f9e012e63c1c7864,0,baseline-high-capacity-cpu6-legacy-q16.csv,high-capacity-cpu6
baseline,legacy,legacy-usleep50,6,6,high-capacity,16,4096,12,2,128,measure,6,1735.0,67.0,1732.0,65.0,1729.0,3.0,16.0,0.0,0.0,0.0,7.0,72.0,1500.0,18.0,1597.0,f9e012e63c1c7864,0,baseline-high-capacity-cpu6-legacy-q16.csv,high-capacity-cpu6
baseline,legacy,legacy-usleep50,6,6,high-capacity,16,4096,12,2,128,measure,7,1712.0,44.0,1708.0,42.0,1705.0,3.0,16.0,0.0,0.0,0.0,8.0,71.0,1505.0,17.0,1601.0,f9e012e63c1c7864,0,baseline-high-capacity-cpu6-legacy-q16.csv,high-capacity-cpu6
baseline,legacy,legacy-usleep50,6,6,high-capacity,16,4096,12,2,128,measure,8,1612.0,47.0,1609.0,45.0,1606.0,3.0,15.0,0.0,0.0,0.0,7.0,72.0,1499.0,18.0,1596.0,f9e012e63c1c7864,0,baseline-high-capacity-cpu6-legacy-q16.csv,high-capacity-cpu6
baseline,legacy,legacy-usleep50,6,6,high-capacity,16,4096,12,2,128,measure,9,1709.0,39.0,1706.0,37.0,1701.0,5.0,16.0,0.0,0.0,0.0,7.0,72.0,1503.0,17.0,1599.0,f9e012e63c1c7864,0,baseline-high-capacity-cpu6-legacy-q16.csv,high-capacity-cpu6
baseline,legacy,legacy-usleep50,6,6,high-capacity,16,4096,12,2,128,measure,10,1712.0,40.0,1708.0,38.0,1707.0,1.0,16.0,0.0,0.0,0.0,7.0,72.0,1501.0,17.0,1597.0,f9e012e63c1c7864,0,baseline-high-capacity-cpu6-legacy-q16.csv,high-capacity-cpu6
baseline,legacy,legacy-usleep50,6,6,high-capacity,16,4096,12,2,128,measure,11,1711.0,36.0,1707.0,34.0,1704.0,3.0,16.0,0.0,0.0,0.0,7.0,71.0,1505.0,18.0,1602.0,f9e012e63c1c7864,0,baseline-high-capacity-cpu6-legacy-q16.csv,high-capacity-cpu6
