candidate_nonfinite,head_dim,kv_len,label,mask_mode,max_abs_error,mode,rmse,status
,64,4093,Hybrid + vtranspose,full,,scna-hmx-fp16-d8-hybrid-vtranspose,,failed
,128,4093,Hybrid + vtranspose,full,,scna-hmx-fp16-d8-hybrid-vtranspose,,skipped-after-mode-gate-failure
,64,4096,Hybrid + vtranspose,full,,scna-hmx-fp16-d8-hybrid-vtranspose,,skipped-after-mode-gate-failure
,128,4096,Hybrid + vtranspose,full,,scna-hmx-fp16-d8-hybrid-vtranspose,,skipped-after-mode-gate-failure
,64,4093,Hybrid + vtranspose,padding,,scna-hmx-fp16-d8-hybrid-vtranspose,,skipped-after-mode-gate-failure
,128,4093,Hybrid + vtranspose,padding,,scna-hmx-fp16-d8-hybrid-vtranspose,,skipped-after-mode-gate-failure
,64,4096,Hybrid + vtranspose,padding,,scna-hmx-fp16-d8-hybrid-vtranspose,,skipped-after-mode-gate-failure
,128,4096,Hybrid + vtranspose,padding,,scna-hmx-fp16-d8-hybrid-vtranspose,,skipped-after-mode-gate-failure
,64,4093,Hybrid + vtranspose,causal,,scna-hmx-fp16-d8-hybrid-vtranspose,,skipped-after-mode-gate-failure
,128,4093,Hybrid + vtranspose,causal,,scna-hmx-fp16-d8-hybrid-vtranspose,,skipped-after-mode-gate-failure
,64,4096,Hybrid + vtranspose,causal,,scna-hmx-fp16-d8-hybrid-vtranspose,,skipped-after-mode-gate-failure
,128,4096,Hybrid + vtranspose,causal,,scna-hmx-fp16-d8-hybrid-vtranspose,,skipped-after-mode-gate-failure
,64,4093,Two-pass + vtranspose,full,,scna-hmx-fp16-d8-two-pass-vtranspose,,failed
,128,4093,Two-pass + vtranspose,full,,scna-hmx-fp16-d8-two-pass-vtranspose,,skipped-after-mode-gate-failure
,64,4096,Two-pass + vtranspose,full,,scna-hmx-fp16-d8-two-pass-vtranspose,,skipped-after-mode-gate-failure
,128,4096,Two-pass + vtranspose,full,,scna-hmx-fp16-d8-two-pass-vtranspose,,skipped-after-mode-gate-failure
,64,4093,Two-pass + vtranspose,padding,,scna-hmx-fp16-d8-two-pass-vtranspose,,skipped-after-mode-gate-failure
,128,4093,Two-pass + vtranspose,padding,,scna-hmx-fp16-d8-two-pass-vtranspose,,skipped-after-mode-gate-failure
,64,4096,Two-pass + vtranspose,padding,,scna-hmx-fp16-d8-two-pass-vtranspose,,skipped-after-mode-gate-failure
,128,4096,Two-pass + vtranspose,padding,,scna-hmx-fp16-d8-two-pass-vtranspose,,skipped-after-mode-gate-failure
,64,4093,Two-pass + vtranspose,causal,,scna-hmx-fp16-d8-two-pass-vtranspose,,skipped-after-mode-gate-failure
,128,4093,Two-pass + vtranspose,causal,,scna-hmx-fp16-d8-two-pass-vtranspose,,skipped-after-mode-gate-failure
,64,4096,Two-pass + vtranspose,causal,,scna-hmx-fp16-d8-two-pass-vtranspose,,skipped-after-mode-gate-failure
,128,4096,Two-pass + vtranspose,causal,,scna-hmx-fp16-d8-two-pass-vtranspose,,skipped-after-mode-gate-failure
,64,4093,Hybrid + batch4,full,,scna-hmx-fp16-d8-hybrid-batch4,,failed
