affine_ns_per_vector,duration_gate,effective_tops,elapsed_ms,fence_ns_per_vector,implementation_max_abs_error,implementation_rmse,label,layout_mismatches,mode,overlap_mismatches,overlap_speedup,p_store_ns_per_vector,pack_ns_per_vector,physical_macs,reduction_ns_per_vector,sample,status,total_ns_per_vector,transpose_ns_per_vector,useful_macs
0.0,False,0.0,0.091,0.0,0.0,0.0,HVX SCNA d8,0,scna-hvx-fp16-d8,0,0.0,0.0,0.0,0.0,0.0,0,pass,45.5,0.0,0.0
0.0,False,0.0,0.092,0.0,0.0,0.0,HVX SCNA d8,0,scna-hvx-fp16-d8,0,0.0,0.0,0.0,0.0,0.0,1,pass,46.0,0.0,0.0
252.5,False,0.0002072003687364193,30.435,221.5,0.0,0.0,Hybrid current,0,scna-hmx-fp16-d8-hybrid,0,0.0,0.0,17.0,100696064.0,9.5,0,pass,15187.0,0.0,3146752.0
252.0,False,0.00020719354732510288,30.435,222.0,0.0,0.0,Hybrid current,0,scna-hmx-fp16-d8-hybrid,0,0.0,0.0,17.0,100696064.0,9.5,1,pass,15187.5,0.0,3146752.0
252.0,False,0.0025777202539422487,4.945,420.0,0.000488281,2.2216e-05,Two-pass current,0,scna-hmx-fp16-d8-two-pass,0,0.0,0.0,17.5,201392128.0,227.5,0,pass,2441.5,0.0,6293504.0
252.5,False,0.002577192465192465,4.945,420.0,0.000488281,2.2216e-05,Two-pass current,0,scna-hmx-fp16-d8-two-pass,0,0.0,0.0,17.5,201392128.0,228.0,1,pass,2442.0,0.0,6293504.0
258.5,False,0.007404122352941176,0.913,227.0,0.000488281,2.43415e-05,Hybrid + vtranspose,0,scna-hmx-fp16-d8-hybrid-vtranspose,0,1.32989,0.0,17.0,100696064.0,0.0,0,pass,425.0,90.0,3146752.0
259.0,False,0.007395421856639248,0.913,227.0,0.000488281,2.43415e-05,Hybrid + vtranspose,0,scna-hmx-fp16-d8-hybrid-vtranspose,0,1.33049,0.0,17.5,100696064.0,0.0,1,pass,425.5,90.0,3146752.0
257.5,False,0.009879912087912088,1.337,424.5,0.000488281,2.2216e-05,Two-pass + vtranspose,0,scna-hmx-fp16-d8-two-pass-vtranspose,0,1.33109,0.0,17.0,201392128.0,227.0,0,pass,637.0,69.5,6293504.0
256.0,False,0.009872163137254902,1.336,425.0,0.000488281,2.2216e-05,Two-pass + vtranspose,0,scna-hmx-fp16-d8-two-pass-vtranspose,0,1.33079,0.0,16.0,201392128.0,227.5,1,pass,637.5,70.0,6293504.0
125.0,False,0.011178515097690942,0.607,110.0,0.000488281,2.43415e-05,Hybrid + batch4,0,scna-hmx-fp16-d8-hybrid-batch4,0,1.33004,0.0,8.0,33923072.0,0.0,0,pass,281.5,111.0,3146752.0
124.5,False,0.011198405693950178,0.607,111.0,0.000488281,2.43415e-05,Hybrid + batch4,0,scna-hmx-fp16-d8-hybrid-batch4,0,1.3293,0.0,8.0,33923072.0,0.0,1,pass,281.0,111.0,3146752.0
123.0,False,0.0197288526645768,0.682,211.0,0.000488281,2.2216e-05,Two-pass + batch4,0,scna-hmx-fp16-d8-two-pass-batch4,0,1.33034,0.0,6.5,134619136.0,116.0,0,pass,319.0,30.5,6293504.0
123.0,False,0.019759824175824177,0.682,211.5,0.000488281,2.2216e-05,Two-pass + batch4,0,scna-hmx-fp16-d8-two-pass-batch4,0,1.33199,0.0,6.5,134619136.0,116.0,1,pass,318.5,30.5,6293504.0
124.0,False,0.01163309426987061,0.588,109.0,0.000488281,2.43415e-05,Hybrid + direct-P,0,scna-hmx-fp16-d8-hybrid-direct-p,0,1.33199,0.0,6.0,33923072.0,0.0,0,pass,270.5,110.0,3146752.0
124.5,False,0.01163309426987061,0.588,109.0,0.000488281,2.43415e-05,Hybrid + direct-P,0,scna-hmx-fp16-d8-hybrid-direct-p,0,1.33004,0.0,6.0,33923072.0,0.0,1,pass,270.5,110.0,3146752.0
124.5,False,0.020334423263327947,0.663,211.0,0.000488281,2.2216e-05,Two-pass + direct-P,0,scna-hmx-fp16-d8-two-pass-direct-p,0,1.32692,0.0,8.0,134619136.0,117.0,0,pass,309.5,30.0,6293504.0
124.5,False,0.020334423263327947,0.664,211.0,0.000488281,2.2216e-05,Two-pass + direct-P,0,scna-hmx-fp16-d8-two-pass-direct-p,0,1.33004,0.0,8.0,134619136.0,117.0,1,pass,309.5,30.0,6293504.0
