attempt,host_max_us,host_median_us,host_min_us,mode,profiled_total_median_us,qo_len,safe_sm_median_us,scna_exp_median_us,scna_hmx_affine_relu_median_us,scna_pack_median_us,scna_reduction_median_us,scna_unpack_median_us,session,temperature_span_c
0,1373.0,1330.5,1247.0,baseline,1007.5,4,320.0,0.0,0.0,0.0,0.0,0.0,0,1.8999999999999986
0,1248.0,1207.5,1140.0,lut-exp,891.0,4,144.5,0.0,0.0,0.0,0.0,0.0,0,1.8999999999999986
0,1381.0,1340.0,1246.0,scna-hvx-fp16-d8,1019.0,4,266.0,201.0,0.0,0.0,0.0,0.0,0,1.8999999999999986
0,54079.0,53969.5,53877.0,scna-hmx-fp16-d8-hybrid,53653.5,4,52933.0,52910.5,736.0,58.0,32.0,51753.0,0,1.8999999999999986
0,9434.0,9335.5,9259.0,scna-hmx-fp16-d8-two-pass,9000.0,4,8267.0,8212.0,721.0,56.5,587.0,6512.0,0,1.8999999999999986
1,1254.0,1201.5,1132.0,lut-exp,893.5,4,139.0,0.0,0.0,0.0,0.0,0.0,1,0.7000000000000028
1,1332.0,1249.0,1173.0,scna-hvx-fp16-d8,923.5,4,243.5,195.0,0.0,0.0,0.0,0.0,1,0.7000000000000028
1,53945.0,53867.0,53782.0,scna-hmx-fp16-d8-hybrid,53532.0,4,52930.0,52910.0,736.5,57.5,32.0,51753.0,1,0.7000000000000028
1,9342.0,9305.5,9217.0,scna-hmx-fp16-d8-two-pass,8959.5,4,8264.0,8211.0,721.0,56.0,587.0,6512.0,1,0.7000000000000028
1,1468.0,1359.5,1338.0,baseline,1099.0,4,344.0,0.0,0.0,0.0,0.0,0.0,1,0.7000000000000028
0,1373.0,1337.5,1229.0,scna-hvx-fp16-d8,1024.0,4,267.0,202.0,0.0,0.0,0.0,0.0,2,1.8999999999999986
0,54072.0,53886.5,53808.0,scna-hmx-fp16-d8-hybrid,53573.0,4,52931.0,52909.0,736.0,57.0,32.0,51752.0,2,1.8999999999999986
0,9412.0,9333.5,9204.0,scna-hmx-fp16-d8-two-pass,9025.0,4,8268.0,8214.0,721.0,56.5,586.0,6512.0,2,1.8999999999999986
0,1462.0,1360.5,1326.0,baseline,1069.0,4,330.5,0.0,0.0,0.0,0.0,0.0,2,1.8999999999999986
0,1232.0,1106.5,1053.0,lut-exp,810.5,4,116.0,0.0,0.0,0.0,0.0,0.0,2,1.8999999999999986
1,53999.0,53923.0,53803.0,scna-hmx-fp16-d8-hybrid,53596.0,4,52931.0,52910.0,737.0,57.0,32.0,51753.0,3,1.8999999999999986
1,9322.0,9259.5,9180.0,scna-hmx-fp16-d8-two-pass,8936.0,4,8266.5,8214.0,720.0,59.0,584.5,6513.0,3,1.8999999999999986
1,1469.0,1358.0,1204.0,baseline,1095.5,4,340.5,0.0,0.0,0.0,0.0,0.0,3,1.8999999999999986
1,1211.0,1118.0,1065.0,lut-exp,836.5,4,120.0,0.0,0.0,0.0,0.0,0.0,3,1.8999999999999986
1,1355.0,1278.5,1093.0,scna-hvx-fp16-d8,981.5,4,254.5,197.0,0.0,0.0,0.0,0.0,3,1.8999999999999986
0,9417.0,9259.0,9148.0,scna-hmx-fp16-d8-two-pass,8898.0,4,8264.0,8211.0,720.0,56.0,586.0,6512.0,4,1.9000000000000057
0,1377.0,1319.0,1198.0,baseline,1012.0,4,323.0,0.0,0.0,0.0,0.0,0.0,4,1.9000000000000057
0,1217.0,1047.0,984.0,lut-exp,748.0,4,113.5,0.0,0.0,0.0,0.0,0.0,4,1.9000000000000057
0,1336.0,1313.5,1192.0,scna-hvx-fp16-d8,979.0,4,253.0,195.0,0.0,0.0,0.0,0.0,4,1.9000000000000057
0,54209.0,53899.0,53834.0,scna-hmx-fp16-d8-hybrid,53552.5,4,52929.0,52910.0,736.0,57.0,32.0,51753.0,4,1.9000000000000057
0,1826.0,1724.5,1539.0,baseline,1430.0,8,654.0,0.0,0.0,0.0,0.0,0.0,0,0.8000000000000043
0,1355.0,1260.5,1096.0,lut-exp,983.0,8,231.5,0.0,0.0,0.0,0.0,0.0,0,0.8000000000000043
0,1627.0,1545.5,1487.0,scna-hvx-fp16-d8,1245.5,8,492.5,384.0,0.0,0.0,0.0,0.0,0,0.8000000000000043
0,106969.0,106891.5,106792.0,scna-hmx-fp16-d8-hybrid,106531.5,8,105846.0,105778.0,1473.0,115.5,64.5,103471.0,0,0.8000000000000043
0,17513.0,17450.5,17400.0,scna-hmx-fp16-d8-two-pass,17127.0,8,16505.0,16413.0,1441.0,115.0,1172.0,13020.0,0,0.8000000000000043
0,1380.0,1284.0,1187.0,lut-exp,957.0,8,222.5,0.0,0.0,0.0,0.0,0.0,1,1.5
0,1632.0,1599.5,1533.0,scna-hvx-fp16-d8,1280.0,8,498.0,387.0,0.0,0.0,0.0,0.0,1,1.5
0,106877.0,106807.0,106746.0,scna-hmx-fp16-d8-hybrid,106467.5,8,105844.5,105777.5,1472.0,115.0,64.0,103470.0,1,1.5
0,17646.0,17492.5,17416.0,scna-hmx-fp16-d8-two-pass,17177.5,8,16506.0,16410.0,1440.5,113.0,1173.0,13018.0,1,1.5
0,1819.0,1745.0,1711.0,baseline,1434.5,8,651.0,0.0,0.0,0.0,0.0,0.0,1,1.5
1,1633.0,1591.0,1507.0,scna-hvx-fp16-d8,1274.0,8,495.5,387.0,0.0,0.0,0.0,0.0,2,0.7000000000000028
1,106900.0,106836.0,106766.0,scna-hmx-fp16-d8-hybrid,106506.0,8,105842.5,105777.0,1472.5,115.0,64.0,103470.0,2,0.7000000000000028
1,17635.0,17554.0,17477.0,scna-hmx-fp16-d8-two-pass,17213.5,8,16510.0,16410.0,1440.5,112.0,1173.0,13019.0,2,0.7000000000000028
1,1749.0,1637.5,1536.0,baseline,1354.5,8,631.0,0.0,0.0,0.0,0.0,0.0,2,0.7000000000000028
1,1385.0,1325.0,1092.0,lut-exp,992.0,8,235.0,0.0,0.0,0.0,0.0,0.0,2,0.7000000000000028
2,17622.0,17453.0,17370.0,scna-hmx-fp16-d8-two-pass,17140.5,8,16507.0,16411.5,1440.0,114.0,1174.0,13019.0,4,1.5
2,1771.0,1686.0,1660.0,baseline,1406.0,8,635.5,0.0,0.0,0.0,0.0,0.0,4,1.5
