ci_high_us,ci_low_us,label,median_us,mode,profiled_total_median_us,qo_len,safe_sm_median_us,scna_exp_median_us,scna_hmx_affine_relu_median_us,scna_pack_median_us,scna_reduction_median_us,scna_unpack_median_us,sessions
1360.5,1319.0,Origin-HVX,1358.0,baseline,1069.0,4,330.5,0.0,0.0,0.0,0.0,0.0,5
1207.5,1047.0,EXP-LUT,1118.0,lut-exp,836.5,4,120.0,0.0,0.0,0.0,0.0,0.0,5
53969.5,53867.0,HMX Hybrid,53899.0,scna-hmx-fp16-d8-hybrid,53573.0,4,52931.0,52910.0,736.0,57.0,32.0,51753.0,5
9335.5,9259.0,HMX Two-pass,9305.5,scna-hmx-fp16-d8-two-pass,8959.5,4,8266.5,8212.0,721.0,56.5,586.0,6512.0,5
1340.0,1249.0,HVX SCNA d8,1313.5,scna-hvx-fp16-d8,981.5,4,254.5,197.0,0.0,0.0,0.0,0.0,5
1748.5,1637.5,Origin-HVX,1724.5,baseline,1425.5,8,645.0,0.0,0.0,0.0,0.0,0.0,5
1325.0,1132.5,EXP-LUT,1284.0,lut-exp,979.5,8,231.5,0.0,0.0,0.0,0.0,0.0,5
107182.0,106807.0,HMX Hybrid,106836.0,scna-hmx-fp16-d8-hybrid,106506.0,8,105845.0,105778.0,1472.5,115.0,64.0,103470.0,5
18251.5,17450.5,HMX Two-pass,17492.5,scna-hmx-fp16-d8-two-pass,17177.5,8,16507.0,16411.5,1440.5,114.0,1173.0,13019.0,5
1599.5,1414.0,HVX SCNA d8,1581.0,scna-hvx-fp16-d8,1272.5,8,495.5,387.0,0.0,0.0,0.0,0.0,5
2393.0,2242.5,Origin-HVX,2386.5,baseline,2093.0,16,1274.5,0.0,0.0,0.0,0.0,0.0,5
1542.0,1412.5,EXP-LUT,1516.0,lut-exp,1192.0,16,433.0,0.0,0.0,0.0,0.0,0.0,5
213306.0,212709.5,HMX Hybrid,212733.0,scna-hmx-fp16-d8-hybrid,212378.0,16,211676.0,211549.0,2946.0,230.5,130.0,206939.0,5
35119.0,33960.5,HMX Two-pass,33989.0,scna-hmx-fp16-d8-two-pass,33647.0,16,33005.5,32825.0,2881.5,228.0,2348.5,26036.0,5
2124.5,2041.5,HVX SCNA d8,2104.0,scna-hvx-fp16-d8,1763.0,16,959.5,760.0,0.0,0.0,0.0,0.0,5
3974.5,3685.0,Origin-HVX,3779.5,baseline,3405.5,32,2531.0,0.0,0.0,0.0,0.0,0.0,5
2115.5,2010.5,EXP-LUT,2045.0,lut-exp,1696.5,32,854.5,0.0,0.0,0.0,0.0,0.0,5
456127.5,424460.5,HMX Hybrid,425652.0,scna-hmx-fp16-d8-hybrid,425244.0,32,424394.5,424080.0,6901.5,456.0,255.0,413836.5,5
73716.0,67066.5,HMX Two-pass,69219.5,scna-hmx-fp16-d8-two-pass,68841.5,32,68062.0,67668.0,6792.0,477.5,5719.5,52047.0,5
3266.0,2988.5,HVX SCNA d8,3146.0,scna-hvx-fp16-d8,2792.0,32,1911.0,1511.5,0.0,0.0,0.0,0.0,5
