session,evaluator,qo_len,host_elapsed_us,source
1,LUT-EXP,16,684,lut_exp_q16.log
1,LUT-EXP,16,675,lut_exp_q16.log
1,LUT-EXP,16,677,lut_exp_q16.log
1,LUT-EXP,16,687,lut_exp_q16.log
1,LUT-EXP,16,669,lut_exp_q16.log
1,LUT-EXP,16,668,lut_exp_q16.log
1,LUT-EXP,16,678,lut_exp_q16.log
1,LUT-EXP,16,663,lut_exp_q16.log
1,LUT-EXP,16,695,lut_exp_q16.log
1,LUT-EXP,16,768,lut_exp_q16.log
1,LUT-EXP,16,668,lut_exp_q16.log
1,LUT-EXP,16,681,lut_exp_q16.log
1,LUT-EXP,16,690,lut_exp_q16.log
1,LUT-EXP,16,675,lut_exp_q16.log
1,LUT-EXP,16,702,lut_exp_q16.log
1,LUT-EXP,16,759,lut_exp_q16.log
1,LUT-EXP,16,756,lut_exp_q16.log
1,LUT-EXP,16,739,lut_exp_q16.log
1,LUT-EXP,16,730,lut_exp_q16.log
1,LUT-EXP,16,684,lut_exp_q16.log
1,LUT-EXP,16,726,lut_exp_q16.log
1,LUT-EXP,16,765,lut_exp_q16.log
1,LUT-EXP,16,729,lut_exp_q16.log
1,LUT-EXP,16,756,lut_exp_q16.log
1,LUT-EXP,16,711,lut_exp_q16.log
1,LUT-EXP,16,754,lut_exp_q16.log
1,LUT-EXP,16,749,lut_exp_q16.log
1,LUT-EXP,16,771,lut_exp_q16.log
1,LUT-EXP,16,674,lut_exp_q16.log
1,LUT-EXP,16,773,lut_exp_q16.log
1,SCNA lane8 d8,16,1644,scna_lane8_q16_1.log
1,SCNA lane8 d8,16,1647,scna_lane8_q16_1.log
1,SCNA lane8 d8,16,1657,scna_lane8_q16_1.log
1,SCNA lane8 d8,16,1588,scna_lane8_q16_1.log
1,SCNA lane8 d8,16,1644,scna_lane8_q16_1.log
1,SCNA lane8 d8,16,1625,scna_lane8_q16_1.log
1,SCNA lane8 d8,16,1640,scna_lane8_q16_1.log
1,SCNA lane8 d8,16,1620,scna_lane8_q16_1.log
1,SCNA lane8 d8,16,1608,scna_lane8_q16_1.log
1,SCNA lane8 d8,16,1618,scna_lane8_q16_1.log
1,SCNA lane8 d8,16,1628,scna_lane8_q16_1.log
1,SCNA lane8 d8,16,1620,scna_lane8_q16_1.log
1,SCNA lane8 d8,16,1710,scna_lane8_q16_1.log
1,SCNA lane8 d8,16,1733,scna_lane8_q16_1.log
1,SCNA lane8 d8,16,1657,scna_lane8_q16_1.log
1,SCNA lane8 d8,16,1636,scna_lane8_q16_1.log
1,SCNA lane8 d8,16,1641,scna_lane8_q16_1.log
1,SCNA lane8 d8,16,1632,scna_lane8_q16_1.log
1,SCNA lane8 d8,16,1647,scna_lane8_q16_1.log
1,SCNA lane8 d8,16,1616,scna_lane8_q16_1.log
1,SCNA lane8 d8,16,1640,scna_lane8_q16_1.log
1,SCNA lane8 d8,16,1671,scna_lane8_q16_1.log
1,SCNA lane8 d8,16,1612,scna_lane8_q16_1.log
1,SCNA lane8 d8,16,1647,scna_lane8_q16_1.log
1,SCNA lane8 d8,16,1620,scna_lane8_q16_1.log
1,SCNA lane8 d8,16,1690,scna_lane8_q16_1.log
1,SCNA lane8 d8,16,1738,scna_lane8_q16_1.log
1,SCNA lane8 d8,16,1739,scna_lane8_q16_1.log
1,SCNA lane8 d8,16,1635,scna_lane8_q16_1.log
1,SCNA lane8 d8,16,1642,scna_lane8_q16_1.log
1,LUT-EXP,32,1033,lut_exp_q32.log
1,LUT-EXP,32,1108,lut_exp_q32.log
1,LUT-EXP,32,1017,lut_exp_q32.log
1,LUT-EXP,32,1013,lut_exp_q32.log
1,LUT-EXP,32,1003,lut_exp_q32.log
1,LUT-EXP,32,995,lut_exp_q32.log
1,LUT-EXP,32,1071,lut_exp_q32.log
1,LUT-EXP,32,1020,lut_exp_q32.log
1,LUT-EXP,32,1105,lut_exp_q32.log
1,LUT-EXP,32,1042,lut_exp_q32.log
1,LUT-EXP,32,1086,lut_exp_q32.log
1,LUT-EXP,32,1105,lut_exp_q32.log
1,LUT-EXP,32,1105,lut_exp_q32.log
1,LUT-EXP,32,1114,lut_exp_q32.log
1,LUT-EXP,32,1015,lut_exp_q32.log
1,LUT-EXP,32,1016,lut_exp_q32.log
1,LUT-EXP,32,1083,lut_exp_q32.log
1,LUT-EXP,32,1100,lut_exp_q32.log
