stage	mode	layout	seed	mask	qo_len	kv_len	head_dim	exit_code	compare_pass	layout_pass	mask_tail_pass	checksum_unique_count	log
baseline	baseline	serial	figure8_fixed	full	1	4093	64	0	1	1	1	1	/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_full_q1_k4093_d64.log
baseline	baseline	serial	figure8_fixed	full	1	4093	128	0	1	1	1	1	/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_full_q1_k4093_d128.log
baseline	baseline	serial	figure8_fixed	full	1	4096	64	0	1	1	1	1	/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_full_q1_k4096_d64.log
baseline	baseline	serial	figure8_fixed	full	1	4096	128	0	1	1	1	1	/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_full_q1_k4096_d128.log
baseline	baseline	serial	figure8_fixed	full	4	4093	64	0	1	1	1	1	/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_full_q4_k4093_d64.log
baseline	baseline	serial	figure8_fixed	full	4	4093	128	0	1	1	1	1	/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_full_q4_k4093_d128.log
baseline	baseline	serial	figure8_fixed	full	4	4096	64	0	1	1	1	1	/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_full_q4_k4096_d64.log
baseline	baseline	serial	figure8_fixed	full	4	4096	128	0	1	1	1	1	/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_full_q4_k4096_d128.log
baseline	baseline	serial	figure8_fixed	padding	1	4093	64	0	1	1	1	1	/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_padding_q1_k4093_d64.log
baseline	baseline	serial	figure8_fixed	padding	1	4093	128	0	1	1	1	1	/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_padding_q1_k4093_d128.log
baseline	baseline	serial	figure8_fixed	padding	1	4096	64	0	1	1	1	1	/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_padding_q1_k4096_d64.log
