stage,mode,layout,seed,mask,qo_len,kv_len,head_dim,rmse,max_abs_error,candidate_nonfinite,reference_nonfinite,compare_pass,layout_pass,mask_tail_pass,checksum_unique_count,log
baseline,baseline,serial,figure8_fixed,full,1,4093,64,2.26839938e-06,8.19930574e-06,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_full_q1_k4093_d64.log
baseline,baseline,serial,figure8_fixed,full,1,4093,128,4.82481619e-06,1.1467142e-05,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_full_q1_k4093_d128.log
baseline,baseline,serial,figure8_fixed,full,1,4096,64,2.22206813e-06,6.7653018e-06,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_full_q1_k4096_d64.log
baseline,baseline,serial,figure8_fixed,full,1,4096,128,4.12185136e-06,1.11120753e-05,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_full_q1_k4096_d128.log
baseline,baseline,serial,figure8_fixed,full,4,4093,64,2.33116407e-06,8.19930574e-06,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_full_q4_k4093_d64.log
baseline,baseline,serial,figure8_fixed,full,4,4093,128,4.9304017e-06,1.62316719e-05,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_full_q4_k4093_d128.log
baseline,baseline,serial,figure8_fixed,full,4,4096,64,2.13201133e-06,7.0395181e-06,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_full_q4_k4096_d64.log
baseline,baseline,serial,figure8_fixed,full,4,4096,128,4.52877111e-06,1.47108221e-05,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_full_q4_k4096_d128.log
baseline,baseline,serial,figure8_fixed,padding,1,4093,64,2.55129089e-06,7.13998452e-06,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_padding_q1_k4093_d64.log
baseline,baseline,serial,figure8_fixed,padding,1,4093,128,5.57453495e-06,1.35315349e-05,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_padding_q1_k4093_d128.log
baseline,baseline,serial,figure8_fixed,padding,1,4096,64,2.26839938e-06,8.19930574e-06,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_padding_q1_k4096_d64.log
baseline,baseline,serial,figure8_fixed,padding,1,4096,128,4.82481619e-06,1.1467142e-05,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_padding_q1_k4096_d128.log
baseline,baseline,serial,figure8_fixed,padding,4,4093,64,2.62833487e-06,8.78470019e-06,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_padding_q4_k4093_d64.log
baseline,baseline,serial,figure8_fixed,padding,4,4093,128,5.68215455e-06,1.7799437e-05,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_padding_q4_k4093_d128.log
baseline,baseline,serial,figure8_fixed,padding,4,4096,64,2.33116407e-06,8.19930574e-06,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_padding_q4_k4096_d64.log
baseline,baseline,serial,figure8_fixed,padding,4,4096,128,4.9304017e-06,1.62316719e-05,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_padding_q4_k4096_d128.log
baseline,baseline,serial,figure8_fixed,causal,1,4093,64,2.26839938e-06,8.19930574e-06,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_causal_q1_k4093_d64.log
baseline,baseline,serial,figure8_fixed,causal,1,4093,128,4.82481619e-06,1.1467142e-05,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_causal_q1_k4093_d128.log
baseline,baseline,serial,figure8_fixed,causal,1,4096,64,2.22206813e-06,6.7653018e-06,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_causal_q1_k4096_d64.log
baseline,baseline,serial,figure8_fixed,causal,1,4096,128,4.12185136e-06,1.11120753e-05,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_causal_q1_k4096_d128.log
baseline,baseline,serial,figure8_fixed,causal,4,4093,64,2.47996854e-06,7.81274866e-06,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_causal_q4_k4093_d64.log
baseline,baseline,serial,figure8_fixed,causal,4,4093,128,5.31367232e-06,1.57923205e-05,0,0,1,1,1,1,/home/corleone/code/Snapdragon-NPU/projects/flashattention-scna-v79-lane8/results/v79/scna-lane8/accuracy-first-20260810_212715/accuracy/raw/baseline_figure8_fixed_causal_q4_k4093_d128.log
