seed,mask_mode,qo_len,kv_len,head_dim,rmse,max_abs_error,serial_nonfinite,lane8_nonfinite,pass
figure8_fixed,full,1,4093,64,1.02089268e-06,2.86102295e-06,0,0,1
figure8_fixed,full,1,4093,128,3.11687108e-06,7.62939453e-06,0,0,1
figure8_fixed,full,1,4096,64,1.00738157e-06,2.62260437e-06,0,0,1
figure8_fixed,full,1,4096,128,3.28784517e-06,1.14440918e-05,0,0,1
figure8_fixed,full,4,4093,64,1.20927609e-06,3.81469727e-06,0,0,1
figure8_fixed,full,4,4093,128,2.78946254e-06,7.62939453e-06,0,0,1
figure8_fixed,full,4,4096,64,1.19584911e-06,3.81469727e-06,0,0,1
figure8_fixed,full,4,4096,128,2.8265531e-06,1.14440918e-05,0,0,1
figure8_fixed,padding,1,4093,64,1.02033971e-06,2.86102295e-06,0,0,1
figure8_fixed,padding,1,4093,128,3.08625249e-06,7.62939453e-06,0,0,1
figure8_fixed,padding,1,4096,64,1.02089268e-06,2.86102295e-06,0,0,1
figure8_fixed,padding,1,4096,128,3.11687108e-06,7.62939453e-06,0,0,1
figure8_fixed,padding,4,4093,64,1.20776417e-06,4.05311584e-06,0,0,1
figure8_fixed,padding,4,4093,128,2.77823005e-06,7.62939453e-06,0,0,1
figure8_fixed,padding,4,4096,64,1.20927609e-06,3.81469727e-06,0,0,1
figure8_fixed,padding,4,4096,128,2.78946254e-06,7.62939453e-06,0,0,1
figure8_fixed,causal,1,4093,64,1.02089268e-06,2.86102295e-06,0,0,1
figure8_fixed,causal,1,4093,128,3.11687108e-06,7.62939453e-06,0,0,1
figure8_fixed,causal,1,4096,64,1.00738157e-06,2.62260437e-06,0,0,1
figure8_fixed,causal,1,4096,128,3.28784517e-06,1.14440918e-05,0,0,1
figure8_fixed,causal,4,4093,64,1.20456946e-06,4.05311584e-06,0,0,1
figure8_fixed,causal,4,4093,128,2.79055075e-06,7.62939453e-06,0,0,1
figure8_fixed,causal,4,4096,64,1.20147592e-06,3.81469727e-06,0,0,1
figure8_fixed,causal,4,4096,128,2.77862591e-06,7.62939453e-06,0,0,1
20260810,full,1,4093,64,3.0661151e-05,0.000198364258,0,0,1
20260810,full,1,4093,128,3.26374811e-06,1.52587891e-05,0,0,1
20260810,full,1,4096,64,3.17293307e-05,0.000183105469,0,0,1
20260810,full,1,4096,128,7.65923869e-06,7.62939453e-05,0,0,1
20260810,full,4,4093,64,2.6461681e-05,0.000198364258,0,0,1
20260810,full,4,4093,128,3.35671939e-06,1.52587891e-05,0,0,1
20260810,full,4,4096,64,2.58085729e-05,0.000183105469,0,0,1
20260810,full,4,4096,128,6.9324492e-06,7.62939453e-05,0,0,1
20260810,padding,1,4093,64,3.06085822e-05,0.000198364258,0,0,1
20260810,padding,1,4093,128,3.19421133e-06,1.52587891e-05,0,0,1
20260810,padding,1,4096,64,3.0661151e-05,0.000198364258,0,0,1
20260810,padding,1,4096,128,3.26374811e-06,1.52587891e-05,0,0,1
20260810,padding,4,4093,64,2.63468773e-05,0.000198364258,0,0,1
20260810,padding,4,4093,128,3.26476334e-06,1.52587891e-05,0,0,1
20260810,padding,4,4096,64,2.6461681e-05,0.000198364258,0,0,1
20260810,padding,4,4096,128,3.35671939e-06,1.52587891e-05,0,0,1
20260810,causal,1,4093,64,3.0661151e-05,0.000198364258,0,0,1
20260810,causal,1,4093,128,3.26374811e-06,1.52587891e-05,0,0,1
20260810,causal,1,4096,64,3.17293307e-05,0.000183105469,0,0,1
20260810,causal,1,4096,128,7.65923869e-06,7.62939453e-05,0,0,1
20260810,causal,4,4093,64,2.64224236e-05,0.000198364258,0,0,1
20260810,causal,4,4093,128,3.34738388e-06,1.52587891e-05,0,0,1
20260810,causal,4,4096,64,2.53848139e-05,0.000198364258,0,0,1
20260810,causal,4,4096,128,4.90102821e-06,7.62939453e-05,0,0,1
20260811,full,1,4093,64,3.0661151e-05,0.000198364258,0,0,1
20260811,full,1,4093,128,3.26374811e-06,1.52587891e-05,0,0,1
20260811,full,1,4096,64,3.17293307e-05,0.000183105469,0,0,1
20260811,full,1,4096,128,7.65923869e-06,7.62939453e-05,0,0,1
20260811,full,4,4093,64,2.6461681e-05,0.000198364258,0,0,1
20260811,full,4,4093,128,3.35671939e-06,1.52587891e-05,0,0,1
20260811,full,4,4096,64,2.58085729e-05,0.000183105469,0,0,1
20260811,full,4,4096,128,6.9324492e-06,7.62939453e-05,0,0,1
20260811,padding,1,4093,64,3.06085822e-05,0.000198364258,0,0,1
20260811,padding,1,4093,128,3.19421133e-06,1.52587891e-05,0,0,1
20260811,padding,1,4096,64,3.0661151e-05,0.000198364258,0,0,1
20260811,padding,1,4096,128,3.26374811e-06,1.52587891e-05,0,0,1
20260811,padding,4,4093,64,2.63468773e-05,0.000198364258,0,0,1
20260811,padding,4,4093,128,3.26476334e-06,1.52587891e-05,0,0,1
20260811,padding,4,4096,64,2.6461681e-05,0.000198364258,0,0,1
20260811,padding,4,4096,128,3.35671939e-06,1.52587891e-05,0,0,1
20260811,causal,1,4093,64,3.0661151e-05,0.000198364258,0,0,1
20260811,causal,1,4093,128,3.26374811e-06,1.52587891e-05,0,0,1
20260811,causal,1,4096,64,3.17293307e-05,0.000183105469,0,0,1
20260811,causal,1,4096,128,7.65923869e-06,7.62939453e-05,0,0,1
20260811,causal,4,4093,64,2.64224236e-05,0.000198364258,0,0,1
20260811,causal,4,4093,128,3.34738388e-06,1.52587891e-05,0,0,1
20260811,causal,4,4096,64,2.53848139e-05,0.000198364258,0,0,1
20260811,causal,4,4096,128,4.90102821e-06,7.62939453e-05,0,0,1
