variant,sample,paired_ns_per_64,checksum
serial,1,41.254231,0x6752613
serial,2,41.254231,0x6752613
serial,3,41.254231,0x6752613
serial,4,41.253846,0x6752613
serial,5,41.254231,0x6752613
serial,6,41.253846,0x6752613
serial,7,41.254231,0x6752613
serial,8,41.254231,0x6752613
serial,9,41.253846,0x6752613
serial,10,41.254231,0x6752613
serial,11,41.254231,0x6752613
serial,12,41.254231,0x6752613
serial,13,41.254231,0x6752613
serial,14,41.254231,0x6752613
serial,15,41.254231,0x6752613
serial,16,41.254231,0x6752613
serial,17,41.254231,0x6752613
serial,18,41.253846,0x6752613
serial,19,41.254231,0x6752613
serial,20,41.253846,0x6752613
serial,21,41.253846,0x6752613
serial,22,41.253846,0x6752613
serial,23,41.254231,0x6752613
serial,24,41.254231,0x6752613
serial,25,41.253846,0x6752613
serial,26,41.254231,0x6752613
serial,27,41.253846,0x6752613
serial,28,41.254231,0x6752613
serial,29,41.254231,0x6752613
serial,30,41.254231,0x6752613
current,1,134.081538,0x6752613
sequential-pair,1,114.483846,0x6752613
split4-pair,1,137.174615,0x6752613
pack-once,1,120.669231,0x6752613
current,2,134.081538,0x6752613
sequential-pair,2,114.483846,0x6752613
split4-pair,2,137.174231,0x6752613
pack-once,2,120.669231,0x6752613
current,3,134.081923,0x6752613
sequential-pair,3,114.483846,0x6752613
split4-pair,3,137.174615,0x6752613
pack-once,3,120.669615,0x6752613
current,4,134.081538,0x6752613
sequential-pair,4,114.483846,0x6752613
split4-pair,4,137.174231,0x6752613
pack-once,4,120.669231,0x6752613
current,5,134.081538,0x6752613
sequential-pair,5,114.483846,0x6752613
split4-pair,5,137.174231,0x6752613
pack-once,5,120.669615,0x6752613
current,6,134.081538,0x6752613
sequential-pair,6,114.483846,0x6752613
split4-pair,6,137.174231,0x6752613
pack-once,6,120.669615,0x6752613
current,7,134.081538,0x6752613
sequential-pair,7,114.483846,0x6752613
split4-pair,7,137.174615,0x6752613
pack-once,7,120.669231,0x6752613
current,8,134.081538,0x6752613
sequential-pair,8,114.484231,0x6752613
split4-pair,8,137.174231,0x6752613
pack-once,8,120.669615,0x6752613
current,9,134.081154,0x6752613
sequential-pair,9,114.484231,0x6752613
split4-pair,9,137.174615,0x6752613
pack-once,9,120.669615,0x6752613
current,10,134.081923,0x6752613
sequential-pair,10,114.483846,0x6752613
split4-pair,10,137.174615,0x6752613
pack-once,10,120.669615,0x6752613
current,11,134.081538,0x6752613
sequential-pair,11,114.483846,0x6752613
split4-pair,11,137.174231,0x6752613
pack-once,11,120.669615,0x6752613
current,12,134.081538,0x6752613
sequential-pair,12,114.484231,0x6752613
split4-pair,12,137.174231,0x6752613
pack-once,12,120.669615,0x6752613
current,13,134.081538,0x6752613
sequential-pair,13,114.483846,0x6752613
split4-pair,13,137.174615,0x6752613
pack-once,13,120.669615,0x6752613
current,14,134.081538,0x6752613
sequential-pair,14,114.483846,0x6752613
split4-pair,14,137.174231,0x6752613
pack-once,14,120.669615,0x6752613
current,15,134.081538,0x6752613
sequential-pair,15,114.483846,0x6752613
split4-pair,15,137.174231,0x6752613
pack-once,15,120.669231,0x6752613
current,16,134.081538,0x6752613
sequential-pair,16,114.483846,0x6752613
split4-pair,16,137.174615,0x6752613
pack-once,16,120.669615,0x6752613
current,17,134.081538,0x6752613
sequential-pair,17,114.484231,0x6752613
split4-pair,17,137.174231,0x6752613
pack-once,17,120.669615,0x6752613
current,18,134.081538,0x6752613
sequential-pair,18,114.483846,0x6752613
split4-pair,18,137.174231,0x6752613
pack-once,18,120.669615,0x6752613
current,19,134.081154,0x6752613
sequential-pair,19,114.483846,0x6752613
split4-pair,19,137.174615,0x6752613
pack-once,19,120.669615,0x6752613
current,20,134.081538,0x6752613
sequential-pair,20,114.483846,0x6752613
split4-pair,20,137.174231,0x6752613
pack-once,20,120.669615,0x6752613
current,21,134.082308,0x6752613
sequential-pair,21,114.484231,0x6752613
split4-pair,21,137.174615,0x6752613
pack-once,21,120.67,0x6752613
current,22,134.081923,0x6752613
sequential-pair,22,114.484231,0x6752613
split4-pair,22,137.175,0x6752613
pack-once,22,120.669615,0x6752613
current,23,134.081538,0x6752613
sequential-pair,23,114.484231,0x6752613
split4-pair,23,137.174231,0x6752613
pack-once,23,120.669231,0x6752613
current,24,134.081538,0x6752613
sequential-pair,24,114.483846,0x6752613
split4-pair,24,137.174231,0x6752613
pack-once,24,120.669615,0x6752613
current,25,134.081538,0x6752613
sequential-pair,25,114.483846,0x6752613
split4-pair,25,137.174231,0x6752613
pack-once,25,120.669615,0x6752613
current,26,134.081538,0x6752613
sequential-pair,26,114.483846,0x6752613
split4-pair,26,137.174231,0x6752613
pack-once,26,120.669231,0x6752613
current,27,134.081538,0x6752613
sequential-pair,27,114.484231,0x6752613
split4-pair,27,137.174231,0x6752613
pack-once,27,120.669231,0x6752613
current,28,134.081538,0x6752613
sequential-pair,28,114.483846,0x6752613
split4-pair,28,137.174231,0x6752613
pack-once,28,120.669231,0x6752613
current,29,134.081538,0x6752613
sequential-pair,29,114.483846,0x6752613
split4-pair,29,137.174231,0x6752613
pack-once,29,120.669231,0x6752613
current,30,134.081538,0x6752613
sequential-pair,30,114.483846,0x6752613
split4-pair,30,137.174231,0x6752613
pack-once,30,120.669615,0x6752613
