mode,qo_len,stage,samples_per_revision,pre_median_us,post_median_us,post_minus_pre_us,post_minus_pre_pct
baseline,32,q_load,90,15.0,16.0,1.0,6.666666666666665
baseline,32,k_load,90,346.5,412.0,65.5,18.90331890331891
baseline,32,qk_dot,90,26.0,26.0,0.0,0.0
baseline,32,safe_sm,90,1264.0,2254.0,990.0,78.32278481012658
baseline,32,scna_exp,90,0.0,0.0,0.0,
baseline,32,v_load,90,335.0,337.0,2.0,0.5970149253731405
baseline,32,core_acc,90,21.0,23.0,2.0,9.523809523809534
baseline,32,o_scale,90,3.0,3.0,0.0,0.0
baseline,32,o_store,90,22.0,21.0,-1.0,-4.545454545454541
scna-d8,32,q_load,90,15.0,16.0,1.0,6.666666666666665
scna-d8,32,k_load,90,281.0,380.0,99.0,35.23131672597866
scna-d8,32,qk_dot,90,26.0,26.0,0.0,0.0
scna-d8,32,safe_sm,90,1620.5,1655.0,34.5,2.128972539339702
scna-d8,32,scna_exp,90,1247.0,1281.0,34.0,2.7265437048917374
scna-d8,32,v_load,90,339.0,334.0,-5.0,-1.4749262536873142
scna-d8,32,core_acc,90,22.0,24.0,2.0,9.090909090909083
scna-d8,32,o_scale,90,3.0,4.0,1.0,33.33333333333333
scna-d8,32,o_store,90,22.0,21.0,-1.0,-4.545454545454541
