mode,function,kernel,pipeline,width,mask_mode,kv_len,head_dim,rmse,max_abs_error,candidate_nonfinite,reference_nonfinite,ret
baseline,exp2,direct,off,0,full,4096,128,0.00126045,0.0061833,0,0,0
scna-fp16,exp2,direct,off,32,full,4096,128,0.00062423,0.00140593,0,0,0
scna-fp16,exp2,tree,off,32,full,4096,128,0.000624535,0.00138685,0,0,0
scna-fp16,exp,tree,off,8,full,4096,128,0.000612759,0.00124843,0,0,0
scna-fp16,exp,tree,on,8,full,4096,128,0.000612759,0.00124843,0,0,0
lut-exp,exp2,direct,off,0,full,4096,128,0.000629187,0.00139837,0,0,0
baseline,exp2,direct,off,0,full,4096,128,0.00126081,0.0061833,0,0,0
scna-fp16,exp2,direct,off,32,full,4096,128,0.000624444,0.00140593,0,0,0
scna-fp16,exp2,tree,off,32,full,4096,128,0.000624532,0.00143511,0,0,0
scna-fp16,exp,tree,off,8,full,4096,128,0.000612785,0.00124843,0,0,0
scna-fp16,exp,tree,on,8,full,4096,128,0.000612785,0.00124843,0,0,0
lut-exp,exp2,direct,off,0,full,4096,128,0.000629354,0.00139837,0,0,0
baseline,exp2,direct,off,0,full,4096,128,0.00133908,0.0061833,0,0,0
scna-fp16,exp2,direct,off,32,full,4096,128,0.000623336,0.00136022,0,0,0
scna-fp16,exp2,tree,off,32,full,4096,128,0.000625518,0.00137246,0,0,0
scna-fp16,exp,tree,off,8,full,4096,128,0.000613233,0.00123021,0,0,0
scna-fp16,exp,tree,on,8,full,4096,128,0.000613233,0.00123021,0,0,0
lut-exp,exp2,direct,off,0,full,4096,128,0.00063154,0.00139837,0,0,0
baseline,exp2,direct,off,0,full,4096,128,0.00127873,0.0061833,0,0,0
scna-fp16,exp2,direct,off,32,full,4096,128,0.000623837,0.00140593,0,0,0
scna-fp16,exp2,tree,off,32,full,4096,128,0.000624253,0.00138685,0,0,0
scna-fp16,exp,tree,off,8,full,4096,128,0.000613247,0.00124843,0,0,0
scna-fp16,exp,tree,on,8,full,4096,128,0.000613247,0.00124843,0,0,0
lut-exp,exp2,direct,off,0,full,4096,128,0.00063023,0.00139837,0,0,0
baseline,exp2,direct,off,0,full,4096,128,0.00126045,0.0061833,0,0,0
scna-fp16,exp2,direct,off,32,full,4096,128,0.00062423,0.00140593,0,0,0
scna-fp16,exp2,tree,off,32,full,4096,128,0.000624535,0.00138685,0,0,0
scna-fp16,exp,tree,off,8,full,4096,128,0.000612759,0.00124843,0,0,0
scna-fp16,exp,tree,on,8,full,4096,128,0.000612759,0.00124843,0,0,0
lut-exp,exp2,direct,off,0,full,4096,128,0.000629187,0.00139837,0,0,0
baseline,exp2,direct,off,0,full,4096,128,0.00126081,0.0061833,0,0,0
scna-fp16,exp2,direct,off,32,full,4096,128,0.000624444,0.00140593,0,0,0
scna-fp16,exp2,tree,off,32,full,4096,128,0.000624532,0.00143511,0,0,0
scna-fp16,exp,tree,off,8,full,4096,128,0.000612785,0.00124843,0,0,0
scna-fp16,exp,tree,on,8,full,4096,128,0.000612785,0.00124843,0,0,0
lut-exp,exp2,direct,off,0,full,4096,128,0.000629354,0.00139837,0,0,0
baseline,exp2,direct,off,0,full,4096,128,0.00133908,0.0061833,0,0,0
scna-fp16,exp2,direct,off,32,full,4096,128,0.000623336,0.00136022,0,0,0
scna-fp16,exp2,tree,off,32,full,4096,128,0.000625518,0.00137246,0,0,0
scna-fp16,exp,tree,off,8,full,4096,128,0.000613233,0.00123021,0,0,0
scna-fp16,exp,tree,on,8,full,4096,128,0.000613233,0.00123021,0,0,0
lut-exp,exp2,direct,off,0,full,4096,128,0.00063154,0.00139837,0,0,0
baseline,exp2,direct,off,0,full,4096,128,0.00127873,0.0061833,0,0,0
scna-fp16,exp2,direct,off,32,full,4096,128,0.000623837,0.00140593,0,0,0
scna-fp16,exp2,tree,off,32,full,4096,128,0.000624253,0.00138685,0,0,0
scna-fp16,exp,tree,off,8,full,4096,128,0.000613247,0.00124843,0,0,0
scna-fp16,exp,tree,on,8,full,4096,128,0.000613247,0.00124843,0,0,0
lut-exp,exp2,direct,off,0,full,4096,128,0.00063023,0.00139837,0,0,0
