mode,function,kernel,pipeline,scna_width,qo_len,iteration,profiled_total,safe_sm,scna_exp,q_load,k_load,v_load,qk_dot,core_acc,o_scale,o_store,kv_dma_issue,kv_dma_wait,kv_transform,host_elapsed
baseline,none,none,off,0,4,0,756.0,160.0,0.0,2.0,296.0,288.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1042.0
baseline,none,none,off,0,4,1,756.0,160.0,0.0,2.0,301.0,283.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1023.0
baseline,none,none,off,0,4,2,754.0,160.0,0.0,2.0,294.0,287.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,1000.0
baseline,none,none,off,0,4,3,757.0,160.0,0.0,2.0,300.0,284.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,998.0
baseline,none,none,off,0,4,4,760.0,161.0,0.0,2.0,300.0,286.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,1004.0
baseline,none,none,off,0,4,5,749.0,160.0,0.0,2.0,295.0,281.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,1022.0
baseline,none,none,off,0,4,6,753.0,159.0,0.0,2.0,298.0,283.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,1003.0
baseline,none,none,off,0,4,7,755.0,160.0,0.0,2.0,299.0,283.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,1011.0
baseline,none,none,off,0,4,8,749.0,161.0,0.0,2.0,300.0,275.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,999.0
baseline,none,none,off,0,4,9,787.0,166.0,0.0,2.0,306.0,304.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,1130.0
baseline,none,none,off,0,4,10,817.0,167.0,0.0,2.0,340.0,297.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,1066.0
baseline,none,none,off,0,4,11,815.0,167.0,0.0,2.0,327.0,310.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,1166.0
baseline,none,none,off,0,4,12,833.0,172.0,0.0,2.0,337.0,313.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,1148.0
