mode,function,kernel,pipeline,scna_width,qo_len,samples,total_median_us,total_p50_us,total_p95_us,total_ci_low_us,total_ci_high_us,host_median_us,host_p95_us,host_ci_low_us,host_ci_high_us,safe_sm_median_us,scna_exp_median_us,q_load_median_us,k_load_median_us,v_load_median_us,qk_dot_median_us,core_acc_median_us,o_scale_median_us,o_store_median_us,kv_dma_issue_median_us,kv_dma_wait_median_us,kv_transform_median_us,kv_load_median_us,host_control_median_us,scna_share_pct,baseline_speedup,pipeline_speedup,pipeline_speedup_ci_low,pipeline_speedup_ci_high,host_pipeline_speedup,host_pipeline_speedup_ci_low,host_pipeline_speedup_ci_high
baseline,none,none,off,0,4,40,816.0,816.0,882.15,769.0,831.0249999999999,1136.5,1228.15,1047.0,1161.0,179.5,0.0,2.0,328.5,324.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,652.5,320.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,none,none,off,0,8,40,1054.5,1054.5,1102.05,941.5,1070.0,1331.0,1436.1,1278.5,1362.5,333.0,0.0,4.0,365.5,329.5,8.0,5.0,3.0,6.0,0.0,0.0,0.0,695.0,276.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,none,none,off,0,16,40,1386.5,1386.5,1423.3,1350.5,1404.0,1697.5,1780.6,1648.0,1717.0,643.5,0.0,8.0,354.5,324.0,12.0,10.0,3.0,10.0,0.0,0.0,0.0,678.5,311.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
baseline,none,none,off,0,32,40,2059.0,2059.0,2073.15,2050.5,2062.5,2380.5,2430.65,2369.0,2391.0,1267.5,0.0,15.0,379.0,327.0,24.0,21.0,4.0,22.0,0.0,0.0,0.0,706.0,321.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lut-exp,none,none,off,0,4,40,805.5,805.5,871.05,781.0,816.5,1082.5,1188.9499999999996,1044.5,1111.0,110.0,0.0,2.0,362.5,315.5,4.5,2.0,1.0,2.0,0.0,0.0,0.0,678.0,277.0,0.0,1.0130353817504656,1.0,1.0,1.0,1.0,1.0,1.0
lut-exp,none,none,off,0,8,40,778.0,778.0,899.1,696.4875,886.0,1081.0,1216.75,1014.5,1187.5,169.0,0.0,4.0,310.5,268.0,8.0,5.0,2.0,6.0,0.0,0.0,0.0,578.5,303.0,0.0,1.3553984575835476,1.0,1.0,1.0,1.0,1.0,1.0
lut-exp,none,none,off,0,16,40,1039.5,1039.5,1087.1,1024.0,1059.0,1355.0,1438.75,1300.4625,1389.0,330.0,0.0,8.0,349.5,320.0,13.0,10.0,2.0,11.0,0.0,0.0,0.0,669.5,315.5,0.0,1.3338143338143338,1.0,1.0,1.0,1.0,1.0,1.0
lut-exp,none,none,off,0,32,40,1436.0,1436.0,1490.05,1424.5,1462.0,1768.5,1869.05,1744.5,1841.0,666.0,0.0,15.0,376.5,321.0,24.0,21.0,3.0,21.0,0.0,0.0,0.0,697.5,332.5,0.0,1.4338440111420614,1.0,1.0,1.0,1.0,1.0,1.0
scna-fp16,exp,tree,off,8,4,40,932.5,932.5,1038.1,925.5,952.5,1278.0,1361.4499999999998,1238.5,1293.5,225.0,162.0,2.0,383.5,334.5,4.0,3.0,2.0,2.0,0.0,0.0,0.0,718.0,345.5,17.37265415549598,0.8750670241286863,1.0,1.0,1.0,1.0,1.0,1.0
scna-fp16,exp,tree,off,8,8,40,1096.5,1096.5,1244.1,1088.0,1118.0,1374.5,1612.3,1354.4875,1443.5,389.0,288.0,4.0,354.5,328.0,8.0,6.0,2.0,6.0,0.0,0.0,0.0,682.5,278.0,26.265389876880985,0.9616963064295485,1.0,1.0,1.0,1.0,1.0,1.0
