mode,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
baseline,16,4096,12,2,128,warmup,0,1428,0
baseline,16,4096,12,2,128,warmup,1,1538,0
baseline,16,4096,12,2,128,warmup,2,1533,0
baseline,16,4096,12,2,128,warmup,3,1544,0
baseline,16,4096,12,2,128,warmup,4,1547,0
baseline,16,4096,12,2,128,measure,0,1551,0
baseline,16,4096,12,2,128,measure,1,1543,0
baseline,16,4096,12,2,128,measure,2,1461,0
baseline,16,4096,12,2,128,measure,3,1617,0
baseline,16,4096,12,2,128,measure,4,1655,0
baseline,16,4096,12,2,128,measure,5,1665,0
baseline,16,4096,12,2,128,measure,6,1643,0
baseline,16,4096,12,2,128,measure,7,1648,0
baseline,16,4096,12,2,128,measure,8,1600,0
baseline,16,4096,12,2,128,measure,9,1633,0
baseline,16,4096,12,2,128,measure,10,1632,0
baseline,16,4096,12,2,128,measure,11,1623,0
baseline,16,4096,12,2,128,measure,12,1718,0
baseline,16,4096,12,2,128,measure,13,1772,0
baseline,16,4096,12,2,128,measure,14,1741,0
baseline,16,4096,12,2,128,measure,15,1830,0
baseline,16,4096,12,2,128,measure,16,1820,0
baseline,16,4096,12,2,128,measure,17,1806,0
baseline,16,4096,12,2,128,measure,18,1711,0
baseline,16,4096,12,2,128,measure,19,1995,0
