mode,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
lut-exp,32,4096,12,2,128,warmup,0,1758,0
lut-exp,32,4096,12,2,128,warmup,1,1892,0
lut-exp,32,4096,12,2,128,warmup,2,1881,0
lut-exp,32,4096,12,2,128,warmup,3,1878,0
lut-exp,32,4096,12,2,128,warmup,4,1886,0
lut-exp,32,4096,12,2,128,measure,0,1991,0
lut-exp,32,4096,12,2,128,measure,1,1985,0
lut-exp,32,4096,12,2,128,measure,2,1999,0
lut-exp,32,4096,12,2,128,measure,3,1985,0
lut-exp,32,4096,12,2,128,measure,4,1993,0
lut-exp,32,4096,12,2,128,measure,5,1987,0
lut-exp,32,4096,12,2,128,measure,6,1977,0
lut-exp,32,4096,12,2,128,measure,7,1912,0
lut-exp,32,4096,12,2,128,measure,8,1930,0
lut-exp,32,4096,12,2,128,measure,9,2064,0
lut-exp,32,4096,12,2,128,measure,10,2008,0
lut-exp,32,4096,12,2,128,measure,11,1979,0
lut-exp,32,4096,12,2,128,measure,12,1896,0
lut-exp,32,4096,12,2,128,measure,13,2075,0
lut-exp,32,4096,12,2,128,measure,14,2015,0
lut-exp,32,4096,12,2,128,measure,15,2155,0
lut-exp,32,4096,12,2,128,measure,16,2103,0
lut-exp,32,4096,12,2,128,measure,17,2049,0
lut-exp,32,4096,12,2,128,measure,18,2075,0
lut-exp,32,4096,12,2,128,measure,19,2069,0
