mode,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,4,4096,12,2,128,warmup,0,4933,0
scna-fp16,4,4096,12,2,128,warmup,1,4753,0
scna-fp16,4,4096,12,2,128,warmup,2,4857,0
scna-fp16,4,4096,12,2,128,warmup,3,4866,0
scna-fp16,4,4096,12,2,128,warmup,4,4958,0
scna-fp16,4,4096,12,2,128,measure,0,4957,0
scna-fp16,4,4096,12,2,128,measure,1,4914,0
scna-fp16,4,4096,12,2,128,measure,2,4928,0
scna-fp16,4,4096,12,2,128,measure,3,4940,0
scna-fp16,4,4096,12,2,128,measure,4,4874,0
scna-fp16,4,4096,12,2,128,measure,5,4977,0
scna-fp16,4,4096,12,2,128,measure,6,4939,0
scna-fp16,4,4096,12,2,128,measure,7,4929,0
scna-fp16,4,4096,12,2,128,measure,8,4904,0
scna-fp16,4,4096,12,2,128,measure,9,4894,0
scna-fp16,4,4096,12,2,128,measure,10,4972,0
scna-fp16,4,4096,12,2,128,measure,11,4846,0
scna-fp16,4,4096,12,2,128,measure,12,4832,0
scna-fp16,4,4096,12,2,128,measure,13,4896,0
scna-fp16,4,4096,12,2,128,measure,14,4946,0
scna-fp16,4,4096,12,2,128,measure,15,4823,0
scna-fp16,4,4096,12,2,128,measure,16,4889,0
scna-fp16,4,4096,12,2,128,measure,17,4870,0
scna-fp16,4,4096,12,2,128,measure,18,4865,0
scna-fp16,4,4096,12,2,128,measure,19,4881,0
