mode,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,32,4096,12,2,128,warmup,0,19313,0
scna-int8,32,4096,12,2,128,warmup,1,19444,0
scna-int8,32,4096,12,2,128,warmup,2,19511,0
scna-int8,32,4096,12,2,128,warmup,3,19556,0
scna-int8,32,4096,12,2,128,warmup,4,19511,0
scna-int8,32,4096,12,2,128,measure,0,19684,0
scna-int8,32,4096,12,2,128,measure,1,19725,0
scna-int8,32,4096,12,2,128,measure,2,19536,0
scna-int8,32,4096,12,2,128,measure,3,19493,0
scna-int8,32,4096,12,2,128,measure,4,19550,0
scna-int8,32,4096,12,2,128,measure,5,19578,0
scna-int8,32,4096,12,2,128,measure,6,19618,0
scna-int8,32,4096,12,2,128,measure,7,19595,0
scna-int8,32,4096,12,2,128,measure,8,19489,0
scna-int8,32,4096,12,2,128,measure,9,19544,0
scna-int8,32,4096,12,2,128,measure,10,19575,0
scna-int8,32,4096,12,2,128,measure,11,19534,0
scna-int8,32,4096,12,2,128,measure,12,19465,0
scna-int8,32,4096,12,2,128,measure,13,19467,0
scna-int8,32,4096,12,2,128,measure,14,19546,0
scna-int8,32,4096,12,2,128,measure,15,19400,0
scna-int8,32,4096,12,2,128,measure,16,19487,0
scna-int8,32,4096,12,2,128,measure,17,19571,0
scna-int8,32,4096,12,2,128,measure,18,19441,0
scna-int8,32,4096,12,2,128,measure,19,19430,0
