mode,qo_len,scna_width,nonlinear_mode,samples,total_median_us,total_p50_us,total_p95_us,host_median_us,host_p50_us,host_p95_us,micro_elapsed_us,micro_rmse,micro_max_abs_error,safe_sm_median_us,scna_exp_median_us,q_load_median_us,k_load_median_us,v_load_median_us,qk_dot_median_us,core_acc_median_us,baseline_speedup
scna-fp16,16,16,1,20,16837.5,16837.5,16889.05,9234.0,9234.0,9348.95,25.0,0.000370481,0.00295497,16024.5,15832.0,9.0,425.0,357.0,12.0,14.0,0.07976243504083148
scna-fp16,16,32,1,20,32611.0,32611.0,32696.65,9234.0,9234.0,9348.95,50.0,8.33108e-05,0.000488281,32010.0,31832.5,8.5,279.5,269.0,12.0,20.0,0.04118242310876698
scna-fp16,16,8,1,20,8946.0,8946.0,9010.7,9234.0,9234.0,9348.95,12.0,0.0023199,0.0185189,8142.5,7946.5,8.0,398.0,344.5,12.0,12.0,0.15012295998211492
scna-fp16,32,16,1,20,32703.0,32703.0,32773.7,17358.0,17358.0,17524.25,25.0,0.000370481,0.00295497,32000.0,31617.5,16.0,300.0,303.0,24.0,30.5,0.06739442864569
scna-fp16,32,32,1,20,64771.5,64771.5,65016.5,17358.0,17358.0,17524.25,50.0,8.33108e-05,0.000488281,64008.0,63640.5,15.0,344.5,321.5,24.0,38.0,0.03402731139467204
scna-fp16,32,8,1,20,17025.5,17025.5,17084.15,17358.0,17358.0,17524.25,12.0,0.0023199,0.0185189,16258.5,15869.5,15.0,359.5,321.0,24.0,24.0,0.129452879504273
scna-fp16,4,16,1,20,4595.0,4595.0,4622.1,3145.0,3145.0,3216.25,25.0,0.000370481,0.00295497,4038.0,3974.0,2.0,175.0,365.0,5.0,5.0,0.16942328618063113
scna-fp16,4,32,1,20,8722.0,8722.0,8776.1,3145.0,3145.0,3216.25,50.0,8.33108e-05,0.000488281,8011.0,7961.5,2.0,371.5,328.5,4.0,7.0,0.08925705113506077
scna-fp16,4,8,1,20,2847.0,2847.0,2869.35,3145.0,3145.0,3216.25,12.0,0.0023199,0.0185189,2044.0,1984.0,2.0,424.5,368.0,4.0,3.0,0.27344573234984193
scna-fp16,8,16,1,20,8719.0,8719.0,8773.0,5132.5,5132.5,5226.35,25.0,0.000370481,0.00295497,8018.0,7907.5,4.0,335.5,352.0,9.0,9.0,0.11262759490767289
scna-fp16,8,32,1,20,16565.5,16565.5,16585.15,5132.5,5132.5,5226.35,50.0,8.33108e-05,0.000488281,16014.5,15929.0,4.0,271.0,252.0,8.0,10.0,0.059279828559355284
scna-fp16,8,8,1,20,4852.5,4852.5,4889.35,5132.5,5132.5,5226.35,12.0,0.0023199,0.0185189,4066.5,3962.0,4.0,387.0,368.5,8.0,7.0,0.20236991241628027
scna-int8,16,16,2,20,18450.0,18450.0,18498.9,10321.0,10321.0,10426.0,28.0,0.0126392,0.0128937,17695.5,17505.0,8.0,379.5,328.0,12.0,15.0,0.07279132791327914
scna-int8,16,32,2,20,37030.0,37030.0,37140.75,10321.0,10321.0,10426.0,58.0,0.0185082,0.0187988,36311.0,36131.0,8.0,341.0,320.5,12.0,22.0,0.03626789089927086
scna-int8,16,8,2,20,10024.5,10024.5,10081.05,10321.0,10321.0,10426.0,14.0,0.0052965,0.0161996,9201.5,9002.0,8.0,418.0,363.0,12.0,12.0,0.13397176916554443
scna-int8,32,16,2,20,36168.5,36168.5,36252.65,19540.0,19540.0,19686.05,28.0,0.0126392,0.0128937,35355.5,34980.5,16.0,378.0,333.5,24.0,31.0,0.06093700319338651
scna-int8,32,32,2,20,73292.0,73292.0,73352.1,19540.0,19540.0,19686.05,58.0,0.0185082,0.0187988,72613.0,72255.0,15.0,298.0,284.5,24.0,41.0,0.03007149484254762
scna-int8,32,8,2,20,19186.5,19186.5,19303.7,19540.0,19540.0,19686.05,14.0,0.0052965,0.0161996,18383.0,18003.5,15.5,378.0,326.5,24.0,26.0,0.11487243634847419
scna-int8,4,16,2,20,5192.5,5192.5,5227.15,3144.0,3144.0,3326.6,28.0,0.0126392,0.0128937,4446.0,4394.5,2.0,405.5,338.0,5.0,5.0,0.14992778045257582
scna-int8,4,32,2,20,9695.0,9695.0,9860.0,3144.0,3144.0,3326.6,58.0,0.0185082,0.0187988,9097.5,9040.5,2.0,211.5,365.0,5.0,10.0,0.08029912325941206
scna-int8,4,8,2,20,2853.5,2853.5,2965.75,3144.0,3144.0,3326.6,14.0,0.0052965,0.0161996,2310.0,2250.5,2.0,160.0,364.5,5.0,4.0,0.2728228491326441
scna-int8,8,16,2,20,9542.0,9542.0,9621.2,5632.0,5632.0,5729.15,28.0,0.0126392,0.0128937,8844.5,8751.0,4.0,357.0,312.0,8.0,8.5,0.10291343533850346
scna-int8,8,32,2,20,18897.0,18897.0,18918.15,5632.0,5632.0,5729.15,58.0,0.0185082,0.0187988,18167.5,18067.5,4.0,371.5,327.0,8.0,11.0,0.0519659205164841
scna-int8,8,8,2,20,5350.0,5350.0,5371.0,5632.0,5632.0,5729.15,14.0,0.0052965,0.0161996,4591.0,4490.5,4.0,388.0,342.5,8.0,7.0,0.1835514018691589
