mode,qo_len,scna_width,nonlinear_mode,samples,total_median_us,total_p50_us,total_p95_us,host_median_us,host_p50_us,host_p95_us,micro_elapsed_us,micro_rmse,micro_max_abs_error,safe_sm_median_us,scna_exp_median_us,q_load_median_us,k_load_median_us,v_load_median_us,qk_dot_median_us,core_acc_median_us
baseline,16,0,0,20,1343.0,1343.0,1470.05,1651.5,1651.5,1838.2500000000002,0.0,0.0,0.0,628.0,0.0,8.0,348.0,331.0,12.0,10.0
baseline,32,0,0,20,2204.0,2204.0,2217.15,2530.0,2530.0,2584.25,0.0,0.0,0.0,1288.0,0.0,15.0,457.0,371.0,24.0,22.0
baseline,4,0,0,20,778.5,778.5,913.0,1076.5,1076.5,1209.35,0.0,0.0,0.0,200.0,0.0,2.0,218.0,365.0,5.0,1.0
baseline,8,0,0,20,982.0,982.0,1117.1,1318.5,1318.5,1476.25,0.0,0.0,0.0,309.5,0.0,4.0,325.5,324.0,8.0,6.0
lut-exp,16,0,0,20,1233.0,1233.0,1275.1,1529.0,1529.0,1591.0,0.0,0.0,0.0,435.5,0.0,8.0,407.5,346.5,12.0,10.0
lut-exp,32,0,0,20,1649.0,1649.0,1750.0,1996.0,1996.0,2105.6,0.0,0.0,0.0,853.5,0.0,15.0,394.5,358.5,25.0,22.0
lut-exp,4,0,0,20,952.0,952.0,964.1,1197.0,1197.0,1314.6,0.0,0.0,0.0,148.5,0.0,2.0,430.0,359.0,5.0,2.0
lut-exp,8,0,0,20,937.0,937.0,1008.05,1236.0,1236.0,1360.1,0.0,0.0,0.0,249.0,0.0,4.0,363.0,356.0,8.0,6.0
scna-fp16,16,16,1,20,16837.5,16837.5,16889.05,9234.0,9234.0,9348.95,25.0,0.000370481,0.00295497,16024.5,15832.0,9.0,425.0,357.0,12.0,14.0
scna-fp16,16,32,1,20,32611.0,32611.0,32696.65,9234.0,9234.0,9348.95,50.0,8.33108e-05,0.000488281,32010.0,31832.5,8.5,279.5,269.0,12.0,20.0
scna-fp16,16,8,1,20,8946.0,8946.0,9010.7,9234.0,9234.0,9348.95,12.0,0.0023199,0.0185189,8142.5,7946.5,8.0,398.0,344.5,12.0,12.0
scna-fp16,32,16,1,20,32703.0,32703.0,32773.7,17358.0,17358.0,17524.25,25.0,0.000370481,0.00295497,32000.0,31617.5,16.0,300.0,303.0,24.0,30.5
scna-fp16,32,32,1,20,64771.5,64771.5,65016.5,17358.0,17358.0,17524.25,50.0,8.33108e-05,0.000488281,64008.0,63640.5,15.0,344.5,321.5,24.0,38.0
scna-fp16,32,8,1,20,17025.5,17025.5,17084.15,17358.0,17358.0,17524.25,12.0,0.0023199,0.0185189,16258.5,15869.5,15.0,359.5,321.0,24.0,24.0
scna-fp16,4,16,1,20,4595.0,4595.0,4622.1,3145.0,3145.0,3216.25,25.0,0.000370481,0.00295497,4038.0,3974.0,2.0,175.0,365.0,5.0,5.0
scna-fp16,4,32,1,20,8722.0,8722.0,8776.1,3145.0,3145.0,3216.25,50.0,8.33108e-05,0.000488281,8011.0,7961.5,2.0,371.5,328.5,4.0,7.0
scna-fp16,4,8,1,20,2847.0,2847.0,2869.35,3145.0,3145.0,3216.25,12.0,0.0023199,0.0185189,2044.0,1984.0,2.0,424.5,368.0,4.0,3.0
scna-fp16,8,16,1,20,8719.0,8719.0,8773.0,5132.5,5132.5,5226.35,25.0,0.000370481,0.00295497,8018.0,7907.5,4.0,335.5,352.0,9.0,9.0
scna-fp16,8,32,1,20,16565.5,16565.5,16585.15,5132.5,5132.5,5226.35,50.0,8.33108e-05,0.000488281,16014.5,15929.0,4.0,271.0,252.0,8.0,10.0
scna-fp16,8,8,1,20,4852.5,4852.5,4889.35,5132.5,5132.5,5226.35,12.0,0.0023199,0.0185189,4066.5,3962.0,4.0,387.0,368.5,8.0,7.0
scna-int8,16,16,2,20,18450.0,18450.0,18498.9,10321.0,10321.0,10426.0,28.0,0.0126392,0.0128937,17695.5,17505.0,8.0,379.5,328.0,12.0,15.0
