mode,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
baseline,16,4096,12,2,128,warmup,0,1533,0
baseline,16,4096,12,2,128,warmup,1,1533,0
baseline,16,4096,12,2,128,warmup,2,1468,0
baseline,16,4096,12,2,128,warmup,3,1467,0
baseline,16,4096,12,2,128,warmup,4,1472,0
baseline,16,4096,12,2,128,measure,0,1485,0
baseline,16,4096,12,2,128,measure,1,1590,0
baseline,16,4096,12,2,128,measure,2,1562,0
baseline,16,4096,12,2,128,measure,3,1592,0
baseline,16,4096,12,2,128,measure,4,1480,0
baseline,16,4096,12,2,128,measure,5,1495,0
baseline,16,4096,12,2,128,measure,6,1625,0
baseline,16,4096,12,2,128,measure,7,1516,0
baseline,16,4096,12,2,128,measure,8,1522,0
baseline,16,4096,12,2,128,measure,9,1551,0
baseline,16,4096,12,2,128,measure,10,1533,0
baseline,16,4096,12,2,128,measure,11,1578,0
baseline,16,4096,12,2,128,measure,12,1543,0
baseline,16,4096,12,2,128,measure,13,1551,0
baseline,16,4096,12,2,128,measure,14,1478,0
baseline,16,4096,12,2,128,measure,15,1521,0
baseline,16,4096,12,2,128,measure,16,1489,0
baseline,16,4096,12,2,128,measure,17,1544,0
baseline,16,4096,12,2,128,measure,18,1556,0
baseline,16,4096,12,2,128,measure,19,1554,0
