mode,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
lut-exp,16,4096,12,2,128,warmup,0,1271,0
lut-exp,16,4096,12,2,128,warmup,1,1386,0
lut-exp,16,4096,12,2,128,warmup,2,1290,0
lut-exp,16,4096,12,2,128,warmup,3,1392,0
lut-exp,16,4096,12,2,128,warmup,4,1392,0
lut-exp,16,4096,12,2,128,measure,0,1402,0
lut-exp,16,4096,12,2,128,measure,1,1392,0
lut-exp,16,4096,12,2,128,measure,2,1382,0
lut-exp,16,4096,12,2,128,measure,3,1281,0
lut-exp,16,4096,12,2,128,measure,4,1390,0
lut-exp,16,4096,12,2,128,measure,5,1392,0
lut-exp,16,4096,12,2,128,measure,6,1315,0
lut-exp,16,4096,12,2,128,measure,7,1255,0
lut-exp,16,4096,12,2,128,measure,8,1334,0
lut-exp,16,4096,12,2,128,measure,9,1230,0
lut-exp,16,4096,12,2,128,measure,10,1276,0
lut-exp,16,4096,12,2,128,measure,11,1218,0
lut-exp,16,4096,12,2,128,measure,12,1200,0
lut-exp,16,4096,12,2,128,measure,13,1357,0
lut-exp,16,4096,12,2,128,measure,14,1280,0
lut-exp,16,4096,12,2,128,measure,15,1223,0
lut-exp,16,4096,12,2,128,measure,16,1235,0
lut-exp,16,4096,12,2,128,measure,17,1248,0
lut-exp,16,4096,12,2,128,measure,18,1450,0
lut-exp,16,4096,12,2,128,measure,19,1396,0
