mode,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,8,4096,12,2,128,warmup,0,1556,0
scna-fp16,8,4096,12,2,128,warmup,1,1423,0
scna-fp16,8,4096,12,2,128,warmup,2,1355,0
scna-fp16,8,4096,12,2,128,warmup,3,1437,0
scna-fp16,8,4096,12,2,128,warmup,4,1449,0
scna-fp16,8,4096,12,2,128,measure,0,1431,0
scna-fp16,8,4096,12,2,128,measure,1,1453,0
scna-fp16,8,4096,12,2,128,measure,2,1439,0
scna-fp16,8,4096,12,2,128,measure,3,1436,0
scna-fp16,8,4096,12,2,128,measure,4,1500,0
scna-fp16,8,4096,12,2,128,measure,5,1491,0
scna-fp16,8,4096,12,2,128,measure,6,1486,0
scna-fp16,8,4096,12,2,128,measure,7,1461,0
scna-fp16,8,4096,12,2,128,measure,8,1568,0
scna-fp16,8,4096,12,2,128,measure,9,1475,0
scna-fp16,8,4096,12,2,128,measure,10,1556,0
scna-fp16,8,4096,12,2,128,measure,11,1556,0
scna-fp16,8,4096,12,2,128,measure,12,1584,0
scna-fp16,8,4096,12,2,128,measure,13,1456,0
scna-fp16,8,4096,12,2,128,measure,14,1369,0
scna-fp16,8,4096,12,2,128,measure,15,1354,0
scna-fp16,8,4096,12,2,128,measure,16,1446,0
scna-fp16,8,4096,12,2,128,measure,17,1365,0
scna-fp16,8,4096,12,2,128,measure,18,1356,0
scna-fp16,8,4096,12,2,128,measure,19,1463,0
