mode,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,4,4096,12,2,128,warmup,0,1040,0
scna-int8,4,4096,12,2,128,warmup,1,1100,0
scna-int8,4,4096,12,2,128,warmup,2,1123,0
scna-int8,4,4096,12,2,128,warmup,3,1118,0
scna-int8,4,4096,12,2,128,warmup,4,1096,0
scna-int8,4,4096,12,2,128,measure,0,1096,0
scna-int8,4,4096,12,2,128,measure,1,1103,0
scna-int8,4,4096,12,2,128,measure,2,1099,0
scna-int8,4,4096,12,2,128,measure,3,1094,0
scna-int8,4,4096,12,2,128,measure,4,1130,0
scna-int8,4,4096,12,2,128,measure,5,1095,0
scna-int8,4,4096,12,2,128,measure,6,1183,0
scna-int8,4,4096,12,2,128,measure,7,1162,0
scna-int8,4,4096,12,2,128,measure,8,1234,0
scna-int8,4,4096,12,2,128,measure,9,1204,0
scna-int8,4,4096,12,2,128,measure,10,1151,0
scna-int8,4,4096,12,2,128,measure,11,1176,0
scna-int8,4,4096,12,2,128,measure,12,1170,0
scna-int8,4,4096,12,2,128,measure,13,1234,0
scna-int8,4,4096,12,2,128,measure,14,1170,0
scna-int8,4,4096,12,2,128,measure,15,1171,0
scna-int8,4,4096,12,2,128,measure,16,1255,0
scna-int8,4,4096,12,2,128,measure,17,1171,0
scna-int8,4,4096,12,2,128,measure,18,1182,0
scna-int8,4,4096,12,2,128,measure,19,1201,0
