mode,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
baseline,0,4,4096,12,2,128,warmup,0,974,0
baseline,0,4,4096,12,2,128,warmup,1,1082,0
baseline,0,4,4096,12,2,128,warmup,2,1196,0
baseline,0,4,4096,12,2,128,warmup,3,1191,0
baseline,0,4,4096,12,2,128,warmup,4,1104,0
baseline,0,4,4096,12,2,128,measure,0,1085,0
baseline,0,4,4096,12,2,128,measure,1,1080,0
baseline,0,4,4096,12,2,128,measure,2,1192,0
baseline,0,4,4096,12,2,128,measure,3,1202,0
baseline,0,4,4096,12,2,128,measure,4,1101,0
baseline,0,4,4096,12,2,128,measure,5,974,0
baseline,0,4,4096,12,2,128,measure,6,994,0
baseline,0,4,4096,12,2,128,measure,7,1083,0
baseline,0,4,4096,12,2,128,measure,8,1006,0
baseline,0,4,4096,12,2,128,measure,9,1054,0
baseline,0,4,4096,12,2,128,measure,10,994,0
baseline,0,4,4096,12,2,128,measure,11,1119,0
baseline,0,4,4096,12,2,128,measure,12,974,0
baseline,0,4,4096,12,2,128,measure,13,1074,0
baseline,0,4,4096,12,2,128,measure,14,1047,0
baseline,0,4,4096,12,2,128,measure,15,1033,0
baseline,0,4,4096,12,2,128,measure,16,959,0
baseline,0,4,4096,12,2,128,measure,17,982,0
baseline,0,4,4096,12,2,128,measure,18,968,0
baseline,0,4,4096,12,2,128,measure,19,995,0
