mode,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
lut-exp,0,4,4096,12,2,128,warmup,0,784,0
lut-exp,0,4,4096,12,2,128,warmup,1,888,0
lut-exp,0,4,4096,12,2,128,warmup,2,882,0
lut-exp,0,4,4096,12,2,128,warmup,3,929,0
lut-exp,0,4,4096,12,2,128,warmup,4,894,0
lut-exp,0,4,4096,12,2,128,measure,0,879,0
lut-exp,0,4,4096,12,2,128,measure,1,894,0
lut-exp,0,4,4096,12,2,128,measure,2,862,0
lut-exp,0,4,4096,12,2,128,measure,3,896,0
lut-exp,0,4,4096,12,2,128,measure,4,895,0
lut-exp,0,4,4096,12,2,128,measure,5,897,0
lut-exp,0,4,4096,12,2,128,measure,6,909,0
lut-exp,0,4,4096,12,2,128,measure,7,880,0
lut-exp,0,4,4096,12,2,128,measure,8,889,0
lut-exp,0,4,4096,12,2,128,measure,9,917,0
lut-exp,0,4,4096,12,2,128,measure,10,1053,0
lut-exp,0,4,4096,12,2,128,measure,11,973,0
lut-exp,0,4,4096,12,2,128,measure,12,1027,0
lut-exp,0,4,4096,12,2,128,measure,13,1039,0
lut-exp,0,4,4096,12,2,128,measure,14,1243,0
lut-exp,0,4,4096,12,2,128,measure,15,942,0
lut-exp,0,4,4096,12,2,128,measure,16,933,0
lut-exp,0,4,4096,12,2,128,measure,17,1013,0
lut-exp,0,4,4096,12,2,128,measure,18,1050,0
lut-exp,0,4,4096,12,2,128,measure,19,1022,0
