mode,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,8,4,4096,12,2,128,warmup,0,994,0
scna-fp16,8,4,4096,12,2,128,warmup,1,1006,0
scna-fp16,8,4,4096,12,2,128,warmup,2,1113,0
scna-fp16,8,4,4096,12,2,128,warmup,3,1112,0
scna-fp16,8,4,4096,12,2,128,warmup,4,1118,0
scna-fp16,8,4,4096,12,2,128,measure,0,1031,0
scna-fp16,8,4,4096,12,2,128,measure,1,1102,0
scna-fp16,8,4,4096,12,2,128,measure,2,1088,0
scna-fp16,8,4,4096,12,2,128,measure,3,1073,0
scna-fp16,8,4,4096,12,2,128,measure,4,1098,0
scna-fp16,8,4,4096,12,2,128,measure,5,1106,0
scna-fp16,8,4,4096,12,2,128,measure,6,1140,0
scna-fp16,8,4,4096,12,2,128,measure,7,1118,0
scna-fp16,8,4,4096,12,2,128,measure,8,1236,0
scna-fp16,8,4,4096,12,2,128,measure,9,1148,0
scna-fp16,8,4,4096,12,2,128,measure,10,1135,0
scna-fp16,8,4,4096,12,2,128,measure,11,1129,0
scna-fp16,8,4,4096,12,2,128,measure,12,1130,0
scna-fp16,8,4,4096,12,2,128,measure,13,1157,0
scna-fp16,8,4,4096,12,2,128,measure,14,1141,0
scna-fp16,8,4,4096,12,2,128,measure,15,1133,0
scna-fp16,8,4,4096,12,2,128,measure,16,1140,0
scna-fp16,8,4,4096,12,2,128,measure,17,1128,0
scna-fp16,8,4,4096,12,2,128,measure,18,1242,0
scna-fp16,8,4,4096,12,2,128,measure,19,1288,0
