mode,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,8,8,4096,12,2,128,warmup,0,1237,0
scna-int8,8,8,4096,12,2,128,warmup,1,1319,0
scna-int8,8,8,4096,12,2,128,warmup,2,1241,0
scna-int8,8,8,4096,12,2,128,warmup,3,1321,0
scna-int8,8,8,4096,12,2,128,warmup,4,1320,0
scna-int8,8,8,4096,12,2,128,measure,0,1226,0
scna-int8,8,8,4096,12,2,128,measure,1,1232,0
scna-int8,8,8,4096,12,2,128,measure,2,1243,0
scna-int8,8,8,4096,12,2,128,measure,3,1327,0
scna-int8,8,8,4096,12,2,128,measure,4,1224,0
scna-int8,8,8,4096,12,2,128,measure,5,1365,0
scna-int8,8,8,4096,12,2,128,measure,6,1315,0
scna-int8,8,8,4096,12,2,128,measure,7,1391,0
scna-int8,8,8,4096,12,2,128,measure,8,1421,0
scna-int8,8,8,4096,12,2,128,measure,9,1370,0
scna-int8,8,8,4096,12,2,128,measure,10,1386,0
scna-int8,8,8,4096,12,2,128,measure,11,1383,0
scna-int8,8,8,4096,12,2,128,measure,12,1413,0
scna-int8,8,8,4096,12,2,128,measure,13,1387,0
scna-int8,8,8,4096,12,2,128,measure,14,1414,0
scna-int8,8,8,4096,12,2,128,measure,15,1375,0
scna-int8,8,8,4096,12,2,128,measure,16,1455,0
scna-int8,8,8,4096,12,2,128,measure,17,1501,0
scna-int8,8,8,4096,12,2,128,measure,18,1536,0
scna-int8,8,8,4096,12,2,128,measure,19,1501,0
