mode,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
baseline,0,16,4096,12,2,128,warmup,0,1463,0
baseline,0,16,4096,12,2,128,warmup,1,1586,0
baseline,0,16,4096,12,2,128,warmup,2,1676,0
baseline,0,16,4096,12,2,128,warmup,3,1679,0
baseline,0,16,4096,12,2,128,warmup,4,1658,0
baseline,0,16,4096,12,2,128,measure,0,1603,0
baseline,0,16,4096,12,2,128,measure,1,1656,0
baseline,0,16,4096,12,2,128,measure,2,1575,0
baseline,0,16,4096,12,2,128,measure,3,1566,0
baseline,0,16,4096,12,2,128,measure,4,1859,0
baseline,0,16,4096,12,2,128,measure,5,1808,0
baseline,0,16,4096,12,2,128,measure,6,1737,0
baseline,0,16,4096,12,2,128,measure,7,1732,0
baseline,0,16,4096,12,2,128,measure,8,1793,0
baseline,0,16,4096,12,2,128,measure,9,1767,0
baseline,0,16,4096,12,2,128,measure,10,1839,0
baseline,0,16,4096,12,2,128,measure,11,1797,0
baseline,0,16,4096,12,2,128,measure,12,1723,0
baseline,0,16,4096,12,2,128,measure,13,1777,0
baseline,0,16,4096,12,2,128,measure,14,1784,0
baseline,0,16,4096,12,2,128,measure,15,1764,0
baseline,0,16,4096,12,2,128,measure,16,1774,0
baseline,0,16,4096,12,2,128,measure,17,1734,0
baseline,0,16,4096,12,2,128,measure,18,1692,0
baseline,0,16,4096,12,2,128,measure,19,1781,0
