mode,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
lut-exp,0,32,4096,12,2,128,warmup,0,1475,0
lut-exp,0,32,4096,12,2,128,warmup,1,1641,0
lut-exp,0,32,4096,12,2,128,warmup,2,1654,0
lut-exp,0,32,4096,12,2,128,warmup,3,1650,0
lut-exp,0,32,4096,12,2,128,warmup,4,1640,0
lut-exp,0,32,4096,12,2,128,measure,0,1565,0
lut-exp,0,32,4096,12,2,128,measure,1,1681,0
lut-exp,0,32,4096,12,2,128,measure,2,1796,0
lut-exp,0,32,4096,12,2,128,measure,3,1794,0
lut-exp,0,32,4096,12,2,128,measure,4,1672,0
lut-exp,0,32,4096,12,2,128,measure,5,1791,0
lut-exp,0,32,4096,12,2,128,measure,6,1789,0
lut-exp,0,32,4096,12,2,128,measure,7,1782,0
lut-exp,0,32,4096,12,2,128,measure,8,1689,0
lut-exp,0,32,4096,12,2,128,measure,9,1790,0
lut-exp,0,32,4096,12,2,128,measure,10,1911,0
lut-exp,0,32,4096,12,2,128,measure,11,1938,0
lut-exp,0,32,4096,12,2,128,measure,12,1861,0
lut-exp,0,32,4096,12,2,128,measure,13,1944,0
lut-exp,0,32,4096,12,2,128,measure,14,1970,0
lut-exp,0,32,4096,12,2,128,measure,15,1882,0
lut-exp,0,32,4096,12,2,128,measure,16,1928,0
lut-exp,0,32,4096,12,2,128,measure,17,1874,0
lut-exp,0,32,4096,12,2,128,measure,18,1962,0
lut-exp,0,32,4096,12,2,128,measure,19,1932,0
