mode,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,8,32,4096,12,2,128,warmup,0,2669,0
scna-fp16,8,32,4096,12,2,128,warmup,1,2520,0
scna-fp16,8,32,4096,12,2,128,warmup,2,2473,0
scna-fp16,8,32,4096,12,2,128,warmup,3,2509,0
scna-fp16,8,32,4096,12,2,128,warmup,4,2467,0
scna-fp16,8,32,4096,12,2,128,measure,0,2680,0
scna-fp16,8,32,4096,12,2,128,measure,1,2659,0
scna-fp16,8,32,4096,12,2,128,measure,2,2633,0
scna-fp16,8,32,4096,12,2,128,measure,3,2753,0
scna-fp16,8,32,4096,12,2,128,measure,4,2652,0
scna-fp16,8,32,4096,12,2,128,measure,5,2585,0
scna-fp16,8,32,4096,12,2,128,measure,6,2770,0
scna-fp16,8,32,4096,12,2,128,measure,7,2756,0
scna-fp16,8,32,4096,12,2,128,measure,8,2653,0
scna-fp16,8,32,4096,12,2,128,measure,9,2644,0
scna-fp16,8,32,4096,12,2,128,measure,10,2678,0
scna-fp16,8,32,4096,12,2,128,measure,11,2792,0
scna-fp16,8,32,4096,12,2,128,measure,12,2680,0
scna-fp16,8,32,4096,12,2,128,measure,13,2755,0
scna-fp16,8,32,4096,12,2,128,measure,14,2744,0
scna-fp16,8,32,4096,12,2,128,measure,15,2746,0
scna-fp16,8,32,4096,12,2,128,measure,16,2800,0
scna-fp16,8,32,4096,12,2,128,measure,17,2718,0
scna-fp16,8,32,4096,12,2,128,measure,18,2719,0
scna-fp16,8,32,4096,12,2,128,measure,19,2701,0
