mode,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,16,32,4096,12,2,128,warmup,0,3000,0
scna-int8,16,32,4096,12,2,128,warmup,1,3152,0
scna-int8,16,32,4096,12,2,128,warmup,2,3110,0
scna-int8,16,32,4096,12,2,128,warmup,3,3126,0
scna-int8,16,32,4096,12,2,128,warmup,4,3148,0
scna-int8,16,32,4096,12,2,128,measure,0,3111,0
scna-int8,16,32,4096,12,2,128,measure,1,3151,0
scna-int8,16,32,4096,12,2,128,measure,2,3168,0
scna-int8,16,32,4096,12,2,128,measure,3,3167,0
scna-int8,16,32,4096,12,2,128,measure,4,3156,0
scna-int8,16,32,4096,12,2,128,measure,5,3152,0
scna-int8,16,32,4096,12,2,128,measure,6,3169,0
scna-int8,16,32,4096,12,2,128,measure,7,3111,0
scna-int8,16,32,4096,12,2,128,measure,8,3112,0
scna-int8,16,32,4096,12,2,128,measure,9,3105,0
scna-int8,16,32,4096,12,2,128,measure,10,3100,0
scna-int8,16,32,4096,12,2,128,measure,11,3118,0
scna-int8,16,32,4096,12,2,128,measure,12,3121,0
scna-int8,16,32,4096,12,2,128,measure,13,3119,0
scna-int8,16,32,4096,12,2,128,measure,14,3145,0
scna-int8,16,32,4096,12,2,128,measure,15,3104,0
scna-int8,16,32,4096,12,2,128,measure,16,3124,0
scna-int8,16,32,4096,12,2,128,measure,17,3101,0
scna-int8,16,32,4096,12,2,128,measure,18,3122,0
scna-int8,16,32,4096,12,2,128,measure,19,3121,0
