mode,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
baseline,0,16,4096,12,2,128,warmup,0,1468,0
baseline,0,16,4096,12,2,128,warmup,1,1581,0
baseline,0,16,4096,12,2,128,warmup,2,1592,0
baseline,0,16,4096,12,2,128,warmup,3,1578,0
baseline,0,16,4096,12,2,128,warmup,4,1588,0
baseline,0,16,4096,12,2,128,measure,0,1577,0
baseline,0,16,4096,12,2,128,measure,1,1620,0
baseline,0,16,4096,12,2,128,measure,2,1569,0
baseline,0,16,4096,12,2,128,measure,3,1658,0
baseline,0,16,4096,12,2,128,measure,4,1673,0
baseline,0,16,4096,12,2,128,measure,5,1662,0
baseline,0,16,4096,12,2,128,measure,6,1660,0
baseline,0,16,4096,12,2,128,measure,7,1660,0
baseline,0,16,4096,12,2,128,measure,8,1659,0
baseline,0,16,4096,12,2,128,measure,9,1556,0
baseline,0,16,4096,12,2,128,measure,10,1714,0
baseline,0,16,4096,12,2,128,measure,11,1757,0
baseline,0,16,4096,12,2,128,measure,12,1752,0
baseline,0,16,4096,12,2,128,measure,13,1721,0
baseline,0,16,4096,12,2,128,measure,14,1835,0
baseline,0,16,4096,12,2,128,measure,15,1728,0
baseline,0,16,4096,12,2,128,measure,16,1765,0
baseline,0,16,4096,12,2,128,measure,17,1756,0
baseline,0,16,4096,12,2,128,measure,18,1741,0
baseline,0,16,4096,12,2,128,measure,19,1712,0
