mode,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
lut-exp,0,16,4096,12,2,128,warmup,0,1409,0
lut-exp,0,16,4096,12,2,128,warmup,1,1251,0
lut-exp,0,16,4096,12,2,128,warmup,2,1239,0
lut-exp,0,16,4096,12,2,128,warmup,3,1236,0
lut-exp,0,16,4096,12,2,128,warmup,4,1247,0
lut-exp,0,16,4096,12,2,128,measure,0,1242,0
lut-exp,0,16,4096,12,2,128,measure,1,1238,0
lut-exp,0,16,4096,12,2,128,measure,2,1260,0
lut-exp,0,16,4096,12,2,128,measure,3,1156,0
lut-exp,0,16,4096,12,2,128,measure,4,1253,0
lut-exp,0,16,4096,12,2,128,measure,5,1292,0
lut-exp,0,16,4096,12,2,128,measure,6,1378,0
lut-exp,0,16,4096,12,2,128,measure,7,1374,0
lut-exp,0,16,4096,12,2,128,measure,8,1361,0
lut-exp,0,16,4096,12,2,128,measure,9,1365,0
lut-exp,0,16,4096,12,2,128,measure,10,1360,0
lut-exp,0,16,4096,12,2,128,measure,11,1366,0
lut-exp,0,16,4096,12,2,128,measure,12,1367,0
lut-exp,0,16,4096,12,2,128,measure,13,1360,0
lut-exp,0,16,4096,12,2,128,measure,14,1383,0
lut-exp,0,16,4096,12,2,128,measure,15,1313,0
lut-exp,0,16,4096,12,2,128,measure,16,1341,0
lut-exp,0,16,4096,12,2,128,measure,17,1456,0
lut-exp,0,16,4096,12,2,128,measure,18,1413,0
lut-exp,0,16,4096,12,2,128,measure,19,1521,0
