mode,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,16,8,4096,12,2,128,warmup,0,1412,0
scna-fp16,16,8,4096,12,2,128,warmup,1,1328,0
scna-fp16,16,8,4096,12,2,128,warmup,2,1356,0
scna-fp16,16,8,4096,12,2,128,warmup,3,1337,0
scna-fp16,16,8,4096,12,2,128,warmup,4,1333,0
scna-fp16,16,8,4096,12,2,128,measure,0,1370,0
scna-fp16,16,8,4096,12,2,128,measure,1,1380,0
scna-fp16,16,8,4096,12,2,128,measure,2,1350,0
scna-fp16,16,8,4096,12,2,128,measure,3,1407,0
scna-fp16,16,8,4096,12,2,128,measure,4,1359,0
scna-fp16,16,8,4096,12,2,128,measure,5,1360,0
scna-fp16,16,8,4096,12,2,128,measure,6,1362,0
scna-fp16,16,8,4096,12,2,128,measure,7,1346,0
scna-fp16,16,8,4096,12,2,128,measure,8,1491,0
scna-fp16,16,8,4096,12,2,128,measure,9,1407,0
scna-fp16,16,8,4096,12,2,128,measure,10,1433,0
scna-fp16,16,8,4096,12,2,128,measure,11,1555,0
scna-fp16,16,8,4096,12,2,128,measure,12,1529,0
scna-fp16,16,8,4096,12,2,128,measure,13,1522,0
scna-fp16,16,8,4096,12,2,128,measure,14,1531,0
scna-fp16,16,8,4096,12,2,128,measure,15,1468,0
scna-fp16,16,8,4096,12,2,128,measure,16,1424,0
scna-fp16,16,8,4096,12,2,128,measure,17,1495,0
scna-fp16,16,8,4096,12,2,128,measure,18,1462,0
scna-fp16,16,8,4096,12,2,128,measure,19,1497,0
