mode,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,8,32,4096,12,2,128,warmup,0,2510,0
scna-int8,8,32,4096,12,2,128,warmup,1,2592,0
scna-int8,8,32,4096,12,2,128,warmup,2,2624,0
scna-int8,8,32,4096,12,2,128,warmup,3,2620,0
scna-int8,8,32,4096,12,2,128,warmup,4,2596,0
scna-int8,8,32,4096,12,2,128,measure,0,2606,0
scna-int8,8,32,4096,12,2,128,measure,1,2562,0
scna-int8,8,32,4096,12,2,128,measure,2,2671,0
scna-int8,8,32,4096,12,2,128,measure,3,2638,0
scna-int8,8,32,4096,12,2,128,measure,4,2653,0
scna-int8,8,32,4096,12,2,128,measure,5,2683,0
scna-int8,8,32,4096,12,2,128,measure,6,2645,0
scna-int8,8,32,4096,12,2,128,measure,7,2668,0
scna-int8,8,32,4096,12,2,128,measure,8,2729,0
scna-int8,8,32,4096,12,2,128,measure,9,2772,0
scna-int8,8,32,4096,12,2,128,measure,10,2735,0
scna-int8,8,32,4096,12,2,128,measure,11,2686,0
scna-int8,8,32,4096,12,2,128,measure,12,2668,0
scna-int8,8,32,4096,12,2,128,measure,13,2713,0
scna-int8,8,32,4096,12,2,128,measure,14,2668,0
scna-int8,8,32,4096,12,2,128,measure,15,2650,0
scna-int8,8,32,4096,12,2,128,measure,16,2678,0
scna-int8,8,32,4096,12,2,128,measure,17,2718,0
scna-int8,8,32,4096,12,2,128,measure,18,2686,0
scna-int8,8,32,4096,12,2,128,measure,19,2689,0
