mode,qo_len,scna_width,nonlinear_mode,samples,total_median_us,total_p50_us,total_p95_us,host_median_us,host_p50_us,host_p95_us,micro_elapsed_us,micro_pair_elapsed_us,micro_rmse,micro_max_abs_error,micro_dense_samples,micro_dense_rmse,micro_dense_max_abs_error,micro_pair_max_abs_diff,micro_monotonic_violations,micro_negative_count,micro_nan_count,safe_sm_median_us,scna_exp_median_us,q_load_median_us,k_load_median_us,v_load_median_us,qk_dot_median_us,core_acc_median_us
baseline,16,0,0,20,1335.5,1335.5,1475.1,1692.5,1692.5,1768.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,0.0,8.0,343.0,330.0,12.0,10.0
baseline,32,0,0,20,2055.0,2055.0,2071.2,2364.0,2364.0,2456.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1270.0,0.0,15.0,361.0,338.5,24.0,21.0
baseline,4,0,0,20,877.0,877.0,973.0,1210.5,1210.5,1256.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.5,0.0,2.0,372.5,320.0,4.0,1.0
baseline,8,0,0,20,1019.5,1019.5,1160.0,1361.5,1361.5,1495.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,0.0,4.0,351.0,328.5,8.0,5.0
lut-exp,16,0,0,20,1017.0,1017.0,1137.25,1360.5,1360.5,1459.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0,0.0,8.0,314.5,316.5,12.0,11.0
lut-exp,32,0,0,20,1443.0,1443.0,1492.35,1751.5,1751.5,1881.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683.0,0.0,15.0,313.5,331.0,25.0,22.0
lut-exp,4,0,0,20,700.5,700.5,752.1,966.0,966.0,1084.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,2.0,303.5,296.5,4.0,1.0
lut-exp,8,0,0,20,848.5,848.5,910.1,1133.0,1133.0,1201.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,4.0,327.0,325.0,8.0,7.0
scna-fp16,16,16,1,20,1761.5,1761.5,1882.15,2112.5,2112.5,2236.35,71.0,94.0,0.000378106,0.00301601,1024.0,0.0102877,0.0485036,0.0,0.0,0.0,0.0,1059.0,856.0,8.0,357.5,361.0,12.0,13.0
scna-fp16,16,32,1,20,2420.5,2420.5,2427.15,2749.5,2749.5,2815.5,117.0,183.0,8.59679e-05,0.000488281,1024.0,0.00245267,0.0138602,0.0,0.0,0.0,0.0,1609.0,1420.0,8.0,408.0,355.0,12.0,13.0
