mode,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
baseline,0,16,4096,12,2,128,warmup,0,1633,0
baseline,0,16,4096,12,2,128,warmup,1,1431,0
baseline,0,16,4096,12,2,128,warmup,2,1417,0
baseline,0,16,4096,12,2,128,warmup,3,1415,0
baseline,0,16,4096,12,2,128,warmup,4,1418,0
baseline,0,16,4096,12,2,128,measure,0,1419,0
baseline,0,16,4096,12,2,128,measure,1,1420,0
baseline,0,16,4096,12,2,128,measure,2,1434,0
baseline,0,16,4096,12,2,128,measure,3,1422,0
baseline,0,16,4096,12,2,128,measure,4,1422,0
baseline,0,16,4096,12,2,128,measure,5,1411,0
baseline,0,16,4096,12,2,128,measure,6,1499,0
baseline,0,16,4096,12,2,128,measure,7,1429,0
baseline,0,16,4096,12,2,128,measure,8,1472,0
baseline,0,16,4096,12,2,128,measure,9,1433,0
baseline,0,16,4096,12,2,128,measure,10,1468,0
baseline,0,16,4096,12,2,128,measure,11,1467,0
baseline,0,16,4096,12,2,128,measure,12,1445,0
baseline,0,16,4096,12,2,128,measure,13,1448,0
baseline,0,16,4096,12,2,128,measure,14,1426,0
baseline,0,16,4096,12,2,128,measure,15,1510,0
baseline,0,16,4096,12,2,128,measure,16,1460,0
baseline,0,16,4096,12,2,128,measure,17,1461,0
baseline,0,16,4096,12,2,128,measure,18,1458,0
baseline,0,16,4096,12,2,128,measure,19,1473,0
