mode,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
lut-exp,0,8,4096,12,2,128,warmup,0,1003,0
lut-exp,0,8,4096,12,2,128,warmup,1,901,0
lut-exp,0,8,4096,12,2,128,warmup,2,1000,0
lut-exp,0,8,4096,12,2,128,warmup,3,998,0
lut-exp,0,8,4096,12,2,128,warmup,4,941,0
lut-exp,0,8,4096,12,2,128,measure,0,936,0
lut-exp,0,8,4096,12,2,128,measure,1,913,0
lut-exp,0,8,4096,12,2,128,measure,2,940,0
lut-exp,0,8,4096,12,2,128,measure,3,911,0
lut-exp,0,8,4096,12,2,128,measure,4,900,0
lut-exp,0,8,4096,12,2,128,measure,5,892,0
lut-exp,0,8,4096,12,2,128,measure,6,895,0
lut-exp,0,8,4096,12,2,128,measure,7,905,0
lut-exp,0,8,4096,12,2,128,measure,8,1006,0
lut-exp,0,8,4096,12,2,128,measure,9,918,0
lut-exp,0,8,4096,12,2,128,measure,10,958,0
lut-exp,0,8,4096,12,2,128,measure,11,1002,0
lut-exp,0,8,4096,12,2,128,measure,12,910,0
lut-exp,0,8,4096,12,2,128,measure,13,897,0
lut-exp,0,8,4096,12,2,128,measure,14,919,0
lut-exp,0,8,4096,12,2,128,measure,15,974,0
lut-exp,0,8,4096,12,2,128,measure,16,928,0
lut-exp,0,8,4096,12,2,128,measure,17,946,0
lut-exp,0,8,4096,12,2,128,measure,18,941,0
lut-exp,0,8,4096,12,2,128,measure,19,923,0
