mode,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,32,4,4096,12,2,128,warmup,0,1423,0
scna-fp16,32,4,4096,12,2,128,warmup,1,1247,0
scna-fp16,32,4,4096,12,2,128,warmup,2,1206,0
scna-fp16,32,4,4096,12,2,128,warmup,3,1204,0
scna-fp16,32,4,4096,12,2,128,warmup,4,1220,0
scna-fp16,32,4,4096,12,2,128,measure,0,1218,0
scna-fp16,32,4,4096,12,2,128,measure,1,1216,0
scna-fp16,32,4,4096,12,2,128,measure,2,1247,0
scna-fp16,32,4,4096,12,2,128,measure,3,1223,0
scna-fp16,32,4,4096,12,2,128,measure,4,1253,0
scna-fp16,32,4,4096,12,2,128,measure,5,1227,0
scna-fp16,32,4,4096,12,2,128,measure,6,1186,0
scna-fp16,32,4,4096,12,2,128,measure,7,1260,0
scna-fp16,32,4,4096,12,2,128,measure,8,1234,0
scna-fp16,32,4,4096,12,2,128,measure,9,1227,0
scna-fp16,32,4,4096,12,2,128,measure,10,1217,0
scna-fp16,32,4,4096,12,2,128,measure,11,1219,0
scna-fp16,32,4,4096,12,2,128,measure,12,1315,0
scna-fp16,32,4,4096,12,2,128,measure,13,1324,0
scna-fp16,32,4,4096,12,2,128,measure,14,1358,0
scna-fp16,32,4,4096,12,2,128,measure,15,1250,0
scna-fp16,32,4,4096,12,2,128,measure,16,1219,0
scna-fp16,32,4,4096,12,2,128,measure,17,1321,0
scna-fp16,32,4,4096,12,2,128,measure,18,1346,0
scna-fp16,32,4,4096,12,2,128,measure,19,1352,0
