mode,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-int8,8,32,4096,12,2,128,warmup,0,2667,0
scna-int8,8,32,4096,12,2,128,warmup,1,2538,0
scna-int8,8,32,4096,12,2,128,warmup,2,2526,0
scna-int8,8,32,4096,12,2,128,warmup,3,2537,0
scna-int8,8,32,4096,12,2,128,warmup,4,2530,0
scna-int8,8,32,4096,12,2,128,measure,0,2691,0
scna-int8,8,32,4096,12,2,128,measure,1,2769,0
scna-int8,8,32,4096,12,2,128,measure,2,2790,0
scna-int8,8,32,4096,12,2,128,measure,3,2768,0
scna-int8,8,32,4096,12,2,128,measure,4,2790,0
scna-int8,8,32,4096,12,2,128,measure,5,2826,0
scna-int8,8,32,4096,12,2,128,measure,6,2756,0
scna-int8,8,32,4096,12,2,128,measure,7,2756,0
scna-int8,8,32,4096,12,2,128,measure,8,2782,0
scna-int8,8,32,4096,12,2,128,measure,9,2785,0
scna-int8,8,32,4096,12,2,128,measure,10,2524,0
scna-int8,8,32,4096,12,2,128,measure,11,2629,0
scna-int8,8,32,4096,12,2,128,measure,12,2586,0
scna-int8,8,32,4096,12,2,128,measure,13,2665,0
scna-int8,8,32,4096,12,2,128,measure,14,2605,0
scna-int8,8,32,4096,12,2,128,measure,15,2605,0
scna-int8,8,32,4096,12,2,128,measure,16,2624,0
scna-int8,8,32,4096,12,2,128,measure,17,2596,0
scna-int8,8,32,4096,12,2,128,measure,18,2639,0
scna-int8,8,32,4096,12,2,128,measure,19,2656,0
