mode,qo_len,scna_width,nonlinear_mode,samples,total_median_us,total_p50_us,total_p95_us,host_median_us,host_p50_us,host_p95_us,micro_elapsed_us,micro_pair_elapsed_us,micro_rmse,micro_max_abs_error,micro_dense_samples,micro_dense_rmse,micro_dense_max_abs_error,micro_pair_max_abs_diff,micro_monotonic_violations,micro_negative_count,micro_nan_count,safe_sm_median_us,scna_exp_median_us,q_load_median_us,k_load_median_us,v_load_median_us,qk_dot_median_us,core_acc_median_us
baseline,16,0,0,20,1190.5,1190.5,1205.05,1446.5,1446.5,1499.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.0,0.0,7.0,276.5,256.0,12.0,9.0
baseline,32,0,0,20,1935.0,1935.0,2008.1,2243.0,2243.0,2343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1237.5,0.0,15.0,322.0,295.0,24.0,20.5
baseline,4,0,0,20,794.0,794.0,815.05,1058.0,1058.0,1102.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.5,0.0,2.0,320.5,314.5,4.0,1.0
baseline,8,0,0,20,847.0,847.0,863.0,1115.0,1115.0,1138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0,0.0,3.0,269.0,247.5,8.0,5.0
lut-exp,16,0,0,20,976.0,976.0,995.0,1212.5,1212.5,1319.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,7.0,319.5,292.0,12.0,9.0
lut-exp,32,0,0,20,1193.5,1193.5,1207.4,1525.0,1525.0,1546.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.0,0.0,14.0,263.5,236.0,24.0,21.0
lut-exp,4,0,0,20,779.5,779.5,822.1,1079.0,1079.0,1101.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,2.0,355.0,316.0,4.0,1.0
lut-exp,8,0,0,20,672.0,672.0,680.15,921.0,921.0,1002.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,3.0,258.0,232.0,8.0,5.0
scna-fp16,16,16,1,20,1770.0,1770.0,1792.1,2081.5,2081.5,2126.95,71.0,94.0,0.000378106,0.00301601,1024.0,0.0102877,0.0485036,0.0,0.0,0.0,0.0,1034.0,850.0,7.0,368.5,324.5,12.0,11.0
scna-fp16,16,32,1,20,2347.5,2347.5,2366.1,2666.0,2666.0,2700.25,117.0,183.0,8.59679e-05,0.000488281,1024.0,0.00245267,0.0138602,0.0,0.0,0.0,0.0,1599.0,1418.0,8.0,363.0,340.0,12.0,14.0
scna-fp16,16,8,1,20,1299.0,1299.0,1322.15,1575.0,1575.0,1634.05,40.0,54.0,0.00231996,0.0185189,1024.0,0.0427402,0.152682,0.0,0.0,0.0,0.0,755.5,603.0,7.0,258.0,245.5,12.0,10.0
scna-fp16,32,16,1,20,2697.5,2697.5,2705.15,3037.0,3037.0,3078.5,71.0,94.0,0.000378106,0.00301601,1024.0,0.0102877,0.0485036,0.0,0.0,0.0,0.0,2043.5,1683.0,15.0,291.0,277.5,24.0,24.0
scna-fp16,32,32,1,20,3912.5,3912.5,3958.35,4251.0,4251.0,4339.1,117.0,183.0,8.59679e-05,0.000488281,1024.0,0.00245267,0.0138602,0.0,0.0,0.0,0.0,3185.5,2817.0,15.0,328.5,315.0,24.0,26.0
scna-fp16,32,8,1,20,2203.5,2203.5,2238.1,2481.0,2481.0,2620.0,40.0,54.0,0.00231996,0.0185189,1024.0,0.0427402,0.152682,0.0,0.0,0.0,0.0,1547.0,1199.0,14.0,303.0,274.0,24.0,22.0
