alternate_nonfinite,byte_mismatches,candidate_nonfinite,elements,exact_required,function,gate,head_dim,iters,kv_len,kv_size,mask_mode,mask_size,max_abs_error,mode,mode_flags,n_heads,n_kv_heads,print_events,profile_max_events,profile_max_records,profile_size,q_size,qo_len,ret,rmse,scna_function,scna_kernel,scna_width,selected_kernel,warmup,width
0,5890,0,6144,0,exp2,pass,128,1,4093,2095616,causal,32768,5.72205e-05,scna-fp16,1092,12,2,0,3224,10,233856,24576,4,0,1.45184e-05,exp2,tree,16,tree,1,16
0,5878,0,6144,0,exp2,pass,128,1,4093,2095616,full,32768,6.48499e-05,scna-fp16,1092,12,2,0,3224,10,233856,24576,4,0,1.37304e-05,exp2,tree,16,tree,1,16
0,2890,0,3072,0,exp2,pass,64,1,4096,1048576,full,32768,2.86102e-05,scna-fp16,1092,12,2,0,3224,10,233856,12288,4,0,5.66977e-06,exp2,tree,16,tree,1,16
0,5887,0,6144,0,exp2,pass,128,1,4093,2095616,padding,32768,5.72205e-05,scna-fp16,1092,12,2,0,3224,10,233856,24576,4,0,1.49549e-05,exp2,tree,16,tree,1,16
0,5769,0,6144,0,exp2,pass,128,1,4093,2095616,causal,32768,6.48499e-05,scna-fp16,1124,12,2,0,3224,10,233856,24576,4,0,1.19967e-05,exp2,tree,32,tree,1,32
0,5877,0,6144,0,exp2,pass,128,1,4093,2095616,full,32768,7.62939e-05,scna-fp16,1124,12,2,0,3224,10,233856,24576,4,0,1.32428e-05,exp2,tree,32,tree,1,32
0,2952,0,3072,0,exp2,pass,64,1,4096,1048576,full,32768,4.00543e-05,scna-fp16,1124,12,2,0,3224,10,233856,12288,4,0,7.89657e-06,exp2,tree,32,tree,1,32
0,5766,0,6144,0,exp2,pass,128,1,4093,2095616,padding,32768,6.10352e-05,scna-fp16,1124,12,2,0,3224,10,233856,24576,4,0,1.26965e-05,exp2,tree,32,tree,1,32
0,5789,0,6144,0,exp2,pass,128,1,4093,2095616,causal,32768,5.72205e-05,scna-fp16,1108,12,2,0,3224,10,233856,24576,4,0,1.12006e-05,exp2,tree,8,tree,1,8
0,5872,0,6144,0,exp2,pass,128,1,4093,2095616,full,32768,5.72205e-05,scna-fp16,1108,12,2,0,3224,10,233856,24576,4,0,1.12307e-05,exp2,tree,8,tree,1,8
0,2847,0,3072,0,exp2,pass,64,1,4096,1048576,full,32768,2.67029e-05,scna-fp16,1108,12,2,0,3224,10,233856,12288,4,0,5.55445e-06,exp2,tree,8,tree,1,8
0,5778,0,6144,0,exp2,pass,128,1,4093,2095616,padding,32768,5.34058e-05,scna-fp16,1108,12,2,0,3224,10,233856,24576,4,0,1.1631e-05,exp2,tree,8,tree,1,8
