candidate_max_abs,candidate_mode,candidate_nonfinite,candidate_rms,elements,head_dim,iters,kv_len,kv_size,mask_mode,mask_size,max_abs_error,max_rel_error,mode,mode_flags,n_heads,n_kv_heads,print_events,profile_max_events,profile_max_records,profile_size,q_size,qo_len,reference_max_abs,reference_mode,reference_nonfinite,reference_rms,relative_l2,ret,rmse,scna_function,scna_kernel,scna_width,warmup
0.00740814,baseline,0,0.00183057,6144,128,1,4093,2095616,causal,32768,0.00621134,1378.79,baseline,64,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.00071093,1.92829,0,0.00137088,exp2,direct,0,1
0.00736237,baseline,0,0.00180588,6144,128,1,4093,2095616,full,32768,0.00611544,1257.84,baseline,64,12,2,0,3224,10,233856,24576,4,0.00148103,host-fp32,0,0.000691119,1.97335,0,0.00136382,exp2,direct,0,1
0.00219727,baseline,0,0.000768317,3072,64,1,4096,1048576,full,32768,0.00148368,605.174,baseline,64,12,2,0,3224,10,233856,12288,4,0.000907659,host-fp32,0,0.000342623,1.4927,0,0.000511433,exp2,direct,0,1
0.00746918,baseline,0,0.00185449,6144,128,1,4093,2095616,padding,32768,0.00620718,1195.53,baseline,64,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.000729387,1.88925,0,0.00137799,exp2,direct,0,1
0.00289154,scna-fp16,0,0.00138793,6144,128,1,4093,2095616,causal,32768,0.00139591,57.1887,scna-fp16,68,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.00071093,0.953199,0,0.000677658,exp2,direct,16,1
0.00279999,scna-fp16,0,0.00134905,6144,128,1,4093,2095616,full,32768,0.00132035,61.8002,scna-fp16,68,12,2,0,3224,10,233856,24576,4,0.00148103,host-fp32,0,0.000691119,0.952948,0,0.000658601,exp2,direct,16,1
0.00169945,scna-fp16,0,0.000665744,3072,64,1,4096,1048576,full,32768,0.000802673,64.0301,scna-fp16,68,12,2,0,3224,10,233856,12288,4,0.000907659,host-fp32,0,0.000342623,0.948197,0,0.000324875,exp2,direct,16,1
0.00289154,scna-fp16,0,0.00142485,6144,128,1,4093,2095616,padding,32768,0.00140483,65.5706,scna-fp16,68,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.000729387,0.954374,0,0.000696108,exp2,direct,16,1
0.00295639,scna-fp16,0,0.00139776,6144,128,1,4093,2095616,causal,32768,0.00148365,49.6289,scna-fp16,100,12,2,0,3224,10,233856,24576,4,0.0015175,host-fp32,0,0.00071093,0.966736,0,0.000687282,exp2,direct,32,1
0.0028801,scna-fp16,0,0.00135786,6144,128,1,4093,2095616,full,32768,0.0014161,54.3929,scna-fp16,100,12,2,0,3224,10,233856,24576,4,0.00148103,host-fp32,0,0.000691119,0.965386,0,0.000667197,exp2,direct,32,1
