core_o0_bits,head_dim,inv_l0_bits,iters,kv_head,kv_len,kv_size,l0_bits,mask_mode,mask_size,mode,mode_flags,n_heads,n_kv_heads,p0_first_bits,p0_last_bits,print_events,profile_max_events,profile_max_records,profile_size,q_size,qo_len,rowsum0_bits,scaled_o0_bits,scna_function,scna_kernel,scna_width,sum0_first_bits,sum0_last_bits,warmup
0x41fe,128,0x1084,1,0,4093,2095616,0x6711,causal,32768,baseline,64,12,2,0x3ab8,0x0,0,3224,10,233856,24576,4,0x6711,0x16c4,exp2,direct,16,0x42df3f81,0x44e22984,1
0x4222,128,0x1084,1,0,4093,2095616,0x6714,full,32768,baseline,64,12,2,0x3ab8,0x0,0,3224,10,233856,24576,4,0x6714,0x16ec,exp2,direct,16,0x42df3f81,0x44e27fac,1
0x3d5b,64,0x1044,1,0,4096,1048576,0x6779,full,32768,baseline,64,12,2,0x3b5e,0x3b01,0,3224,10,233856,12288,4,0x6779,0x11b6,exp2,direct,16,0x42eb6581,0x44ef1dd3,1
0x41fe,128,0x1084,1,0,4093,2095616,0x6711,padding,32768,baseline,64,12,2,0x3ab8,0x0,0,3224,10,233856,24576,4,0x6711,0x16c4,exp2,direct,16,0x42df3f81,0x44e22984,1
0x4319,128,0x1070,1,0,4093,2095616,0x672e,causal,32768,scna-fp16,68,12,2,0x3ae2,0x0,0,3224,10,233856,24576,4,0x672e,0x17e0,exp2,direct,16,0x42e37501,0x44e5b1b4,1
0x433d,128,0x1070,1,0,4093,2095616,0x6730,full,32768,scna-fp16,68,12,2,0x3ae2,0x0,0,3224,10,233856,24576,4,0x6730,0x1804,exp2,direct,16,0x42e37501,0x44e60a4c,1
0x3c15,64,0x10ac,1,0,4096,1048576,0x66d8,full,32768,scna-fp16,68,12,2,0x39f7,0x3a84,0,3224,10,233856,12288,4,0x66d8,0x10c5,exp2,direct,16,0x42d6c781,0x44db04f4,1
0x4319,128,0x1070,1,0,4093,2095616,0x672e,padding,32768,scna-fp16,68,12,2,0x3ae2,0x0,0,3224,10,233856,24576,4,0x672e,0x17e0,exp2,direct,16,0x42e37501,0x44e5b1b4,1
0x42e5,128,0x1088,1,0,4093,2095616,0x6709,causal,32768,scna-fp16,100,12,2,0x3aad,0x0,0,3224,10,233856,24576,4,0x6709,0x17cf,exp2,direct,32,0x42de0381,0x44e126ec,1
0x4309,128,0x1084,1,0,4093,2095616,0x670c,full,32768,scna-fp16,100,12,2,0x3aad,0x0,0,3224,10,233856,24576,4,0x670c,0x17f1,exp2,direct,32,0x42de0381,0x44e17e14,1
