symbol,kernel,precision,vector_form,width,code_bytes,instructions,packets,instructions_per_packet,max_packet_instructions,vector_load,vector_store,multiply,lookup,permute_shift,compare_mux_relu,vector_arithmetic,branch
hvx_scna_exp2_pair_d8_vhf,direct,fp16,pair,8,612,153,50,3.06,4,2,2,24,0,0,24,49,1
hvx_scna_tree_pair_d8_vhf,tree,fp16,pair,8,364,91,36,2.5277777777777777,4,5,2,4,11,0,26,29,1
hvx_scna_exp2_pair_d16_vhf,direct,fp16,pair,16,1196,299,89,3.359550561797753,4,2,2,48,0,0,40,97,0
hvx_scna_tree_pair_d16_vhf,tree,fp16,pair,16,456,114,49,2.326530612244898,4,5,2,4,19,0,30,41,1
hvx_scna_exp2_pair_d32_vhf,direct,fp16,pair,32,2344,586,164,3.573170731707317,4,4,3,96,0,0,72,193,0
hvx_scna_tree_pair_d32_vhf,tree,fp16,pair,32,668,167,70,2.3857142857142857,4,7,3,4,35,0,34,61,0
hvx_scna_exp2_d8_vhf,direct,fp16,single,8,396,99,36,2.75,4,0,0,16,0,0,12,25,1
hvx_scna_tree_d8_vhf,tree,fp16,single,8,220,55,32,1.71875,4,3,0,2,6,0,13,16,1
hvx_scna_exp2_d16_vhf,direct,fp16,single,16,748,187,67,2.791044776119403,4,0,0,32,0,0,20,49,1
hvx_scna_tree_d16_vhf,tree,fp16,single,16,264,66,41,1.6097560975609757,4,3,0,2,10,0,15,22,1
hvx_scna_exp2_d32_vhf,direct,fp16,single,32,1516,379,111,3.4144144144144146,4,0,0,64,0,0,36,97,0
hvx_scna_tree_d32_vhf,tree,fp16,single,32,344,86,54,1.5925925925925926,4,3,0,2,18,0,17,32,1
hvx_scna_exp2_pair_int8_d8_vhf,direct,int8,pair,8,656,164,51,3.215686274509804,4,2,2,10,0,13,30,47,1
hvx_scna_tree_pair_int8_d8_vhf,tree,int8,pair,8,544,136,57,2.3859649122807016,4,5,2,4,11,8,32,42,1
hvx_scna_exp2_pair_int8_d16_vhf,direct,int8,pair,16,1072,268,78,3.4358974358974357,4,2,2,18,0,21,46,79,1
hvx_scna_tree_pair_int8_d16_vhf,tree,int8,pair,16,632,158,69,2.289855072463768,4,5,2,4,19,8,36,54,1
hvx_scna_exp2_pair_int8_d32_vhf,direct,int8,pair,32,1904,476,129,3.689922480620155,4,2,2,34,0,37,78,143,1
hvx_scna_tree_pair_int8_d32_vhf,tree,int8,pair,32,808,202,89,2.269662921348315,4,5,2,4,35,8,40,74,1
hvx_scna_exp2_int8_d8_vhf,direct,int8,single,8,472,118,41,2.8780487804878048,4,0,0,9,0,11,15,24,1
hvx_scna_tree_int8_d8_vhf,tree,int8,single,8,332,83,45,1.8444444444444446,4,3,0,2,6,4,16,23,1
hvx_scna_exp2_int8_d16_vhf,direct,int8,single,16,792,198,62,3.193548387096774,4,0,0,17,0,19,23,40,1
hvx_scna_tree_int8_d16_vhf,tree,int8,single,16,368,92,55,1.6727272727272726,4,3,0,2,10,4,18,29,1
hvx_scna_exp2_int8_d32_vhf,direct,int8,single,32,1476,369,103,3.5825242718446604,4,6,3,33,0,35,39,72,0
hvx_scna_tree_int8_d32_vhf,tree,int8,single,32,460,115,66,1.7424242424242424,4,3,0,2,18,4,20,39,1
