mode,scna_function,scna_kernel,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
baseline,exp2,direct,0,32,4096,12,2,128,warmup,0,2284,0
baseline,exp2,direct,0,32,4096,12,2,128,warmup,1,2185,0
baseline,exp2,direct,0,32,4096,12,2,128,warmup,2,2177,0
baseline,exp2,direct,0,32,4096,12,2,128,warmup,3,2195,0
baseline,exp2,direct,0,32,4096,12,2,128,warmup,4,2176,0
baseline,exp2,direct,0,32,4096,12,2,128,measure,0,2236,0
baseline,exp2,direct,0,32,4096,12,2,128,measure,1,2262,0
baseline,exp2,direct,0,32,4096,12,2,128,measure,2,2255,0
baseline,exp2,direct,0,32,4096,12,2,128,measure,3,2275,0
baseline,exp2,direct,0,32,4096,12,2,128,measure,4,2268,0
baseline,exp2,direct,0,32,4096,12,2,128,measure,5,2267,0
baseline,exp2,direct,0,32,4096,12,2,128,measure,6,2267,0
baseline,exp2,direct,0,32,4096,12,2,128,measure,7,2267,0
baseline,exp2,direct,0,32,4096,12,2,128,measure,8,2260,0
baseline,exp2,direct,0,32,4096,12,2,128,measure,9,2250,0
baseline,exp2,direct,0,32,4096,12,2,128,measure,10,2272,0
baseline,exp2,direct,0,32,4096,12,2,128,measure,11,2227,0
baseline,exp2,direct,0,32,4096,12,2,128,measure,12,2268,0
baseline,exp2,direct,0,32,4096,12,2,128,measure,13,2249,0
baseline,exp2,direct,0,32,4096,12,2,128,measure,14,2311,0
baseline,exp2,direct,0,32,4096,12,2,128,measure,15,2223,0
baseline,exp2,direct,0,32,4096,12,2,128,measure,16,2241,0
baseline,exp2,direct,0,32,4096,12,2,128,measure,17,2273,0
baseline,exp2,direct,0,32,4096,12,2,128,measure,18,2250,0
baseline,exp2,direct,0,32,4096,12,2,128,measure,19,2240,0
