mode,scna_function,scna_kernel,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,exp2,direct,16,16,4096,12,2,128,warmup,0,1987,0
scna-fp16,exp2,direct,16,16,4096,12,2,128,warmup,1,1979,0
scna-fp16,exp2,direct,16,16,4096,12,2,128,warmup,2,1977,0
scna-fp16,exp2,direct,16,16,4096,12,2,128,warmup,3,1972,0
scna-fp16,exp2,direct,16,16,4096,12,2,128,warmup,4,1898,0
scna-fp16,exp2,direct,16,16,4096,12,2,128,measure,0,1894,0
scna-fp16,exp2,direct,16,16,4096,12,2,128,measure,1,1882,0
scna-fp16,exp2,direct,16,16,4096,12,2,128,measure,2,1959,0
scna-fp16,exp2,direct,16,16,4096,12,2,128,measure,3,2006,0
scna-fp16,exp2,direct,16,16,4096,12,2,128,measure,4,2042,0
scna-fp16,exp2,direct,16,16,4096,12,2,128,measure,5,2010,0
scna-fp16,exp2,direct,16,16,4096,12,2,128,measure,6,2013,0
scna-fp16,exp2,direct,16,16,4096,12,2,128,measure,7,1988,0
scna-fp16,exp2,direct,16,16,4096,12,2,128,measure,8,2032,0
scna-fp16,exp2,direct,16,16,4096,12,2,128,measure,9,2039,0
scna-fp16,exp2,direct,16,16,4096,12,2,128,measure,10,2000,0
scna-fp16,exp2,direct,16,16,4096,12,2,128,measure,11,2032,0
scna-fp16,exp2,direct,16,16,4096,12,2,128,measure,12,2022,0
scna-fp16,exp2,direct,16,16,4096,12,2,128,measure,13,2045,0
scna-fp16,exp2,direct,16,16,4096,12,2,128,measure,14,2015,0
scna-fp16,exp2,direct,16,16,4096,12,2,128,measure,15,2038,0
scna-fp16,exp2,direct,16,16,4096,12,2,128,measure,16,2050,0
scna-fp16,exp2,direct,16,16,4096,12,2,128,measure,17,2037,0
scna-fp16,exp2,direct,16,16,4096,12,2,128,measure,18,2064,0
scna-fp16,exp2,direct,16,16,4096,12,2,128,measure,19,1983,0
