mode,scna_function,scna_kernel,scna_width,qo_len,kv_len,n_heads,n_kv_heads,head_dim,phase,iteration,host_elapsed_us,ret
scna-fp16,exp2,tree,32,16,4096,12,2,128,warmup,0,1851,0
scna-fp16,exp2,tree,32,16,4096,12,2,128,warmup,1,1899,0
scna-fp16,exp2,tree,32,16,4096,12,2,128,warmup,2,1896,0
scna-fp16,exp2,tree,32,16,4096,12,2,128,warmup,3,1909,0
scna-fp16,exp2,tree,32,16,4096,12,2,128,warmup,4,1941,0
scna-fp16,exp2,tree,32,16,4096,12,2,128,measure,0,1835,0
scna-fp16,exp2,tree,32,16,4096,12,2,128,measure,1,2034,0
scna-fp16,exp2,tree,32,16,4096,12,2,128,measure,2,1983,0
scna-fp16,exp2,tree,32,16,4096,12,2,128,measure,3,1985,0
scna-fp16,exp2,tree,32,16,4096,12,2,128,measure,4,1973,0
scna-fp16,exp2,tree,32,16,4096,12,2,128,measure,5,1980,0
scna-fp16,exp2,tree,32,16,4096,12,2,128,measure,6,1978,0
scna-fp16,exp2,tree,32,16,4096,12,2,128,measure,7,1984,0
scna-fp16,exp2,tree,32,16,4096,12,2,128,measure,8,2025,0
scna-fp16,exp2,tree,32,16,4096,12,2,128,measure,9,2101,0
scna-fp16,exp2,tree,32,16,4096,12,2,128,measure,10,2187,0
scna-fp16,exp2,tree,32,16,4096,12,2,128,measure,11,2111,0
scna-fp16,exp2,tree,32,16,4096,12,2,128,measure,12,2178,0
scna-fp16,exp2,tree,32,16,4096,12,2,128,measure,13,2137,0
scna-fp16,exp2,tree,32,16,4096,12,2,128,measure,14,2211,0
scna-fp16,exp2,tree,32,16,4096,12,2,128,measure,15,2160,0
scna-fp16,exp2,tree,32,16,4096,12,2,128,measure,16,2153,0
scna-fp16,exp2,tree,32,16,4096,12,2,128,measure,17,2095,0
scna-fp16,exp2,tree,32,16,4096,12,2,128,measure,18,2157,0
scna-fp16,exp2,tree,32,16,4096,12,2,128,measure,19,2102,0
